paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
10009292,10009292_Minimum,Minimum,Cr_mgkg,0.1,Unknown,,high,table_p4_ri1_ci2,"TABLEI DESCRIPTIVE STATISTICS OF HEAVY METALS (AS,CR,CU AND ZN) CONTAMINATION IN SOIL (MG/KG)"
10009292,10009292_Minimum,Minimum,Cu_mgkg,0.57,Unknown,,high,table_p4_ri1_ci3,"TABLEI DESCRIPTIVE STATISTICS OF HEAVY METALS (AS,CR,CU AND ZN) CONTAMINATION IN SOIL (MG/KG)"
10009292,10009292_Maximum,Maximum,Cr_mgkg,478.0,Unknown,,high,table_p4_ri2_ci2,"TABLEI DESCRIPTIVE STATISTICS OF HEAVY METALS (AS,CR,CU AND ZN) CONTAMINATION IN SOIL (MG/KG)"
10009292,10009292_Maximum,Maximum,Cu_mgkg,377.0,Unknown,,high,table_p4_ri2_ci3,"TABLEI DESCRIPTIVE STATISTICS OF HEAVY METALS (AS,CR,CU AND ZN) CONTAMINATION IN SOIL (MG/KG)"
10009292,10009292_Standard_Deviation,Standard Deviation,Cr_mgkg,83.41,Unknown,,high,table_p4_ri4_ci2,"TABLEI DESCRIPTIVE STATISTICS OF HEAVY METALS (AS,CR,CU AND ZN) CONTAMINATION IN SOIL (MG/KG)"
10009292,10009292_Standard_Deviation,Standard Deviation,Cu_mgkg,58.93,Unknown,,high,table_p4_ri4_ci3,"TABLEI DESCRIPTIVE STATISTICS OF HEAVY METALS (AS,CR,CU AND ZN) CONTAMINATION IN SOIL (MG/KG)"
10009292,10009292_Lower_Quartile,Lower Quartile,Cr_mgkg,1.33,Unknown,,high,table_p4_ri5_ci2,"TABLEI DESCRIPTIVE STATISTICS OF HEAVY METALS (AS,CR,CU AND ZN) CONTAMINATION IN SOIL (MG/KG)"
10009292,10009292_Lower_Quartile,Lower Quartile,Cu_mgkg,1.43,Unknown,,high,table_p4_ri5_ci3,"TABLEI DESCRIPTIVE STATISTICS OF HEAVY METALS (AS,CR,CU AND ZN) CONTAMINATION IN SOIL (MG/KG)"
10009292,10009292_Upper_Quartile,Upper Quartile,Cr_mgkg,59.88,Unknown,,high,table_p4_ri7_ci2,"TABLEI DESCRIPTIVE STATISTICS OF HEAVY METALS (AS,CR,CU AND ZN) CONTAMINATION IN SOIL (MG/KG)"
10009292,10009292_Upper_Quartile,Upper Quartile,Cu_mgkg,22.98,Unknown,,high,table_p4_ri7_ci3,"TABLEI DESCRIPTIVE STATISTICS OF HEAVY METALS (AS,CR,CU AND ZN) CONTAMINATION IN SOIL (MG/KG)"
10009292,10009292_Coefficient_of_Variation,Coefficient of Variation,Cr_mgkg,1.87,Unknown,,high,table_p4_ri8_ci2,"TABLEI DESCRIPTIVE STATISTICS OF HEAVY METALS (AS,CR,CU AND ZN) CONTAMINATION IN SOIL (MG/KG)"
10009292,10009292_Coefficient_of_Variation,Coefficient of Variation,Cu_mgkg,2.12,Unknown,,high,table_p4_ri8_ci3,"TABLEI DESCRIPTIVE STATISTICS OF HEAVY METALS (AS,CR,CU AND ZN) CONTAMINATION IN SOIL (MG/KG)"
10009292,10009292_Count,Count,As_mgkg,7568.0,Unknown,,high,table_p6_ri2_ci1,TABLE V DESCRIPTIVE STATISTICS OF PREDICTED AND OBSERVEDVALUES OF SOIL HEAVY METALS TABLE VI
10009292,10009292_StdDev,StdDev,As_mgkg,2.93,Unknown,,high,table_p6_ri2_ci5,TABLE V DESCRIPTIVE STATISTICS OF PREDICTED AND OBSERVEDVALUES OF SOIL HEAVY METALS TABLE VI
10009292,10009292_Count,Count,Cr_mgkg,7568.0,Unknown,,high,table_p6_ri3_ci1,TABLE V DESCRIPTIVE STATISTICS OF PREDICTED AND OBSERVEDVALUES OF SOIL HEAVY METALS TABLE VI
10009292,10009292_StdDev,StdDev,Cr_mgkg,44.63,Unknown,,high,table_p6_ri3_ci5,TABLE V DESCRIPTIVE STATISTICS OF PREDICTED AND OBSERVEDVALUES OF SOIL HEAVY METALS TABLE VI
10009292,10009292_Count,Count,Cu_mgkg,7568.0,Unknown,,high,table_p6_ri4_ci1,TABLE V DESCRIPTIVE STATISTICS OF PREDICTED AND OBSERVEDVALUES OF SOIL HEAVY METALS TABLE VI
