paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
10807039.2017.1331726,10807039.2017.1331726_1,1,OC_pct,0.066,Unknown,,high,table_p26_ri1_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_2,2,OC_pct,0.036,Unknown,,high,table_p26_ri2_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_3,3,OC_pct,0.059,Unknown,,high,table_p26_ri3_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_4,4,OC_pct,0.028,Unknown,,high,table_p26_ri4_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_5,5,OC_pct,0.085,Unknown,,high,table_p26_ri5_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_6,6,OC_pct,0.046,Unknown,,high,table_p26_ri6_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_7,7,OC_pct,0.047,Unknown,,high,table_p26_ri7_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_8,8,OC_pct,0.031,Unknown,,high,table_p26_ri8_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_9,9,OC_pct,0.057,Unknown,,high,table_p26_ri9_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_10,10,OC_pct,0.019,Unknown,,high,table_p26_ri10_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_11,11,OC_pct,0.036,Unknown,,high,table_p26_ri11_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_12,12,OC_pct,0.042,Unknown,,high,table_p26_ri12_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_13,13,OC_pct,0.082,Unknown,,high,table_p26_ri13_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_14,14,OC_pct,0.09,Unknown,,high,table_p26_ri14_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_15,15,OC_pct,0.05,Unknown,,high,table_p26_ri15_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_16,16,OC_pct,0.023,Unknown,,high,table_p26_ri16_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_17,17,OC_pct,0.036,Unknown,,high,table_p26_ri17_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_18,18,OC_pct,0.03,Unknown,,high,table_p26_ri18_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_19,19,OC_pct,0.057,Unknown,,high,table_p26_ri19_ci5,Table 1.Location and physicochemical properties of soil samples collected from 46 sites.
10807039.2017.1331726,10807039.2017.1331726_Measured_value_of_GSS-5,Measured value of GSS-5,Cu_mgkg,153.2,Unknown,,high,table_p29_ri1_ci1,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Measured_value_of_GSS-5,Measured value of GSS-5,Zn_mgkg,507.2,Unknown,,high,table_p29_ri1_ci2,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Measured_value_of_GSS-5,Measured value of GSS-5,Pb_mgkg,532.8,Unknown,,high,table_p29_ri1_ci3,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Measured_value_of_GSS-5,Measured value of GSS-5,Cr_mgkg,113.4,Unknown,,high,table_p29_ri1_ci4,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Measured_value_of_GSS-5,Measured value of GSS-5,Cd_mgkg,0.479,Unknown,,high,table_p29_ri1_ci5,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Measured_value_of_GSS-5,Measured value of GSS-5,Fe_mgkg,92605.2,Unknown,,high,table_p29_ri1_ci6,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Measured_value_of_GSS-5,Measured value of GSS-5,Mn_mgkg,1299.1,Unknown,,high,table_p29_ri1_ci7,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Measured_value_of_GSS-5,Measured value of GSS-5,Ni_mgkg,39.6,Unknown,,high,table_p29_ri1_ci8,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Certified_value_of_GSS-5,Certified value of GSS-5,Cu_mgkg,144.0,Unknown,,high,table_p29_ri2_ci1,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Certified_value_of_GSS-5,Certified value of GSS-5,Zn_mgkg,494.0,Unknown,,high,table_p29_ri2_ci2,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Certified_value_of_GSS-5,Certified value of GSS-5,Pb_mgkg,552.0,Unknown,,high,table_p29_ri2_ci3,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Certified_value_of_GSS-5,Certified value of GSS-5,Cr_mgkg,118.0,Unknown,,high,table_p29_ri2_ci4,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Certified_value_of_GSS-5,Certified value of GSS-5,Cd_mgkg,0.45,Unknown,,high,table_p29_ri2_ci5,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Certified_value_of_GSS-5,Certified value of GSS-5,Fe_mgkg,88340.0,Unknown,,high,table_p29_ri2_ci6,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Certified_value_of_GSS-5,Certified value of GSS-5,Mn_mgkg,1360.0,Unknown,,high,table_p29_ri2_ci7,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Certified_value_of_GSS-5,Certified value of GSS-5,Ni_mgkg,40.0,Unknown,,high,table_p29_ri2_ci8,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Recovery_of_total_concentration,Recovery of total concentration,Cu_mgkg,106.4,Unknown,,high,table_p29_ri3_ci1,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Recovery_of_total_concentration,Recovery of total concentration,Zn_mgkg,102.6,Unknown,,high,table_p29_ri3_ci2,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Recovery_of_total_concentration,Recovery of total concentration,Pb_mgkg,96.5,Unknown,,high,table_p29_ri3_ci3,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Recovery_of_total_concentration,Recovery of total concentration,Cr_mgkg,96.1,Unknown,,high,table_p29_ri3_ci4,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Recovery_of_total_concentration,Recovery of total concentration,Cd_mgkg,106.4,Unknown,,high,table_p29_ri3_ci5,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Recovery_of_total_concentration,Recovery of total concentration,Fe_mgkg,104.8,Unknown,,high,table_p29_ri3_ci6,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Recovery_of_total_concentration,Recovery of total concentration,Mn_mgkg,95.5,Unknown,,high,table_p29_ri3_ci7,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Recovery_of_total_concentration,Recovery of total concentration,Ni_mgkg,99.0,Unknown,,high,table_p29_ri3_ci8,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Sum_of_the_four_steps,Sum of the four steps,Cu_mgkg,149.2,Unknown,,high,table_p29_ri4_ci1,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Sum_of_the_four_steps,Sum of the four steps,Zn_mgkg,460.8,Unknown,,high,table_p29_ri4_ci2,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Sum_of_the_four_steps,Sum of the four steps,Pb_mgkg,528.2,Unknown,,high,table_p29_ri4_ci3,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Sum_of_the_four_steps,Sum of the four steps,Cr_mgkg,120.8,Unknown,,high,table_p29_ri4_ci4,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Sum_of_the_four_steps,Sum of the four steps,Cd_mgkg,0.49,Unknown,,high,table_p29_ri4_ci5,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Sum_of_the_four_steps,Sum of the four steps,Fe_mgkg,96624.4,Unknown,,high,table_p29_ri4_ci6,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Sum_of_the_four_steps,Sum of the four steps,Mn_mgkg,1297.4,Unknown,,high,table_p29_ri4_ci7,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Sum_of_the_four_steps,Sum of the four steps,Ni_mgkg,41.8,Unknown,,high,table_p29_ri4_ci8,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_SEP_recovery,SEP recovery,Cu_mgkg,103.6,Unknown,,high,table_p29_ri5_ci1,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_SEP_recovery,SEP recovery,Zn_mgkg,94.3,Unknown,,high,table_p29_ri5_ci2,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_SEP_recovery,SEP recovery,Pb_mgkg,95.7,Unknown,,high,table_p29_ri5_ci3,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_SEP_recovery,SEP recovery,Cr_mgkg,102.4,Unknown,,high,table_p29_ri5_ci4,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_SEP_recovery,SEP recovery,Cd_mgkg,109.4,Unknown,,high,table_p29_ri5_ci5,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_SEP_recovery,SEP recovery,Fe_mgkg,109.4,Unknown,,high,table_p29_ri5_ci6,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_SEP_recovery,SEP recovery,Mn_mgkg,95.3,Unknown,,high,table_p29_ri5_ci7,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_SEP_recovery,SEP recovery,Ni_mgkg,104.3,Unknown,,high,table_p29_ri5_ci8,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Mean_concentration,Mean concentration,Cu_mgkg,19.4,Unknown,,high,table_p29_ri6_ci1,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Mean_concentration,Mean concentration,Zn_mgkg,65.2,Unknown,,high,table_p29_ri6_ci2,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Mean_concentration,Mean concentration,Pb_mgkg,38.4,Unknown,,high,table_p29_ri6_ci3,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Mean_concentration,Mean concentration,Cr_mgkg,55.9,Unknown,,high,table_p29_ri6_ci4,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Mean_concentration,Mean concentration,Cd_mgkg,0.078,Unknown,,high,table_p29_ri6_ci5,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Mean_concentration,Mean concentration,Fe_mgkg,41546.5,Unknown,,high,table_p29_ri6_ci6,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Mean_concentration,Mean concentration,Mn_mgkg,510.3,Unknown,,high,table_p29_ri6_ci7,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Mean_concentration,Mean concentration,Ni_mgkg,27.5,Unknown,,high,table_p29_ri6_ci8,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Range_of_concentration,Range of concentration,Cu_mgkg,20.36,Unknown,range_mean,high,table_p29_ri7_ci1,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Range_of_concentration,Range of concentration,Zn_mgkg,59.25,Unknown,range_mean,high,table_p29_ri7_ci2,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Range_of_concentration,Range of concentration,Pb_mgkg,153.05499999999998,Unknown,range_mean,high,table_p29_ri7_ci3,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Range_of_concentration,Range of concentration,Cr_mgkg,92.18,Unknown,range_mean,high,table_p29_ri7_ci4,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Range_of_concentration,Range of concentration,Cd_mgkg,0.31,Unknown,range_mean,high,table_p29_ri7_ci5,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
10807039.2017.1331726,10807039.2017.1331726_Range_of_concentration,Range of concentration,Fe_mgkg,41366.0,Unknown,range_mean,high,table_p29_ri7_ci6,"Table 2. Recovery (%) of CRM and concentrations (mg $\mathbf { k g } ^ { - 1 }$ , dry weight) of HMs in surface soil samples."
