paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
70610_c7ra11677b,70610_c7ra11677b_Water,Water,Cu_mgkg,2.62,Unknown,,high,table_p3_ri1_ci2,"Table1 Heavy metal concentrations in water (μg ${ \mathsf { L } } ^ { - 1 } ) ,$ sediment (μg ${ \mathfrak { g } } ^ { - 1 }$ dry weight) and organisms (ug ${ \mathfrak { g } } ^ { - 1 }$ dry weight) "
70610_c7ra11677b,70610_c7ra11677b_Water,Water,Zn_mgkg,4.953,Unknown,,high,table_p3_ri1_ci3,"Table1 Heavy metal concentrations in water (μg ${ \mathsf { L } } ^ { - 1 } ) ,$ sediment (μg ${ \mathfrak { g } } ^ { - 1 }$ dry weight) and organisms (ug ${ \mathfrak { g } } ^ { - 1 }$ dry weight) "
70610_c7ra11677b,70610_c7ra11677b_Water,Water,Cd_mgkg,0.025,Unknown,,high,table_p3_ri1_ci4,"Table1 Heavy metal concentrations in water (μg ${ \mathsf { L } } ^ { - 1 } ) ,$ sediment (μg ${ \mathfrak { g } } ^ { - 1 }$ dry weight) and organisms (ug ${ \mathfrak { g } } ^ { - 1 }$ dry weight) "
70610_c7ra11677b,70610_c7ra11677b_Water,Water,Cr_mgkg,0.303,Unknown,,high,table_p3_ri1_ci5,"Table1 Heavy metal concentrations in water (μg ${ \mathsf { L } } ^ { - 1 } ) ,$ sediment (μg ${ \mathfrak { g } } ^ { - 1 }$ dry weight) and organisms (ug ${ \mathfrak { g } } ^ { - 1 }$ dry weight) "
70610_c7ra11677b,70610_c7ra11677b_S2,S2,Cu_mgkg,2.548,Unknown,,high,table_p3_ri2_ci2,"Table1 Heavy metal concentrations in water (μg ${ \mathsf { L } } ^ { - 1 } ) ,$ sediment (μg ${ \mathfrak { g } } ^ { - 1 }$ dry weight) and organisms (ug ${ \mathfrak { g } } ^ { - 1 }$ dry weight) "
70610_c7ra11677b,70610_c7ra11677b_S2,S2,Zn_mgkg,5.1,Unknown,,high,table_p3_ri2_ci3,"Table1 Heavy metal concentrations in water (μg ${ \mathsf { L } } ^ { - 1 } ) ,$ sediment (μg ${ \mathfrak { g } } ^ { - 1 }$ dry weight) and organisms (ug ${ \mathfrak { g } } ^ { - 1 }$ dry weight) "
70610_c7ra11677b,70610_c7ra11677b_S2,S2,Cd_mgkg,0.033,Unknown,,high,table_p3_ri2_ci4,"Table1 Heavy metal concentrations in water (μg ${ \mathsf { L } } ^ { - 1 } ) ,$ sediment (μg ${ \mathfrak { g } } ^ { - 1 }$ dry weight) and organisms (ug ${ \mathfrak { g } } ^ { - 1 }$ dry weight) "
70610_c7ra11677b,70610_c7ra11677b_S2,S2,Cr_mgkg,0.213,Unknown,,high,table_p3_ri2_ci5,"Table1 Heavy metal concentrations in water (μg ${ \mathsf { L } } ^ { - 1 } ) ,$ sediment (μg ${ \mathfrak { g } } ^ { - 1 }$ dry weight) and organisms (ug ${ \mathfrak { g } } ^ { - 1 }$ dry weight) "
70610_c7ra11677b,70610_c7ra11677b_S3,S3,Cu_mgkg,2.628,Unknown,,high,table_p3_ri3_ci2,"Table1 Heavy metal concentrations in water (μg ${ \mathsf { L } } ^ { - 1 } ) ,$ sediment (μg ${ \mathfrak { g } } ^ { - 1 }$ dry weight) and organisms (ug ${ \mathfrak { g } } ^ { - 1 }$ dry weight) "
70610_c7ra11677b,70610_c7ra11677b_S3,S3,Zn_mgkg,4.673,Unknown,,high,table_p3_ri3_ci3,"Table1 Heavy metal concentrations in water (μg ${ \mathsf { L } } ^ { - 1 } ) ,$ sediment (μg ${ \mathfrak { g } } ^ { - 1 }$ dry weight) and organisms (ug ${ \mathfrak { g } } ^ { - 1 }$ dry weight) "
