paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Surface_soil_samples_in_this_study_area,Surface soil samples in this study area,Cr_mgkg,8427.0,Unknown,,high,table_p33_ri1_ci2,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Surface_soil_samples_in_this_study_area,Surface soil samples in this study area,As_mgkg,30.6,Unknown,,high,table_p33_ri1_ci3,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Surface_soil_samples_in_this_study_area,Surface soil samples in this study area,Pb_mgkg,134.0,Unknown,,high,table_p33_ri1_ci4,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Surface_soil_samples_in_this_study_area,Surface soil samples in this study area,Cd_mgkg,1.34,Unknown,,high,table_p33_ri1_ci5,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_CV(%),CV(%),Cr_mgkg,135.0,Unknown,,high,table_p33_ri5_ci2,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_CV(%),CV(%),As_mgkg,136.0,Unknown,,high,table_p33_ri5_ci3,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_CV(%),CV(%),Pb_mgkg,116.0,Unknown,,high,table_p33_ri5_ci4,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Background_value,Background value,Cr_mgkg,68.0,Unknown,,high,table_p33_ri6_ci2,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Background_value,Background value,As_mgkg,15.0,Unknown,,high,table_p33_ri6_ci3,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Background_value,Background value,Pb_mgkg,30.0,Unknown,,high,table_p33_ri6_ci4,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Background_value,Background value,Cd_mgkg,0.07,Unknown,,high,table_p33_ri6_ci5,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Calss_I,Calss I,Cr_mgkg,90.0,Unknown,,high,table_p33_ri7_ci2,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Calss_I,Calss I,As_mgkg,15.0,Unknown,,high,table_p33_ri7_ci3,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Calss_I,Calss I,Pb_mgkg,35.0,Unknown,,high,table_p33_ri7_ci4,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Calss_I,Calss I,Cd_mgkg,0.2,Unknown,,high,table_p33_ri7_ci5,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Class_II,Class II,Cr_mgkg,250.0,Unknown,,high,table_p33_ri8_ci2,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Class_II,Class II,As_mgkg,25.0,Unknown,,high,table_p33_ri8_ci3,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Class_II,Class II,Pb_mgkg,250.0,Unknown,,high,table_p33_ri8_ci4,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Class_II,Class II,Cd_mgkg,0.6,Unknown,,high,table_p33_ri8_ci5,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Calss_III,Calss III,Cr_mgkg,300.0,Unknown,,high,table_p33_ri9_ci2,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Calss_III,Calss III,As_mgkg,40.0,Unknown,,high,table_p33_ri9_ci3,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Calss_III,Calss III,Pb_mgkg,500.0,Unknown,,high,table_p33_ri9_ci4,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Calss_III,Calss III,Cd_mgkg,1.0,Unknown,,high,table_p33_ri9_ci5,Table 2 Descriptive statistics of heavy metal contents in the studied site mg/kg
70639_10807039.2016.1151348,70639_10807039.2016.1151348_Exposure_pathway,Exposure pathway,Cr_mgkg,1.3,Unknown,,high,table_p37_ri3_ci2,Table 5 Screening levels of the studied metals under sensitive or insensitive land use mg/kg
