paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
70724_etc.1959,70724_etc.1959_Percentiles,Percentiles,Nap_ngg,9.2,Unknown,,high,table_p2_ri2_ci2,Table 1. Concentrations of polycyclic aromatic hydrocarbons (PAHs) in surface soils in the North China Plain (μg/kg; n= 302)
70724_etc.1959,70724_etc.1959_Percentiles,Percentiles,Ace_ngg,1.1,Unknown,,high,table_p2_ri3_ci2,Table 1. Concentrations of polycyclic aromatic hydrocarbons (PAHs) in surface soils in the North China Plain (μg/kg; n= 302)
70724_etc.1959,70724_etc.1959_Percentiles,Percentiles,Acy_ngg,0.5,Unknown,,high,table_p2_ri4_ci2,Table 1. Concentrations of polycyclic aromatic hydrocarbons (PAHs) in surface soils in the North China Plain (μg/kg; n= 302)
70724_etc.1959,70724_etc.1959_Percentiles,Percentiles,Phe_ngg,11.0,Unknown,,high,table_p2_ri6_ci2,Table 1. Concentrations of polycyclic aromatic hydrocarbons (PAHs) in surface soils in the North China Plain (μg/kg; n= 302)
70724_etc.1959,70724_etc.1959_Percentiles,Percentiles,Ant_ngg,1.6,Unknown,,high,table_p2_ri7_ci2,Table 1. Concentrations of polycyclic aromatic hydrocarbons (PAHs) in surface soils in the North China Plain (μg/kg; n= 302)
70724_etc.1959,70724_etc.1959_Percentiles,Percentiles,Pyr_ngg,6.6,Unknown,,high,table_p2_ri9_ci2,Table 1. Concentrations of polycyclic aromatic hydrocarbons (PAHs) in surface soils in the North China Plain (μg/kg; n= 302)
70724_etc.1959,70724_etc.1959_Percentiles,Percentiles,BaA_ngg,1.9,Unknown,,high,table_p2_ri10_ci2,Table 1. Concentrations of polycyclic aromatic hydrocarbons (PAHs) in surface soils in the North China Plain (μg/kg; n= 302)
70724_etc.1959,70724_etc.1959_Percentiles,Percentiles,Chr_ngg,7.8,Unknown,,high,table_p2_ri11_ci2,Table 1. Concentrations of polycyclic aromatic hydrocarbons (PAHs) in surface soils in the North China Plain (μg/kg; n= 302)
70724_etc.1959,70724_etc.1959_Percentiles,Percentiles,BbF_ngg,3.2,Unknown,,high,table_p2_ri12_ci2,Table 1. Concentrations of polycyclic aromatic hydrocarbons (PAHs) in surface soils in the North China Plain (μg/kg; n= 302)
70724_etc.1959,70724_etc.1959_Percentiles,Percentiles,BkF_ngg,8.0,Unknown,,high,table_p2_ri13_ci2,Table 1. Concentrations of polycyclic aromatic hydrocarbons (PAHs) in surface soils in the North China Plain (μg/kg; n= 302)
70724_etc.1959,70724_etc.1959_Percentiles,Percentiles,BaP_ngg,3.2,Unknown,,high,table_p2_ri14_ci2,Table 1. Concentrations of polycyclic aromatic hydrocarbons (PAHs) in surface soils in the North China Plain (μg/kg; n= 302)
70724_etc.1959,70724_etc.1959_Percentiles,Percentiles,DahA_ngg,0.4,Unknown,,high,table_p2_ri15_ci2,Table 1. Concentrations of polycyclic aromatic hydrocarbons (PAHs) in surface soils in the North China Plain (μg/kg; n= 302)
70724_etc.1959,70724_etc.1959_Percentiles,Percentiles,Ind_ngg,1.3,Unknown,,high,table_p2_ri16_ci2,Table 1. Concentrations of polycyclic aromatic hydrocarbons (PAHs) in surface soils in the North China Plain (μg/kg; n= 302)
70724_etc.1959,70724_etc.1959_Percentiles,Percentiles,BghiP_ngg,2.8,Unknown,,high,table_p2_ri17_ci2,Table 1. Concentrations of polycyclic aromatic hydrocarbons (PAHs) in surface soils in the North China Plain (μg/kg; n= 302)
70724_etc.1959,"70724_etc.1959_$r_\left(_\mathbf_{_C_}_{_\cdot_}_\mathbf_{_S_}_\mathbf_{_O_C_}_,_\mathbf_{_E_}_\right)_^_{_\mathrm_{_a_}_}$","$r \left( \mathbf { C } { \cdot } \mathbf { S } \mathbf { O C } , \mathbf { E } \right) ^ { \mathrm { a } }$",Nap_ngg,0.404,Unknown,,high,table_p4_ri1_ci1,Table 2.Multivariate correlation analysis of the concentrations of polycyclic aromatic hydrocarbons in surface soils with their emissons and soil organic carbon (SOC) content in the North China Plain 
70724_etc.1959,"70724_etc.1959_$r_\left(_\mathbf_{_C_}_{_\cdot_}_\mathbf_{_S_}_\mathbf_{_O_C_}_,_\mathbf_{_E_}_\right)_^_{_\mathrm_{_a_}_}$","$r \left( \mathbf { C } { \cdot } \mathbf { S } \mathbf { O C } , \mathbf { E } \right) ^ { \mathrm { a } }$",Ace_ngg,0.362,Unknown,,high,table_p4_ri1_ci2,Table 2.Multivariate correlation analysis of the concentrations of polycyclic aromatic hydrocarbons in surface soils with their emissons and soil organic carbon (SOC) content in the North China Plain 
