paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Rings,Rings,Ace_ngg,3.0,Unknown,,high,table_p2_ri2_ci1,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Standarddeviation,Standarddeviation,Ace_ngg,131.75,Unknown,,high,table_p2_ri2_ci3,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Maximum,Maximum,Ace_ngg,540.54,Unknown,,high,table_p2_ri2_ci6,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Proportion_(%）,Proportion (%）,Ace_ngg,0.37,Unknown,,high,table_p2_ri2_ci7,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Rings,Rings,Phe_ngg,3.0,Unknown,,high,table_p2_ri4_ci1,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Standarddeviation,Standarddeviation,Phe_ngg,1356.57,Unknown,,high,table_p2_ri4_ci3,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Maximum,Maximum,Phe_ngg,4959.63,Unknown,,high,table_p2_ri4_ci6,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Proportion_(%）,Proportion (%）,Phe_ngg,6.64,Unknown,,high,table_p2_ri4_ci7,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Rings,Rings,Flu_ngg,4.0,Unknown,,high,table_p2_ri6_ci1,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Standarddeviation,Standarddeviation,Flu_ngg,3960.9,Unknown,,high,table_p2_ri6_ci3,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Minimum,Minimum,Flu_ngg,230.49,Unknown,,high,table_p2_ri6_ci5,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Maximum,Maximum,Flu_ngg,12170.34,Unknown,,high,table_p2_ri6_ci6,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Proportion_(%）,Proportion (%）,Flu_ngg,19.34,Unknown,,high,table_p2_ri6_ci7,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Rings,Rings,Pyr_ngg,4.0,Unknown,,high,table_p2_ri7_ci1,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Standarddeviation,Standarddeviation,Pyr_ngg,3927.55,Unknown,,high,table_p2_ri7_ci3,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Minimum,Minimum,Pyr_ngg,180.18,Unknown,,high,table_p2_ri7_ci5,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Maximum,Maximum,Pyr_ngg,13210.47,Unknown,,high,table_p2_ri7_ci6,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Proportion_(%）,Proportion (%）,Pyr_ngg,14.03,Unknown,,high,table_p2_ri7_ci7,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Rings,Rings,BaA_ngg,4.0,Unknown,,high,table_p2_ri8_ci1,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Standarddeviation,Standarddeviation,BaA_ngg,1888.02,Unknown,,high,table_p2_ri8_ci3,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Minimum,Minimum,BaA_ngg,84.24,Unknown,,high,table_p2_ri8_ci5,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Maximum,Maximum,BaA_ngg,5522.4,Unknown,,high,table_p2_ri8_ci6,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Proportion_(%）,Proportion (%）,BaA_ngg,8.2,Unknown,,high,table_p2_ri8_ci7,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Rings,Rings,Chr_ngg,4.0,Unknown,,high,table_p2_ri9_ci1,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Standarddeviation,Standarddeviation,Chr_ngg,1855.61,Unknown,,high,table_p2_ri9_ci3,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Minimum,Minimum,Chr_ngg,97.11,Unknown,,high,table_p2_ri9_ci5,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Maximum,Maximum,Chr_ngg,5473.26,Unknown,,high,table_p2_ri9_ci6,"Table.1 Concentrations of individual and the total of 15 PAHs in Benxi soil (ng $\mathbf { g } ^ { - 1 } ,$ dry weigh basis,n=22)"
