paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Plant,Nap_ngg,3.34,Unknown,,high,table_p3_ri2_ci1,Concentration of PAHs in soils and plants collected from e-waste dump/processing sites in Nigeria and China (mg/kg dry wt).
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Plant,Acy_ngg,0.089,Unknown,,high,table_p3_ri4_ci1,Concentration of PAHs in soils and plants collected from e-waste dump/processing sites in Nigeria and China (mg/kg dry wt).
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Plant,Ace_ngg,4.86,Unknown,,high,table_p3_ri5_ci1,Concentration of PAHs in soils and plants collected from e-waste dump/processing sites in Nigeria and China (mg/kg dry wt).
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Plant,Flu_ngg,2.03,Unknown,,high,table_p3_ri6_ci1,Concentration of PAHs in soils and plants collected from e-waste dump/processing sites in Nigeria and China (mg/kg dry wt).
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Plant,Phe_ngg,79.64,Unknown,,high,table_p3_ri8_ci1,Concentration of PAHs in soils and plants collected from e-waste dump/processing sites in Nigeria and China (mg/kg dry wt).
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Plant,Flt_ngg,0.3,Unknown,,high,table_p3_ri10_ci1,Concentration of PAHs in soils and plants collected from e-waste dump/processing sites in Nigeria and China (mg/kg dry wt).
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Plant,Pyr_ngg,4.88,Unknown,,high,table_p3_ri11_ci1,Concentration of PAHs in soils and plants collected from e-waste dump/processing sites in Nigeria and China (mg/kg dry wt).
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Plant,Ant_ngg,0.01,Unknown,,high,table_p3_ri12_ci1,Concentration of PAHs in soils and plants collected from e-waste dump/processing sites in Nigeria and China (mg/kg dry wt).
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Plant,Chr_ngg,0.02,Unknown,,high,table_p3_ri13_ci1,Concentration of PAHs in soils and plants collected from e-waste dump/processing sites in Nigeria and China (mg/kg dry wt).
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Plant,Flt_ngg,0.03,Unknown,,high,table_p3_ri15_ci1,Concentration of PAHs in soils and plants collected from e-waste dump/processing sites in Nigeria and China (mg/kg dry wt).
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Plant,Flt_ngg,0.02,Unknown,,high,table_p3_ri16_ci1,Concentration of PAHs in soils and plants collected from e-waste dump/processing sites in Nigeria and China (mg/kg dry wt).
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Plant,Pyr_ngg,0.07,Unknown,,high,table_p3_ri17_ci1,Concentration of PAHs in soils and plants collected from e-waste dump/processing sites in Nigeria and China (mg/kg dry wt).
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Plant,Ant_ngg,0.06,Unknown,,high,table_p3_ri18_ci1,Concentration of PAHs in soils and plants collected from e-waste dump/processing sites in Nigeria and China (mg/kg dry wt).
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Plant,Pyr_ngg,0.002,Unknown,,high,table_p3_ri20_ci1,Concentration of PAHs in soils and plants collected from e-waste dump/processing sites in Nigeria and China (mg/kg dry wt).
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Plant,Sum_PAH_ngg,95.37,Unknown,,high,table_p3_ri23_ci1,Concentration of PAHs in soils and plants collected from e-waste dump/processing sites in Nigeria and China (mg/kg dry wt).
