paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Di,Di,pH,-0.166,Unknown,,high,table_p3_ri1_ci2,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Tri,Tri,pH,-0.139,Unknown,,high,table_p3_ri1_ci3,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Tetra,Tetra,pH,-0.006,Unknown,,high,table_p3_ri1_ci4,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Penta,Penta,pH,0.154,Unknown,,high,table_p3_ri1_ci5,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Hexa,Hexa,pH,-0.052,Unknown,,high,table_p3_ri1_ci6,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Hepta,Hepta,pH,-0.16,Unknown,,high,table_p3_ri1_ci7,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Di,Di,EC_mScm,0.111,Unknown,,high,table_p3_ri3_ci2,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Tri,Tri,EC_mScm,-0.229,Unknown,,high,table_p3_ri3_ci3,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Tetra,Tetra,EC_mScm,0.041,Unknown,,high,table_p3_ri3_ci4,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Penta,Penta,EC_mScm,0.018,Unknown,,high,table_p3_ri3_ci5,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Hexa,Hexa,EC_mScm,-0.087,Unknown,,high,table_p3_ri3_ci6,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Hepta,Hepta,EC_mScm,0.069,Unknown,,high,table_p3_ri3_ci7,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Di,Di,CEC_cmolkg,0.271,Unknown,,high,table_p3_ri5_ci2,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Tri,Tri,CEC_cmolkg,-0.143,Unknown,,high,table_p3_ri5_ci3,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Tetra,Tetra,CEC_cmolkg,-0.128,Unknown,,high,table_p3_ri5_ci4,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Penta,Penta,CEC_cmolkg,-0.257,Unknown,,high,table_p3_ri5_ci5,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Hexa,Hexa,CEC_cmolkg,-0.01,Unknown,,high,table_p3_ri5_ci6,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Hepta,Hepta,CEC_cmolkg,0.24,Unknown,,high,table_p3_ri5_ci7,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Di,Di,Clay_pct,-0.061,Unknown,,high,table_p3_ri7_ci2,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Tri,Tri,Clay_pct,-0.034,Unknown,,high,table_p3_ri7_ci3,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Tetra,Tetra,Clay_pct,-0.245,Unknown,,high,table_p3_ri7_ci4,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Penta,Penta,Clay_pct,-0.002,Unknown,,high,table_p3_ri7_ci5,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Hexa,Hexa,Clay_pct,-0.073,Unknown,,high,table_p3_ri7_ci6,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Di,Di,OC_pct,0.306,Unknown,,high,table_p3_ri11_ci2,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Tri,Tri,OC_pct,-0.176,Unknown,,high,table_p3_ri11_ci3,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Tetra,Tetra,OC_pct,-0.007,Unknown,,high,table_p3_ri11_ci4,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Penta,Penta,OC_pct,-0.173,Unknown,,high,table_p3_ri11_ci5,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Hexa,Hexa,OC_pct,0.103,Unknown,,high,table_p3_ri11_ci6,
72300_j.proenv.2010.10.208,72300_j.proenv.2010.10.208_Hepta,Hepta,OC_pct,0.299,Unknown,,high,table_p3_ri11_ci7,
