paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max.,Max.,SumHCH_ngg,2.01,Unknown,,high,table_p4_ri1_ci2,Table 1 Characteristics of OCP components in soil collected from 32 sites of arid and semiarid areas of northwest China
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Mean_Std._(ng/g）_(ng/g）_(ng/g）_dev,Mean Std. (ng/g） (ng/g） (ng/g） dev,SumHCH_ngg,0.3,Unknown,,high,table_p4_ri1_ci3,Table 1 Characteristics of OCP components in soil collected from 32 sites of arid and semiarid areas of northwest China
72310_s11356-014-2505-8,72310_s11356-014-2505-8_of_variance_frequency,of variance frequency,SumHCH_ngg,1.62,Unknown,,high,table_p4_ri1_ci5,Table 1 Characteristics of OCP components in soil collected from 32 sites of arid and semiarid areas of northwest China
72310_s11356-014-2505-8,72310_s11356-014-2505-8_(%,(%,SumHCH_ngg,100.0,Unknown,,high,table_p4_ri1_ci6,Table 1 Characteristics of OCP components in soil collected from 32 sites of arid and semiarid areas of northwest China
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Min.,Min.,SumHCH_ngg,0.1,Unknown,,high,table_p4_ri1_ci8,Table 1 Characteristics of OCP components in soil collected from 32 sites of arid and semiarid areas of northwest China
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max._(ng/g）_(ng/g）,Max. (ng/g） (ng/g）,SumHCH_ngg,120.49,Unknown,,high,table_p4_ri1_ci9,Table 1 Characteristics of OCP components in soil collected from 32 sites of arid and semiarid areas of northwest China
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Mean_Std._(ng/g）_dev,Mean Std. (ng/g） dev,SumHCH_ngg,12.52,Unknown,,high,table_p4_ri1_ci10,Table 1 Characteristics of OCP components in soil collected from 32 sites of arid and semiarid areas of northwest China
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Coefficient_Detection_of_variance,Coefficient Detection of variance,SumHCH_ngg,1.9,Unknown,,high,table_p4_ri1_ci12,Table 1 Characteristics of OCP components in soil collected from 32 sites of arid and semiarid areas of northwest China
72310_s11356-014-2505-8,72310_s11356-014-2505-8_frequency_(%,frequency (%,SumHCH_ngg,100.0,Unknown,,high,table_p4_ri1_ci13,Table 1 Characteristics of OCP components in soil collected from 32 sites of arid and semiarid areas of northwest China
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max.,Max.,SumHCH_ngg,8.07,Unknown,,high,table_p4_ri2_ci2,Table 1 Characteristics of OCP components in soil collected from 32 sites of arid and semiarid areas of northwest China
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Mean_Std._(ng/g）_(ng/g）_(ng/g）_dev,Mean Std. (ng/g） (ng/g） (ng/g） dev,SumHCH_ngg,0.69,Unknown,,high,table_p4_ri2_ci3,Table 1 Characteristics of OCP components in soil collected from 32 sites of arid and semiarid areas of northwest China
72310_s11356-014-2505-8,72310_s11356-014-2505-8_of_variance_frequency,of variance frequency,SumHCH_ngg,2.39,Unknown,,high,table_p4_ri2_ci5,Table 1 Characteristics of OCP components in soil collected from 32 sites of arid and semiarid areas of northwest China
72310_s11356-014-2505-8,72310_s11356-014-2505-8_(%,(%,SumHCH_ngg,97.0,Unknown,,high,table_p4_ri2_ci6,Table 1 Characteristics of OCP components in soil collected from 32 sites of arid and semiarid areas of northwest China
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max._(ng/g）_(ng/g）,Max. (ng/g） (ng/g）,SumHCH_ngg,11.71,Unknown,,high,table_p4_ri2_ci9,Table 1 Characteristics of OCP components in soil collected from 32 sites of arid and semiarid areas of northwest China
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Mean_Std._(ng/g）_dev,Mean Std. (ng/g） dev,SumHCH_ngg,1.21,Unknown,,high,table_p4_ri2_ci10,Table 1 Characteristics of OCP components in soil collected from 32 sites of arid and semiarid areas of northwest China
