paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
72318_eesa.2002.2202,72318_eesa.2002.2202_0-10cm,0-10cm,OC_pct,2.09,Unknown,,high,table_p1_ri5_ci1,TABLE 1 PCDD/F Concentrations in Soil (Cotton Field) at Site 1
72318_eesa.2002.2202,72318_eesa.2002.2202_10-20_cm,10-20 cm,OC_pct,4.82,Unknown,,high,table_p1_ri5_ci2,TABLE 1 PCDD/F Concentrations in Soil (Cotton Field) at Site 1
72318_eesa.2002.2202,72318_eesa.2002.2202_20-30_cm,20-30 cm,OC_pct,6.18,Unknown,,high,table_p1_ri5_ci3,TABLE 1 PCDD/F Concentrations in Soil (Cotton Field) at Site 1
72318_eesa.2002.2202,72318_eesa.2002.2202_30-40_cm_40-50_cm,30-40 cm 40-50 cm,OC_pct,3.52,Unknown,,high,table_p1_ri5_ci4,TABLE 1 PCDD/F Concentrations in Soil (Cotton Field) at Site 1
72318_eesa.2002.2202,72318_eesa.2002.2202_0-10cm,0-10cm,OC_pct,0.14,Unknown,,high,table_p1_ri17_ci1,TABLE 1 PCDD/F Concentrations in Soil (Cotton Field) at Site 1
72318_eesa.2002.2202,72318_eesa.2002.2202_10-20_cm,10-20 cm,OC_pct,0.25,Unknown,,high,table_p1_ri17_ci2,TABLE 1 PCDD/F Concentrations in Soil (Cotton Field) at Site 1
72318_eesa.2002.2202,72318_eesa.2002.2202_20-30_cm,20-30 cm,OC_pct,0.23,Unknown,,high,table_p1_ri17_ci3,TABLE 1 PCDD/F Concentrations in Soil (Cotton Field) at Site 1
72318_eesa.2002.2202,72318_eesa.2002.2202_30-40_cm_40-50_cm,30-40 cm 40-50 cm,OC_pct,0.28,Unknown,,high,table_p1_ri17_ci4,TABLE 1 PCDD/F Concentrations in Soil (Cotton Field) at Site 1
72318_eesa.2002.2202,72318_eesa.2002.2202_0-10cm,0-10cm,OC_pct,0.47,Unknown,,high,table_p1_ri19_ci1,TABLE 1 PCDD/F Concentrations in Soil (Cotton Field) at Site 1
72318_eesa.2002.2202,72318_eesa.2002.2202_0-10_cm,0-10 cm,OC_pct,14.6,Unknown,,high,table_p2_ri5_ci1,TABLE 2 PCDD/F Concentrations in Soil (Cotton Field) at Site 2
