paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S1,S1,OC_pct,23.9,Unknown,,high,table_p4_ri23_ci1,Table 2 PCDD/Fs concentrations in soil samples in 2007 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S2,S2,OC_pct,772.0,Unknown,,high,table_p4_ri23_ci2,Table 2 PCDD/Fs concentrations in soil samples in 2007 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S3,S3,OC_pct,315.0,Unknown,,high,table_p4_ri23_ci3,Table 2 PCDD/Fs concentrations in soil samples in 2007 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S4,S4,OC_pct,38.2,Unknown,,high,table_p4_ri23_ci4,Table 2 PCDD/Fs concentrations in soil samples in 2007 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S5,S5,OC_pct,383.0,Unknown,,high,table_p4_ri23_ci5,Table 2 PCDD/Fs concentrations in soil samples in 2007 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S6,S6,OC_pct,28.1,Unknown,,high,table_p4_ri23_ci6,Table 2 PCDD/Fs concentrations in soil samples in 2007 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S7,S7,OC_pct,18.3,Unknown,,high,table_p4_ri23_ci7,Table 2 PCDD/Fs concentrations in soil samples in 2007 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S8,S8,OC_pct,153.0,Unknown,,high,table_p4_ri23_ci8,Table 2 PCDD/Fs concentrations in soil samples in 2007 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S9,S9,OC_pct,48.5,Unknown,,high,table_p4_ri23_ci9,Table 2 PCDD/Fs concentrations in soil samples in 2007 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S10,S10,OC_pct,33.9,Unknown,,high,table_p4_ri23_ci10,Table 2 PCDD/Fs concentrations in soil samples in 2007 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S11,S11,OC_pct,43.4,Unknown,,high,table_p4_ri23_ci11,Table 2 PCDD/Fs concentrations in soil samples in 2007 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S2,S2,OC_pct,9.55849,Unknown,,high,table_p4_ri28_ci2,Table 2 PCDD/Fs concentrations in soil samples in 2007 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S3,S3,OC_pct,397.0,Unknown,,high,table_p4_ri28_ci3,Table 2 PCDD/Fs concentrations in soil samples in 2007 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S5,S5,OC_pct,1.91434,Unknown,,high,table_p4_ri28_ci5,Table 2 PCDD/Fs concentrations in soil samples in 2007 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S8,S8,OC_pct,5.72264,Unknown,,high,table_p4_ri28_ci8,Table 2 PCDD/Fs concentrations in soil samples in 2007 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S1,S1,OC_pct,257.0,Unknown,,high,table_p4_ri23_ci1,Table 3 PCDD/Fs concentrations in soil samples in 2008 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S3,S3,OC_pct,262.0,Unknown,,high,table_p4_ri23_ci3,Table 3 PCDD/Fs concentrations in soil samples in 2008 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S4,S4,OC_pct,226.0,Unknown,,high,table_p4_ri23_ci4,Table 3 PCDD/Fs concentrations in soil samples in 2008 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S5,S5,OC_pct,500.0,Unknown,,high,table_p4_ri23_ci5,Table 3 PCDD/Fs concentrations in soil samples in 2008 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S6,S6,OC_pct,29.2,Unknown,,high,table_p4_ri23_ci6,Table 3 PCDD/Fs concentrations in soil samples in 2008 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S7,S7,OC_pct,32.5,Unknown,,high,table_p4_ri23_ci7,Table 3 PCDD/Fs concentrations in soil samples in 2008 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S8,S8,OC_pct,119.0,Unknown,,high,table_p4_ri23_ci8,Table 3 PCDD/Fs concentrations in soil samples in 2008 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S9,S9,OC_pct,54.3,Unknown,,high,table_p4_ri23_ci9,Table 3 PCDD/Fs concentrations in soil samples in 2008 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S10,S10,OC_pct,22.7,Unknown,,high,table_p4_ri23_ci10,Table 3 PCDD/Fs concentrations in soil samples in 2008 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S11,S11,OC_pct,43.9,Unknown,,high,table_p4_ri23_ci11,Table 3 PCDD/Fs concentrations in soil samples in 2008 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S1,S1,OC_pct,70.8,Unknown,,high,table_p4_ri28_ci1,Table 3 PCDD/Fs concentrations in soil samples in 2008 survey.
72337_j.jhazmat.2010.03.072,72337_j.jhazmat.2010.03.072_S2,S2,OC_pct,351.0,Unknown,,high,table_p4_ri28_ci2,Table 3 PCDD/Fs concentrations in soil samples in 2008 survey.
