paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,Maximum,Nap_ngg,185.2,Unknown,,high,table_p2_ri1_ci2,Table 1 Concentrations (ng/g dw) of PAHs in urban soil from Xiangfen county (n = 128)
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),DF (%),Nap_ngg,99.22,Unknown,,high,table_p2_ri1_ci6,Table 1 Concentrations (ng/g dw) of PAHs in urban soil from Xiangfen county (n = 128)
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,Maximum,Acy_ngg,118.44,Unknown,,high,table_p2_ri2_ci2,Table 1 Concentrations (ng/g dw) of PAHs in urban soil from Xiangfen county (n = 128)
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),DF (%),Acy_ngg,66.41,Unknown,,high,table_p2_ri2_ci6,Table 1 Concentrations (ng/g dw) of PAHs in urban soil from Xiangfen county (n = 128)
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,Maximum,Ace_ngg,141.32,Unknown,,high,table_p2_ri3_ci2,Table 1 Concentrations (ng/g dw) of PAHs in urban soil from Xiangfen county (n = 128)
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),DF (%),Ace_ngg,27.34,Unknown,,high,table_p2_ri3_ci6,Table 1 Concentrations (ng/g dw) of PAHs in urban soil from Xiangfen county (n = 128)
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,Maximum,Flu_ngg,224.54,Unknown,,high,table_p2_ri4_ci2,Table 1 Concentrations (ng/g dw) of PAHs in urban soil from Xiangfen county (n = 128)
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),DF (%),Flu_ngg,89.06,Unknown,,high,table_p2_ri4_ci6,Table 1 Concentrations (ng/g dw) of PAHs in urban soil from Xiangfen county (n = 128)
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Minimum,Minimum,Phe_ngg,4.92,Unknown,,high,table_p2_ri5_ci1,Table 1 Concentrations (ng/g dw) of PAHs in urban soil from Xiangfen county (n = 128)
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,Maximum,Phe_ngg,1088.96,Unknown,,high,table_p2_ri5_ci2,Table 1 Concentrations (ng/g dw) of PAHs in urban soil from Xiangfen county (n = 128)
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),DF (%),Phe_ngg,100.0,Unknown,,high,table_p2_ri5_ci6,Table 1 Concentrations (ng/g dw) of PAHs in urban soil from Xiangfen county (n = 128)
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,Maximum,Ant_ngg,287.25,Unknown,,high,table_p2_ri6_ci2,Table 1 Concentrations (ng/g dw) of PAHs in urban soil from Xiangfen county (n = 128)
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),DF (%),Ant_ngg,92.19,Unknown,,high,table_p2_ri6_ci6,Table 1 Concentrations (ng/g dw) of PAHs in urban soil from Xiangfen county (n = 128)
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Minimum,Minimum,Flt_ngg,7.1,Unknown,,high,table_p2_ri7_ci1,Table 1 Concentrations (ng/g dw) of PAHs in urban soil from Xiangfen county (n = 128)
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,Maximum,Flt_ngg,1524.12,Unknown,,high,table_p2_ri7_ci2,Table 1 Concentrations (ng/g dw) of PAHs in urban soil from Xiangfen county (n = 128)
