paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-CZ,AH-CZ,pH,6.25,Unknown,,high,table_p5_ri2_ci3,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-CZ,AH-CZ,OC_pct,22.23,Unknown,,high,table_p5_ri2_ci4,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-CZ,AH-CZ,As_mgkg,46.15,Unknown,,high,table_p5_ri2_ci8,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-CZ,AH-CZ,Cd_mgkg,0.38,Unknown,,high,table_p5_ri2_ci9,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-CZ,AH-CZ,Cr_mgkg,50.37,Unknown,,high,table_p5_ri2_ci10,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-CZ,AH-CZ,Pb_mgkg,16.61,Unknown,,high,table_p5_ri2_ci11,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-CZ,AH-CZ,Cu_mgkg,20.59,Unknown,,high,table_p5_ri2_ci12,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-CZ,AH-CZ,Ni_mgkg,24.08,Unknown,,high,table_p5_ri2_ci13,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-HN,AH-HN,pH,6.83,Unknown,,high,table_p5_ri3_ci3,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-HN,AH-HN,OC_pct,18.45,Unknown,,high,table_p5_ri3_ci4,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-HN,AH-HN,As_mgkg,16.24,Unknown,,high,table_p5_ri3_ci8,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-HN,AH-HN,Cd_mgkg,0.28,Unknown,,high,table_p5_ri3_ci9,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-HN,AH-HN,Cr_mgkg,68.45,Unknown,,high,table_p5_ri3_ci10,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-HN,AH-HN,Pb_mgkg,21.27,Unknown,,high,table_p5_ri3_ci11,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-HN,AH-HN,Cu_mgkg,22.46,Unknown,,high,table_p5_ri3_ci12,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-HN,AH-HN,Ni_mgkg,28.35,Unknown,,high,table_p5_ri3_ci13,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-SZ,AH-SZ,pH,6.46,Unknown,,high,table_p5_ri4_ci3,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-SZ,AH-SZ,OC_pct,15.17,Unknown,,high,table_p5_ri4_ci4,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-SZ,AH-SZ,As_mgkg,15.89,Unknown,,high,table_p5_ri4_ci8,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-SZ,AH-SZ,Cd_mgkg,0.36,Unknown,,high,table_p5_ri4_ci9,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-SZ,AH-SZ,Cr_mgkg,63.25,Unknown,,high,table_p5_ri4_ci10,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-SZ,AH-SZ,Pb_mgkg,21.44,Unknown,,high,table_p5_ri4_ci11,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-SZ,AH-SZ,Cu_mgkg,19.44,Unknown,,high,table_p5_ri4_ci12,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_AH-SZ,AH-SZ,Ni_mgkg,27.77,Unknown,,high,table_p5_ri4_ci13,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_FJ-HT,FJ-HT,pH,7.31,Unknown,,high,table_p5_ri5_ci3,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_FJ-HT,FJ-HT,OC_pct,16.92,Unknown,,high,table_p5_ri5_ci4,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_FJ-HT,FJ-HT,As_mgkg,4.94,Unknown,,high,table_p5_ri5_ci8,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_FJ-HT,FJ-HT,Cd_mgkg,0.09,Unknown,,high,table_p5_ri5_ci9,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_FJ-HT,FJ-HT,Cr_mgkg,21.53,Unknown,,high,table_p5_ri5_ci10,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_FJ-HT,FJ-HT,Pb_mgkg,8.02,Unknown,,high,table_p5_ri5_ci11,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_FJ-HT,FJ-HT,Cu_mgkg,8.5,Unknown,,high,table_p5_ri5_ci12,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_FJ-HT,FJ-HT,Ni_mgkg,4.58,Unknown,,high,table_p5_ri5_ci13,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-LM,GD-LM,pH,5.46,Unknown,,high,table_p5_ri6_ci3,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-LM,GD-LM,OC_pct,41.75,Unknown,,high,table_p5_ri6_ci4,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-LM,GD-LM,As_mgkg,6.14,Unknown,,high,table_p5_ri6_ci8,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-LM,GD-LM,Cd_mgkg,0.32,Unknown,,high,table_p5_ri6_ci9,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-LM,GD-LM,Cr_mgkg,17.86,Unknown,,high,table_p5_ri6_ci10,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-LM,GD-LM,Pb_mgkg,78.56,Unknown,,high,table_p5_ri6_ci11,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-LM,GD-LM,Cu_mgkg,17.62,Unknown,,high,table_p5_ri6_ci12,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-LM,GD-LM,Ni_mgkg,5.06,Unknown,,high,table_p5_ri6_ci13,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-SG,GD-SG,pH,5.44,Unknown,,high,table_p5_ri7_ci3,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-SG,GD-SG,OC_pct,20.98,Unknown,,high,table_p5_ri7_ci4,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-SG,GD-SG,As_mgkg,53.98,Unknown,,high,table_p5_ri7_ci8,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-SG,GD-SG,Cd_mgkg,1.42,Unknown,,high,table_p5_ri7_ci9,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-SG,GD-SG,Cr_mgkg,58.02,Unknown,,high,table_p5_ri7_ci10,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-SG,GD-SG,Pb_mgkg,103.34,Unknown,,high,table_p5_ri7_ci11,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-SG,GD-SG,Cu_mgkg,33.03,Unknown,,high,table_p5_ri7_ci12,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-SG,GD-SG,Ni_mgkg,17.96,Unknown,,high,table_p5_ri7_ci13,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-XH,GD-XH,pH,7.26,Unknown,,high,table_p5_ri8_ci3,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-XH,GD-XH,OC_pct,14.68,Unknown,,high,table_p5_ri8_ci4,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-XH,GD-XH,As_mgkg,11.33,Unknown,,high,table_p5_ri8_ci8,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-XH,GD-XH,Cd_mgkg,0.06,Unknown,,high,table_p5_ri8_ci9,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-XH,GD-XH,Cr_mgkg,24.17,Unknown,,high,table_p5_ri8_ci10,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-XH,GD-XH,Pb_mgkg,0.18,Unknown,,high,table_p5_ri8_ci11,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-XH,GD-XH,Cu_mgkg,17.35,Unknown,,high,table_p5_ri8_ci12,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GD-XH,GD-XH,Ni_mgkg,5.6,Unknown,,high,table_p5_ri8_ci13,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GX-GL,GX-GL,pH,6.73,Unknown,,high,table_p5_ri9_ci3,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GX-GL,GX-GL,OC_pct,30.3,Unknown,,high,table_p5_ri9_ci4,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GX-GL,GX-GL,As_mgkg,11.48,Unknown,,high,table_p5_ri9_ci8,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GX-GL,GX-GL,Cd_mgkg,0.25,Unknown,,high,table_p5_ri9_ci9,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GX-GL,GX-GL,Cr_mgkg,50.27,Unknown,,high,table_p5_ri9_ci10,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GX-GL,GX-GL,Pb_mgkg,15.41,Unknown,,high,table_p5_ri9_ci11,Table S1. Physicochemical characteristics of collected soil samples.
Arsenic Reduces Methane Emissions from Paddy Soils,Arsenic Reduces Methane Emissions from Paddy Soils_GX-GL,GX-GL,Cu_mgkg,27.29,Unknown,,high,table_p5_ri9_ci12,Table S1. Physicochemical characteristics of collected soil samples.
