paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
Cao Jianrong 等 - 2022 - The concentrations and sou,Cao Jianrong 等 - 2022 - The concentrations and sou_Total_soil_(n_=_37),Total soil (n = 37),Nap_ngg,190.45,Unknown,range_mean,high,table_p3_ri2_ci1,"TAB LE 1 PAH concentrations (<sub>μ g</sub> k<sub>g</sub>−<sup>1</sup>)<sub>,</sub> detect rates a nd <sub>p</sub>ro<sub>p</sub>ortions i n d ifferent soi l sa m <sub>p</sub>les."
Cao Jianrong 等 - 2022 - The concentrations and sou,Cao Jianrong 等 - 2022 - The concentrations and sou_Soil_from_the_oil_field_(n_=_25),Soil from the oil field (n = 25),Nap_ngg,123.4,Unknown,,high,table_p3_ri2_ci2,"TAB LE 1 PAH concentrations (<sub>μ g</sub> k<sub>g</sub>−<sup>1</sup>)<sub>,</sub> detect rates a nd <sub>p</sub>ro<sub>p</sub>ortions i n d ifferent soi l sa m <sub>p</sub>les."
Cao Jianrong 等 - 2022 - The concentrations and sou,Cao Jianrong 等 - 2022 - The concentrations and sou_Soil_from_the_estuary_(n_=_12),Soil from the estuary (n = 12),Nap_ngg,100.0,Unknown,,high,table_p3_ri2_ci3,"TAB LE 1 PAH concentrations (<sub>μ g</sub> k<sub>g</sub>−<sup>1</sup>)<sub>,</sub> detect rates a nd <sub>p</sub>ro<sub>p</sub>ortions i n d ifferent soi l sa m <sub>p</sub>les."
Cao Jianrong 等 - 2022 - The concentrations and sou,Cao Jianrong 等 - 2022 - The concentrations and sou_Soil_from_the_oil_field_(n_=_25),Soil from the oil field (n = 25),Acy_ngg,5.0,Unknown,,high,table_p3_ri3_ci2,"TAB LE 1 PAH concentrations (<sub>μ g</sub> k<sub>g</sub>−<sup>1</sup>)<sub>,</sub> detect rates a nd <sub>p</sub>ro<sub>p</sub>ortions i n d ifferent soi l sa m <sub>p</sub>les."
Cao Jianrong 等 - 2022 - The concentrations and sou,Cao Jianrong 等 - 2022 - The concentrations and sou_Soil_from_the_estuary_(n_=_12),Soil from the estuary (n = 12),Acy_ngg,97.3,Unknown,,high,table_p3_ri3_ci3,"TAB LE 1 PAH concentrations (<sub>μ g</sub> k<sub>g</sub>−<sup>1</sup>)<sub>,</sub> detect rates a nd <sub>p</sub>ro<sub>p</sub>ortions i n d ifferent soi l sa m <sub>p</sub>les."
Cao Jianrong 等 - 2022 - The concentrations and sou,Cao Jianrong 等 - 2022 - The concentrations and sou_Total_soil_(n_=_37),Total soil (n = 37),Ace_ngg,11.1,Unknown,range_mean,high,table_p3_ri4_ci1,"TAB LE 1 PAH concentrations (<sub>μ g</sub> k<sub>g</sub>−<sup>1</sup>)<sub>,</sub> detect rates a nd <sub>p</sub>ro<sub>p</sub>ortions i n d ifferent soi l sa m <sub>p</sub>les."
Cao Jianrong 等 - 2022 - The concentrations and sou,Cao Jianrong 等 - 2022 - The concentrations and sou_Soil_from_the_oil_field_(n_=_25),Soil from the oil field (n = 25),Ace_ngg,4.0,Unknown,,high,table_p3_ri4_ci2,"TAB LE 1 PAH concentrations (<sub>μ g</sub> k<sub>g</sub>−<sup>1</sup>)<sub>,</sub> detect rates a nd <sub>p</sub>ro<sub>p</sub>ortions i n d ifferent soi l sa m <sub>p</sub>les."
Cao Jianrong 等 - 2022 - The concentrations and sou,Cao Jianrong 等 - 2022 - The concentrations and sou_Soil_from_the_estuary_(n_=_12),Soil from the estuary (n = 12),Ace_ngg,100.0,Unknown,,high,table_p3_ri4_ci3,"TAB LE 1 PAH concentrations (<sub>μ g</sub> k<sub>g</sub>−<sup>1</sup>)<sub>,</sub> detect rates a nd <sub>p</sub>ro<sub>p</sub>ortions i n d ifferent soi l sa m <sub>p</sub>les."
Cao Jianrong 等 - 2022 - The concentrations and sou,Cao Jianrong 等 - 2022 - The concentrations and sou_Total_soil_(n_=_37),Total soil (n = 37),Phe_ngg,52.5,Unknown,range_mean,high,table_p3_ri6_ci1,"TAB LE 1 PAH concentrations (<sub>μ g</sub> k<sub>g</sub>−<sup>1</sup>)<sub>,</sub> detect rates a nd <sub>p</sub>ro<sub>p</sub>ortions i n d ifferent soi l sa m <sub>p</sub>les."
Cao Jianrong 等 - 2022 - The concentrations and sou,Cao Jianrong 等 - 2022 - The concentrations and sou_Soil_from_the_oil_field_(n_=_25),Soil from the oil field (n = 25),Phe_ngg,43.4,Unknown,,high,table_p3_ri6_ci2,"TAB LE 1 PAH concentrations (<sub>μ g</sub> k<sub>g</sub>−<sup>1</sup>)<sub>,</sub> detect rates a nd <sub>p</sub>ro<sub>p</sub>ortions i n d ifferent soi l sa m <sub>p</sub>les."
