paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_0,0,Sum_PAH_ngg,0.0,Unknown,,high,table_p3_ri2_ci0,Table 1. Risk classification of individual PAHs and total PAHs.
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,NCs,Nap_ngg,12.0,Unknown,,high,table_p4_ri2_ci1, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_12),UG2 (n = 12),Nap_ngg,12.6,Unknown,,high,table_p4_ri2_ci3, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G2_(n_=_10),G2 (n = 10),Nap_ngg,0.1,Unknown,,high,table_p4_ri2_ci4, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G1_(n_=_9),G1 (n = 9),Nap_ngg,13.4,Unknown,,high,table_p4_ri2_ci5, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S3_(n_=_10),S3 (n = 10),Nap_ngg,0.1,Unknown,,high,table_p4_ri2_ci6, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_2),UG1 (n = 2),Nap_ngg,31.3,Unknown,,high,table_p4_ri2_ci7, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S2_(n_=_7),S2 (n = 7),Nap_ngg,0.3,Unknown,,high,table_p4_ri2_ci8, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S1_(n_=_2),S1 (n = 2),Nap_ngg,21.3,Unknown,,high,table_p4_ri2_ci9, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,NCs,Acy_ngg,0.7,Unknown,,high,table_p4_ri3_ci1, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,MPCs,Acy_ngg,70.0,Unknown,,high,table_p4_ri3_ci2, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_12),UG2 (n = 12),Acy_ngg,328.8,Unknown,,high,table_p4_ri3_ci3, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G2_(n_=_10),G2 (n = 10),Acy_ngg,3.3,Unknown,,high,table_p4_ri3_ci4, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G1_(n_=_9),G1 (n = 9),Acy_ngg,272.2,Unknown,,high,table_p4_ri3_ci5, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S3_(n_=_10),S3 (n = 10),Acy_ngg,2.7,Unknown,,high,table_p4_ri3_ci6, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_2),UG1 (n = 2),Acy_ngg,340.0,Unknown,,high,table_p4_ri3_ci7, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S2_(n_=_7),S2 (n = 7),Acy_ngg,3.4,Unknown,,high,table_p4_ri3_ci8, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S1_(n_=_2),S1 (n = 2),Acy_ngg,228.7,Unknown,,high,table_p4_ri3_ci9, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,NCs,Ace_ngg,0.7,Unknown,,high,table_p4_ri4_ci1, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,MPCs,Ace_ngg,70.0,Unknown,,high,table_p4_ri4_ci2, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_12),UG2 (n = 12),Ace_ngg,97.7,Unknown,,high,table_p4_ri4_ci3, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G2_(n_=_10),G2 (n = 10),Ace_ngg,1.0,Unknown,,high,table_p4_ri4_ci4, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G1_(n_=_9),G1 (n = 9),Ace_ngg,38.1,Unknown,,high,table_p4_ri4_ci5, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S3_(n_=_10),S3 (n = 10),Ace_ngg,0.4,Unknown,,high,table_p4_ri4_ci6, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_2),UG1 (n = 2),Ace_ngg,219.7,Unknown,,high,table_p4_ri4_ci7, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S2_(n_=_7),S2 (n = 7),Ace_ngg,2.2,Unknown,,high,table_p4_ri4_ci8, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S1_(n_=_2),S1 (n = 2),Ace_ngg,68.0,Unknown,,high,table_p4_ri4_ci9, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,NCs,Flu_ngg,0.7,Unknown,,high,table_p4_ri5_ci1, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,MPCs,Flu_ngg,70.0,Unknown,,high,table_p4_ri5_ci2, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_12),UG2 (n = 12),Flu_ngg,367.5,Unknown,,high,table_p4_ri5_ci3, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G2_(n_=_10),G2 (n = 10),Flu_ngg,3.7,Unknown,,high,table_p4_ri5_ci4, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G1_(n_=_9),G1 (n = 9),Flu_ngg,138.5,Unknown,,high,table_p4_ri5_ci5, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S3_(n_=_10),S3 (n = 10),Flu_ngg,1.4,Unknown,,high,table_p4_ri5_ci6, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_2),UG1 (n = 2),Flu_ngg,678.2,Unknown,,high,table_p4_ri5_ci7, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S2_(n_=_7),S2 (n = 7),Flu_ngg,6.8,Unknown,,high,table_p4_ri5_ci8, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S1_(n_=_2),S1 (n = 2),Flu_ngg,229.6,Unknown,,high,table_p4_ri5_ci9, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,NCs,Phe_ngg,3.0,Unknown,,high,table_p4_ri6_ci1, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,MPCs,Phe_ngg,300.0,Unknown,,high,table_p4_ri6_ci2, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_12),UG2 (n = 12),Phe_ngg,146.8,Unknown,,high,table_p4_ri6_ci3, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G2_(n_=_10),G2 (n = 10),Phe_ngg,1.5,Unknown,,high,table_p4_ri6_ci4, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G1_(n_=_9),G1 (n = 9),Phe_ngg,40.6,Unknown,,high,table_p4_ri6_ci5, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S3_(n_=_10),S3 (n = 10),Phe_ngg,0.4,Unknown,,high,table_p4_ri6_ci6, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_2),UG1 (n = 2),Phe_ngg,305.6,Unknown,,high,table_p4_ri6_ci7, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S2_(n_=_7),S2 (n = 7),Phe_ngg,3.1,Unknown,,high,table_p4_ri6_ci8, <sub>ND</sub> <sup>means</sup> <sup>not</sup> <sup>detecte</sup>
