paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Kurtosis,Kurtosis,Ni_mgkg,3.21,Unknown,,high,table_p5_ri6_ci3,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Kurtosis,Kurtosis,Pb_mgkg,9.83,Unknown,,high,table_p5_ri6_ci4,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Kurtosis,Kurtosis,Cd_mgkg,15.24,Unknown,,high,table_p5_ri6_ci6,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Kurtosis,Kurtosis,Hg_mgkg,15.92,Unknown,,high,table_p5_ri6_ci9,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_CV_(%),CV (%),Ni_mgkg,69.78,Unknown,,high,table_p5_ri7_ci3,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_CV_(%),CV (%),Pb_mgkg,1301.34,Unknown,,high,table_p5_ri7_ci4,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_CV_(%),CV (%),Cd_mgkg,338.89,Unknown,,high,table_p5_ri7_ci6,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_CV_(%),CV (%),Hg_mgkg,249.87,Unknown,,high,table_p5_ri7_ci9,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Skewness,Skewness,Ni_mgkg,1.45,Unknown,,high,table_p5_ri8_ci3,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Skewness,Skewness,Pb_mgkg,3.23,Unknown,,high,table_p5_ri8_ci4,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Skewness,Skewness,Cd_mgkg,3.72,Unknown,,high,table_p5_ri8_ci6,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Skewness,Skewness,Hg_mgkg,3.84,Unknown,,high,table_p5_ri8_ci9,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Yunnan_Background,Yunnan Background,Ni_mgkg,42.5,Unknown,,high,table_p5_ri9_ci3,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Yunnan_Background,Yunnan Background,Pb_mgkg,40.6,Unknown,,high,table_p5_ri9_ci4,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Yunnan_Background,Yunnan Background,Cd_mgkg,0.2,Unknown,,high,table_p5_ri9_ci6,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Yunnan_Background,Yunnan Background,Hg_mgkg,0.06,Unknown,,high,table_p5_ri9_ci9,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,"Evaluation of Contamination and Ecological and Hea_GB_15,618–2018_(grade_2)","GB 15,618–2018 (grade 2)",Ni_mgkg,70.0,Unknown,,high,table_p5_ri10_ci3,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,"Evaluation of Contamination and Ecological and Hea_GB_15,618–2018_(grade_2)","GB 15,618–2018 (grade 2)",Pb_mgkg,90.0,Unknown,,high,table_p5_ri10_ci4,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,"Evaluation of Contamination and Ecological and Hea_GB_15,618–2018_(grade_2)","GB 15,618–2018 (grade 2)",Cd_mgkg,0.3,Unknown,,high,table_p5_ri10_ci6,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,"Evaluation of Contamination and Ecological and Hea_GB_15,618–2018_(grade_2)","GB 15,618–2018 (grade 2)",Hg_mgkg,1.8,Unknown,,high,table_p5_ri10_ci9,Table 2. Statistical analysis of the concentrations of HMLs in Datun soil in Gejiu (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Anshan,Anshan,Cr_mgkg,69.9,Unknown,,high,table_p7_ri1_ci1,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Anshan,Anshan,Cu_mgkg,52.3,Unknown,,high,table_p7_ri1_ci2,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Anshan,Anshan,Ni_mgkg,33.5,Unknown,,high,table_p7_ri1_ci3,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Anshan,Anshan,Pb_mgkg,45.1,Unknown,,high,table_p7_ri1_ci4,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Anshan,Anshan,Cd_mgkg,0.86,Unknown,,high,table_p7_ri1_ci6,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Jinchang,Jinchang,Cr_mgkg,197.0,Unknown,,high,table_p7_ri2_ci1,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Jinchang,Jinchang,Cu_mgkg,1226.3,Unknown,,high,table_p7_ri2_ci2,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Jinchang,Jinchang,Ni_mgkg,910.3,Unknown,,high,table_p7_ri2_ci3,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Jinchang,Jinchang,Pb_mgkg,40.3,Unknown,,high,table_p7_ri2_ci4,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Jinchang,Jinchang,Cd_mgkg,1.11,Unknown,,high,table_p7_ri2_ci6,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Jinchang,Jinchang,Co_mgkg,58.9,Unknown,,high,table_p7_ri2_ci7,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Jinchang,Jinchang,As_mgkg,30.9,Unknown,,high,table_p7_ri2_ci8,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Yongxin,Yongxin,Cr_mgkg,550.9,Unknown,,high,table_p7_ri3_ci1,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Yongxin,Yongxin,Cu_mgkg,103.3,Unknown,,high,table_p7_ri3_ci2,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Yongxin,Yongxin,Ni_mgkg,206.7,Unknown,,high,table_p7_ri3_ci3,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Yongxin,Yongxin,Pb_mgkg,74.1,Unknown,,high,table_p7_ri3_ci4,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Yongxin,Yongxin,Cd_mgkg,1.7,Unknown,,high,table_p7_ri3_ci6,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Baotou,Baotou,Cr_mgkg,242.6,Unknown,,high,table_p7_ri4_ci1,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Baotou,Baotou,Cu_mgkg,31.8,Unknown,,high,table_p7_ri4_ci2,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Baotou,Baotou,Ni_mgkg,24.0,Unknown,,high,table_p7_ri4_ci3,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Baotou,Baotou,Pb_mgkg,65.7,Unknown,,high,table_p7_ri4_ci4,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Baotou,Baotou,Co_mgkg,54.0,Unknown,,high,table_p7_ri4_ci7,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Jingding,Jingding,Cr_mgkg,27.9,Unknown,,high,table_p7_ri5_ci1,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Jingding,Jingding,Cu_mgkg,34.9,Unknown,,high,table_p7_ri5_ci2,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Jingding,Jingding,Ni_mgkg,12.9,Unknown,,high,table_p7_ri5_ci3,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Jingding,Jingding,Pb_mgkg,3800.0,Unknown,,high,table_p7_ri5_ci4,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Jingding,Jingding,Cd_mgkg,452.0,Unknown,,high,table_p7_ri5_ci6,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Jingding,Jingding,As_mgkg,275.0,Unknown,,high,table_p7_ri5_ci8,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Jingding,Jingding,Hg_mgkg,0.15,Unknown,,high,table_p7_ri5_ci9,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Barapukuria,Barapukuria,Cr_mgkg,99.0,Unknown,,high,table_p7_ri6_ci1,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Barapukuria,Barapukuria,Cu_mgkg,56.0,Unknown,,high,table_p7_ri6_ci2,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Barapukuria,Barapukuria,Ni_mgkg,44.0,Unknown,,high,table_p7_ri6_ci3,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Barapukuria,Barapukuria,Pb_mgkg,33.0,Unknown,,high,table_p7_ri6_ci4,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Barapukuria,Barapukuria,Cd_mgkg,1.0,Unknown,,high,table_p7_ri6_ci6,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Barapukuria,Barapukuria,Co_mgkg,80.0,Unknown,,high,table_p7_ri6_ci7,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Barapukuria,Barapukuria,As_mgkg,3.0,Unknown,,high,table_p7_ri6_ci8,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
Evaluation of Contamination and Ecological and Hea,Evaluation of Contamination and Ecological and Hea_Panasqueira,Panasqueira,Cr_mgkg,37.8,Unknown,,high,table_p7_ri7_ci1,Table 3. The comparison of HMLs in Datun soil in diferent locations (mg/kg).
