paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
Hu Y - 2026 - Source analysis and ecological risk ,Hu Y - 2026 - Source analysis and ecological risk _ω_(mg·kg1)_of_risk_factors,ω (mg·kg1) of risk factors,V_mgkg,380.0,Unknown,,medium,table_p6_ri6_ci1,Table 1. Evaluation standard of soil heavy metal pollution.
Hu Y - 2026 - Source analysis and ecological risk ,Hu Y - 2026 - Source analysis and ecological risk _col2,col2,V_mgkg,520.0,Unknown,,medium,table_p6_ri6_ci2,Table 1. Evaluation standard of soil heavy metal pollution.
Hu Y - 2026 - Source analysis and ecological risk ,Hu Y - 2026 - Source analysis and ecological risk _col3,col3,V_mgkg,650.0,Unknown,,medium,table_p6_ri6_ci3,Table 1. Evaluation standard of soil heavy metal pollution.
Hu Y - 2026 - Source analysis and ecological risk ,Hu Y - 2026 - Source analysis and ecological risk _col4,col4,V_mgkg,650.0,Unknown,,medium,table_p6_ri6_ci4,Table 1. Evaluation standard of soil heavy metal pollution.
Hu Y - 2026 - Source analysis and ecological risk ,Hu Y - 2026 - Source analysis and ecological risk _col5,col5,V_mgkg,605.0,Unknown,,medium,table_p6_ri6_ci5,Table 1. Evaluation standard of soil heavy metal pollution.
Hu Y - 2026 - Source analysis and ecological risk ,Hu Y - 2026 - Source analysis and ecological risk _col6,col6,V_mgkg,52.0,Unknown,,medium,table_p6_ri6_ci6,Table 1. Evaluation standard of soil heavy metal pollution.
Hu Y - 2026 - Source analysis and ecological risk ,Hu Y - 2026 - Source analysis and ecological risk _col7,col7,V_mgkg,7730.0,Unknown,,medium,table_p6_ri6_ci7,Table 1. Evaluation standard of soil heavy metal pollution.
Hu Y - 2026 - Source analysis and ecological risk ,Hu Y - 2026 - Source analysis and ecological risk _col8,col8,V_mgkg,52.0,Unknown,,medium,table_p6_ri6_ci8,Table 1. Evaluation standard of soil heavy metal pollution.
Hu Y - 2026 - Source analysis and ecological risk ,Hu Y - 2026 - Source analysis and ecological risk _col9,col9,V_mgkg,1.95,Unknown,,medium,table_p6_ri6_ci9,Table 1. Evaluation standard of soil heavy metal pollution.
Hu Y - 2026 - Source analysis and ecological risk ,Hu Y - 2026 - Source analysis and ecological risk _Background_value_(mg·kg-1),Background value (mg·kg-1),Cu_mgkg,22.0,Unknown,,high,table_p8_ri1_ci2,Table 2. Descriptive statistics of heavy metal content (n=437).
Hu Y - 2026 - Source analysis and ecological risk ,Hu Y - 2026 - Source analysis and ecological risk _Background_value_(mg·kg-1),Background value (mg·kg-1),Pb_mgkg,23.6,Unknown,,high,table_p8_ri1_ci3,Table 2. Descriptive statistics of heavy metal content (n=437).
Hu Y - 2026 - Source analysis and ecological risk ,Hu Y - 2026 - Source analysis and ecological risk _Background_value_(mg·kg-1),Background value (mg·kg-1),Zn_mgkg,61.5,Unknown,,high,table_p8_ri1_ci4,Table 2. Descriptive statistics of heavy metal content (n=437).
Hu Y - 2026 - Source analysis and ecological risk ,Hu Y - 2026 - Source analysis and ecological risk _Background_value_(mg·kg-1),Background value (mg·kg-1),Sb_mgkg,0.9,Unknown,,high,table_p8_ri1_ci6,Table 2. Descriptive statistics of heavy metal content (n=437).
