paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
Mapping Legacy and Emerging PFAS in China’s Staple,Mapping Legacy and Emerging PFAS in China’s Staple_PFBA,PFBA,V_mgkg,10.0,Unknown,,high,table_p9_ri1_ci3,Table S1. The basic analytical information for PFAS analysis on UPLC-MS/MS
Mapping Legacy and Emerging PFAS in China’s Staple,Mapping Legacy and Emerging PFAS in China’s Staple_PFBA,PFBA,V_mgkg,10.0,Unknown,,high,table_p9_ri1_ci4,Table S1. The basic analytical information for PFAS analysis on UPLC-MS/MS
Mapping Legacy and Emerging PFAS in China’s Staple,Mapping Legacy and Emerging PFAS in China’s Staple_PFPeA,PFPeA,V_mgkg,10.0,Unknown,,high,table_p9_ri2_ci3,Table S1. The basic analytical information for PFAS analysis on UPLC-MS/MS
Mapping Legacy and Emerging PFAS in China’s Staple,Mapping Legacy and Emerging PFAS in China’s Staple_PFPeA,PFPeA,V_mgkg,35.0,Unknown,,high,table_p9_ri2_ci4,Table S1. The basic analytical information for PFAS analysis on UPLC-MS/MS
Mapping Legacy and Emerging PFAS in China’s Staple,Mapping Legacy and Emerging PFAS in China’s Staple_PFHxA,PFHxA,V_mgkg,2010.0,Unknown,,high,table_p9_ri3_ci3,Table S1. The basic analytical information for PFAS analysis on UPLC-MS/MS
Mapping Legacy and Emerging PFAS in China’s Staple,Mapping Legacy and Emerging PFAS in China’s Staple_PFHxA,PFHxA,V_mgkg,5.0,Unknown,,high,table_p9_ri3_ci4,Table S1. The basic analytical information for PFAS analysis on UPLC-MS/MS
Mapping Legacy and Emerging PFAS in China’s Staple,Mapping Legacy and Emerging PFAS in China’s Staple_PFHpA,PFHpA,V_mgkg,159.0,Unknown,,high,table_p9_ri4_ci3,Table S1. The basic analytical information for PFAS analysis on UPLC-MS/MS
Mapping Legacy and Emerging PFAS in China’s Staple,Mapping Legacy and Emerging PFAS in China’s Staple_PFHpA,PFHpA,V_mgkg,35.0,Unknown,,high,table_p9_ri4_ci4,Table S1. The basic analytical information for PFAS analysis on UPLC-MS/MS
Mapping Legacy and Emerging PFAS in China’s Staple,Mapping Legacy and Emerging PFAS in China’s Staple_PFOA,PFOA,V_mgkg,1510.0,Unknown,,high,table_p9_ri5_ci3,Table S1. The basic analytical information for PFAS analysis on UPLC-MS/MS
Mapping Legacy and Emerging PFAS in China’s Staple,Mapping Legacy and Emerging PFAS in China’s Staple_PFOA,PFOA,V_mgkg,10.0,Unknown,,high,table_p9_ri5_ci4,Table S1. The basic analytical information for PFAS analysis on UPLC-MS/MS
Mapping Legacy and Emerging PFAS in China’s Staple,Mapping Legacy and Emerging PFAS in China’s Staple_PFNA,PFNA,V_mgkg,1510.0,Unknown,,high,table_p9_ri6_ci3,Table S1. The basic analytical information for PFAS analysis on UPLC-MS/MS
Mapping Legacy and Emerging PFAS in China’s Staple,Mapping Legacy and Emerging PFAS in China’s Staple_PFNA,PFNA,V_mgkg,10.0,Unknown,,high,table_p9_ri6_ci4,Table S1. The basic analytical information for PFAS analysis on UPLC-MS/MS
Mapping Legacy and Emerging PFAS in China’s Staple,Mapping Legacy and Emerging PFAS in China’s Staple_PFDA,PFDA,V_mgkg,1513.0,Unknown,,high,table_p9_ri7_ci3,Table S1. The basic analytical information for PFAS analysis on UPLC-MS/MS
Mapping Legacy and Emerging PFAS in China’s Staple,Mapping Legacy and Emerging PFAS in China’s Staple_PFDA,PFDA,V_mgkg,15.0,Unknown,,high,table_p9_ri7_ci4,Table S1. The basic analytical information for PFAS analysis on UPLC-MS/MS
Mapping Legacy and Emerging PFAS in China’s Staple,Mapping Legacy and Emerging PFAS in China’s Staple_PFUnDA,PFUnDA,V_mgkg,2010.0,Unknown,,high,table_p9_ri8_ci3,Table S1. The basic analytical information for PFAS analysis on UPLC-MS/MS
Mapping Legacy and Emerging PFAS in China’s Staple,Mapping Legacy and Emerging PFAS in China’s Staple_PFUnDA,PFUnDA,V_mgkg,25.0,Unknown,,high,table_p9_ri8_ci4,Table S1. The basic analytical information for PFAS analysis on UPLC-MS/MS
Mapping Legacy and Emerging PFAS in China’s Staple,Mapping Legacy and Emerging PFAS in China’s Staple_PFDoDA,PFDoDA,V_mgkg,2510.0,Unknown,,high,table_p9_ri9_ci3,Table S1. The basic analytical information for PFAS analysis on UPLC-MS/MS
