paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Ringnumber",Ringnumber,Nap_ngg,2.0,Unknown,,high,table_p2_ri4_ci1,"Table 1. Te content of PAHs in soil and plants in Urumqi city parks. Σ PAHs: 7 kinds of carcinogenic PAHs (BaA, Chr, BbF, BkF, BaP, InP, DahN); $\Sigma _ { 1 6 } \mathrm { \bar { P A } }$ Hs: 16 kinds"
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Concentration_(mg/kg)",Concentration (mg/kg),Nap_ngg,0.0085,Unknown,range_mean,high,table_p2_ri4_ci2,"Table 1. Te content of PAHs in soil and plants in Urumqi city parks. Σ PAHs: 7 kinds of carcinogenic PAHs (BaA, Chr, BbF, BkF, BaP, InP, DahN); $\Sigma _ { 1 6 } \mathrm { \bar { P A } }$ Hs: 16 kinds"
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Ringnumber",Ringnumber,Ace_ngg,3.0,Unknown,,high,table_p2_ri5_ci1,"Table 1. Te content of PAHs in soil and plants in Urumqi city parks. Σ PAHs: 7 kinds of carcinogenic PAHs (BaA, Chr, BbF, BkF, BaP, InP, DahN); $\Sigma _ { 1 6 } \mathrm { \bar { P A } }$ Hs: 16 kinds"
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Concentration_(mg/kg)",Concentration (mg/kg),Ace_ngg,0.0046,Unknown,range_mean,high,table_p2_ri5_ci2,"Table 1. Te content of PAHs in soil and plants in Urumqi city parks. Σ PAHs: 7 kinds of carcinogenic PAHs (BaA, Chr, BbF, BkF, BaP, InP, DahN); $\Sigma _ { 1 6 } \mathrm { \bar { P A } }$ Hs: 16 kinds"
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Ringnumber",Ringnumber,Acy_ngg,3.0,Unknown,,high,table_p2_ri6_ci1,"Table 1. Te content of PAHs in soil and plants in Urumqi city parks. Σ PAHs: 7 kinds of carcinogenic PAHs (BaA, Chr, BbF, BkF, BaP, InP, DahN); $\Sigma _ { 1 6 } \mathrm { \bar { P A } }$ Hs: 16 kinds"
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Concentration_(mg/kg)",Concentration (mg/kg),Acy_ngg,0.0106,Unknown,range_mean,high,table_p2_ri6_ci2,"Table 1. Te content of PAHs in soil and plants in Urumqi city parks. Σ PAHs: 7 kinds of carcinogenic PAHs (BaA, Chr, BbF, BkF, BaP, InP, DahN); $\Sigma _ { 1 6 } \mathrm { \bar { P A } }$ Hs: 16 kinds"
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Ringnumber",Ringnumber,Flu_ngg,3.0,Unknown,,high,table_p2_ri7_ci1,"Table 1. Te content of PAHs in soil and plants in Urumqi city parks. Σ PAHs: 7 kinds of carcinogenic PAHs (BaA, Chr, BbF, BkF, BaP, InP, DahN); $\Sigma _ { 1 6 } \mathrm { \bar { P A } }$ Hs: 16 kinds"
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Concentration_(mg/kg)",Concentration (mg/kg),Flu_ngg,0.017900000000000003,Unknown,range_mean,high,table_p2_ri7_ci2,"Table 1. Te content of PAHs in soil and plants in Urumqi city parks. Σ PAHs: 7 kinds of carcinogenic PAHs (BaA, Chr, BbF, BkF, BaP, InP, DahN); $\Sigma _ { 1 6 } \mathrm { \bar { P A } }$ Hs: 16 kinds"
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Ringnumber",Ringnumber,Phe_ngg,3.0,Unknown,,high,table_p2_ri8_ci1,"Table 1. Te content of PAHs in soil and plants in Urumqi city parks. Σ PAHs: 7 kinds of carcinogenic PAHs (BaA, Chr, BbF, BkF, BaP, InP, DahN); $\Sigma _ { 1 6 } \mathrm { \bar { P A } }$ Hs: 16 kinds"
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Concentration_(mg/kg)",Concentration (mg/kg),Phe_ngg,0.1965,Unknown,range_mean,high,table_p2_ri8_ci2,"Table 1. Te content of PAHs in soil and plants in Urumqi city parks. Σ PAHs: 7 kinds of carcinogenic PAHs (BaA, Chr, BbF, BkF, BaP, InP, DahN); $\Sigma _ { 1 6 } \mathrm { \bar { P A } }$ Hs: 16 kinds"
