paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_1,1,Cr_mgkg,81.3,Unknown,,high,table_p6_ri1_ci1,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_1,1,Ni_mgkg,35.4,Unknown,,high,table_p6_ri1_ci2,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_1,1,Cu_mgkg,47.7,Unknown,,high,table_p6_ri1_ci3,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_1,1,Zn_mgkg,180.0,Unknown,,high,table_p6_ri1_ci4,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_1,1,As_mgkg,18.7,Unknown,,high,table_p6_ri1_ci5,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_1,1,Cd_mgkg,1.31,Unknown,,high,table_p6_ri1_ci6,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_1,1,Pb_mgkg,45.2,Unknown,,high,table_p6_ri1_ci7,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_2,2,Cr_mgkg,78.2,Unknown,,high,table_p6_ri2_ci1,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_2,2,Ni_mgkg,32.0,Unknown,,high,table_p6_ri2_ci2,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_2,2,Cu_mgkg,49.7,Unknown,,high,table_p6_ri2_ci3,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_2,2,Zn_mgkg,202.0,Unknown,,high,table_p6_ri2_ci4,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_2,2,As_mgkg,18.1,Unknown,,high,table_p6_ri2_ci5,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_2,2,Cd_mgkg,1.49,Unknown,,high,table_p6_ri2_ci6,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_2,2,Pb_mgkg,44.4,Unknown,,high,table_p6_ri2_ci7,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_3,3,Cr_mgkg,40.9,Unknown,,high,table_p6_ri3_ci1,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_3,3,Ni_mgkg,30.4,Unknown,,high,table_p6_ri3_ci2,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_3,3,Cu_mgkg,44.3,Unknown,,high,table_p6_ri3_ci3,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_3,3,Zn_mgkg,182.0,Unknown,,high,table_p6_ri3_ci4,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_3,3,As_mgkg,28.9,Unknown,,high,table_p6_ri3_ci5,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_3,3,Cd_mgkg,1.52,Unknown,,high,table_p6_ri3_ci6,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_3,3,Pb_mgkg,44.7,Unknown,,high,table_p6_ri3_ci7,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_4,4,Cr_mgkg,80.5,Unknown,,high,table_p6_ri4_ci1,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_4,4,Ni_mgkg,35.0,Unknown,,high,table_p6_ri4_ci2,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_4,4,Cu_mgkg,46.9,Unknown,,high,table_p6_ri4_ci3,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_4,4,Zn_mgkg,198.0,Unknown,,high,table_p6_ri4_ci4,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_4,4,As_mgkg,19.3,Unknown,,high,table_p6_ri4_ci5,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_4,4,Cd_mgkg,1.24,Unknown,,high,table_p6_ri4_ci6,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_4,4,Pb_mgkg,46.2,Unknown,,high,table_p6_ri4_ci7,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_5,5,Cr_mgkg,73.8,Unknown,,high,table_p6_ri5_ci1,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_5,5,Ni_mgkg,33.8,Unknown,,high,table_p6_ri5_ci2,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_5,5,Cu_mgkg,53.8,Unknown,,high,table_p6_ri5_ci3,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_5,5,Zn_mgkg,234.0,Unknown,,high,table_p6_ri5_ci4,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_5,5,As_mgkg,23.5,Unknown,,high,table_p6_ri5_ci5,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_5,5,Cd_mgkg,1.33,Unknown,,high,table_p6_ri5_ci6,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_5,5,Pb_mgkg,45.4,Unknown,,high,table_p6_ri5_ci7,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_6,6,Cr_mgkg,60.1,Unknown,,high,table_p6_ri6_ci1,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_6,6,Ni_mgkg,35.1,Unknown,,high,table_p6_ri6_ci2,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_6,6,Cu_mgkg,45.2,Unknown,,high,table_p6_ri6_ci3,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_6,6,Zn_mgkg,186.0,Unknown,,high,table_p6_ri6_ci4,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
Pollution Characteristics  Risk Assessment and Sou,Pollution Characteristics  Risk Assessment and Sou_6,6,As_mgkg,26.4,Unknown,,high,table_p6_ri6_ci5,Table 1. Heavy metal concentrations in the cage fish farm sediments of Poyang Lake (mg/kg) (dry weight).
