paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
Unexpected Dioxin Formation During Digestion of So,Unexpected Dioxin Formation During Digestion of So_1,1,OC_pct,0.1,Unknown,,high,table_p11_ri10_ci1,Table S2. Concentrations of PCDD/Fs (pg/g) in the 19 soil samples before digesting by aqua regia
Unexpected Dioxin Formation During Digestion of So,Unexpected Dioxin Formation During Digestion of So_2,2,OC_pct,0.4,Unknown,,high,table_p11_ri10_ci2,Table S2. Concentrations of PCDD/Fs (pg/g) in the 19 soil samples before digesting by aqua regia
Unexpected Dioxin Formation During Digestion of So,Unexpected Dioxin Formation During Digestion of So_3,3,OC_pct,0.3,Unknown,,high,table_p11_ri10_ci3,Table S2. Concentrations of PCDD/Fs (pg/g) in the 19 soil samples before digesting by aqua regia
Unexpected Dioxin Formation During Digestion of So,Unexpected Dioxin Formation During Digestion of So_4,4,OC_pct,0.3,Unknown,,high,table_p11_ri10_ci4,Table S2. Concentrations of PCDD/Fs (pg/g) in the 19 soil samples before digesting by aqua regia
Unexpected Dioxin Formation During Digestion of So,Unexpected Dioxin Formation During Digestion of So_5,5,OC_pct,0.1,Unknown,,high,table_p11_ri10_ci5,Table S2. Concentrations of PCDD/Fs (pg/g) in the 19 soil samples before digesting by aqua regia
Unexpected Dioxin Formation During Digestion of So,Unexpected Dioxin Formation During Digestion of So_6,6,OC_pct,0.1,Unknown,,high,table_p11_ri10_ci6,Table S2. Concentrations of PCDD/Fs (pg/g) in the 19 soil samples before digesting by aqua regia
Unexpected Dioxin Formation During Digestion of So,Unexpected Dioxin Formation During Digestion of So_7,7,OC_pct,0.1,Unknown,,high,table_p11_ri10_ci7,Table S2. Concentrations of PCDD/Fs (pg/g) in the 19 soil samples before digesting by aqua regia
Unexpected Dioxin Formation During Digestion of So,Unexpected Dioxin Formation During Digestion of So_8,8,OC_pct,15.9,Unknown,,high,table_p11_ri10_ci8,Table S2. Concentrations of PCDD/Fs (pg/g) in the 19 soil samples before digesting by aqua regia
Unexpected Dioxin Formation During Digestion of So,Unexpected Dioxin Formation During Digestion of So_9,9,OC_pct,0.9,Unknown,,high,table_p11_ri10_ci9,Table S2. Concentrations of PCDD/Fs (pg/g) in the 19 soil samples before digesting by aqua regia
Unexpected Dioxin Formation During Digestion of So,Unexpected Dioxin Formation During Digestion of So_10,10,OC_pct,0.0,Unknown,,high,table_p11_ri10_ci10,Table S2. Concentrations of PCDD/Fs (pg/g) in the 19 soil samples before digesting by aqua regia
Unexpected Dioxin Formation During Digestion of So,Unexpected Dioxin Formation During Digestion of So_11,11,OC_pct,1.0,Unknown,,high,table_p11_ri10_ci11,Table S2. Concentrations of PCDD/Fs (pg/g) in the 19 soil samples before digesting by aqua regia
Unexpected Dioxin Formation During Digestion of So,Unexpected Dioxin Formation During Digestion of So_12,12,OC_pct,0.2,Unknown,,high,table_p11_ri10_ci12,Table S2. Concentrations of PCDD/Fs (pg/g) in the 19 soil samples before digesting by aqua regia
Unexpected Dioxin Formation During Digestion of So,Unexpected Dioxin Formation During Digestion of So_13,13,OC_pct,130.0,Unknown,,high,table_p11_ri10_ci13,Table S2. Concentrations of PCDD/Fs (pg/g) in the 19 soil samples before digesting by aqua regia
