paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Abbreviation,Abbreviation,CTC_ngg,59.5,Unknown,range_mean,high,table_p3_ri11_ci2,TABLE 1 Predicts the unaffected concentration of target antibiotics in soil.
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _CAS,CAS,CTC_ngg,0.219,Unknown,,high,table_p3_ri11_ci3,TABLE 1 Predicts the unaffected concentration of target antibiotics in soil.
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _ECso/mg·L-1,ECso/mg·L-1,CTC_ngg,0.219,Unknown,,high,table_p3_ri11_ci4,TABLE 1 Predicts the unaffected concentration of target antibiotics in soil.
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _PENCwater/μg.L-1,PENCwater/μg.L-1,CTC_ngg,1280.0,Unknown,,high,table_p3_ri11_ci5,TABLE 1 Predicts the unaffected concentration of target antibiotics in soil.
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Kd/L·kg-1,Kd/L·kg-1,CTC_ngg,280.32,Unknown,,high,table_p3_ri11_ci6,TABLE 1 Predicts the unaffected concentration of target antibiotics in soil.
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Abbreviation,Abbreviation,ENRO_ngg,46583.0,Unknown,range_mean,high,table_p3_ri14_ci2,TABLE 1 Predicts the unaffected concentration of target antibiotics in soil.
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _CAS,CAS,ENRO_ngg,0.049,Unknown,,high,table_p3_ri14_ci3,TABLE 1 Predicts the unaffected concentration of target antibiotics in soil.
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _ECso/mg·L-1,ECso/mg·L-1,ENRO_ngg,0.049,Unknown,,high,table_p3_ri14_ci4,TABLE 1 Predicts the unaffected concentration of target antibiotics in soil.
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _PENCwater/μg.L-1,PENCwater/μg.L-1,ENRO_ngg,260.0,Unknown,,high,table_p3_ri14_ci5,TABLE 1 Predicts the unaffected concentration of target antibiotics in soil.
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Kd/L·kg-1,Kd/L·kg-1,ENRO_ngg,12.74,Unknown,,high,table_p3_ri14_ci6,TABLE 1 Predicts the unaffected concentration of target antibiotics in soil.
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Chicken_manure,Chicken manure,OTC_ngg,100.0,Unknown,,high,table_p5_ri9_ci1,TABLE 3 Tota l detection le<sub>v</sub>els of th ree classes of a nti biotics i n ch icken fa rms a nd s<sub>u</sub> rro<sub>u</sub> nd i n<sub>g</sub> soi l <sub>.</sub>
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Near_soil,Near soil,OTC_ngg,6.67,Unknown,,high,table_p5_ri9_ci2,TABLE 3 Tota l detection le<sub>v</sub>els of th ree classes of a nti biotics i n ch icken fa rms a nd s<sub>u</sub> rro<sub>u</sub> nd i n<sub>g</sub> soi l <sub>.</sub>
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Far_soil,Far soil,OTC_ngg,0.49,Unknown,,high,table_p5_ri9_ci3,TABLE 3 Tota l detection le<sub>v</sub>els of th ree classes of a nti biotics i n ch icken fa rms a nd s<sub>u</sub> rro<sub>u</sub> nd i n<sub>g</sub> soi l <sub>.</sub>
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Chicken_manure,Chicken manure,CTC_ngg,100.0,Unknown,,high,table_p5_ri10_ci1,TABLE 3 Tota l detection le<sub>v</sub>els of th ree classes of a nti biotics i n ch icken fa rms a nd s<sub>u</sub> rro<sub>u</sub> nd i n<sub>g</sub> soi l <sub>.</sub>
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Near_soil,Near soil,CTC_ngg,3.2,Unknown,,high,table_p5_ri10_ci2,TABLE 3 Tota l detection le<sub>v</sub>els of th ree classes of a nti biotics i n ch icken fa rms a nd s<sub>u</sub> rro<sub>u</sub> nd i n<sub>g</sub> soi l <sub>.</sub>
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Far_soil,Far soil,CTC_ngg,1.79,Unknown,,high,table_p5_ri10_ci3,TABLE 3 Tota l detection le<sub>v</sub>els of th ree classes of a nti biotics i n ch icken fa rms a nd s<sub>u</sub> rro<sub>u</sub> nd i n<sub>g</sub> soi l <sub>.</sub>
