paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Minimum_(mg/kg),Minimum (mg/kg),As_mgkg,0.52,Unknown,,high,table_p29_ri1_ci1,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Minimum_(mg/kg),Minimum (mg/kg),Cd_mgkg,4.06,Unknown,,high,table_p29_ri1_ci2,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Minimum_(mg/kg),Minimum (mg/kg),Cr_mgkg,33.79,Unknown,,high,table_p29_ri1_ci3,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Minimum_(mg/kg),Minimum (mg/kg),Cu_mgkg,15.91,Unknown,,high,table_p29_ri1_ci4,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Minimum_(mg/kg),Minimum (mg/kg),Mn_mgkg,363.1,Unknown,,high,table_p29_ri1_ci5,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Minimum_(mg/kg),Minimum (mg/kg),Ni_mgkg,26.18,Unknown,,high,table_p29_ri1_ci6,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Minimum_(mg/kg),Minimum (mg/kg),Pb_mgkg,0.99,Unknown,,high,table_p29_ri1_ci7,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Minimum_(mg/kg),Minimum (mg/kg),Zn_mgkg,39.32,Unknown,,high,table_p29_ri1_ci8,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Minimum_(mg/kg),Minimum (mg/kg),pH,8.02,Unknown,,high,table_p29_ri1_ci9,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Maximum_(mg/kg),Maximum (mg/kg),As_mgkg,21.88,Unknown,,high,table_p29_ri2_ci1,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Maximum_(mg/kg),Maximum (mg/kg),Cd_mgkg,12.5,Unknown,,high,table_p29_ri2_ci2,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Maximum_(mg/kg),Maximum (mg/kg),Cr_mgkg,87.22,Unknown,,high,table_p29_ri2_ci3,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Maximum_(mg/kg),Maximum (mg/kg),Cu_mgkg,54.53,Unknown,,high,table_p29_ri2_ci4,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Maximum_(mg/kg),Maximum (mg/kg),Mn_mgkg,620.46,Unknown,,high,table_p29_ri2_ci5,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Maximum_(mg/kg),Maximum (mg/kg),Ni_mgkg,53.25,Unknown,,high,table_p29_ri2_ci6,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Maximum_(mg/kg),Maximum (mg/kg),Pb_mgkg,88.44,Unknown,,high,table_p29_ri2_ci7,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Maximum_(mg/kg),Maximum (mg/kg),Zn_mgkg,323.72,Unknown,,high,table_p29_ri2_ci8,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Maximum_(mg/kg),Maximum (mg/kg),pH,9.46,Unknown,,high,table_p29_ri2_ci9,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Average_(mg/kg),Average (mg/kg),As_mgkg,4.78,Unknown,,high,table_p29_ri3_ci1,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Average_(mg/kg),Average (mg/kg),Cd_mgkg,6.48,Unknown,,high,table_p29_ri3_ci2,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Average_(mg/kg),Average (mg/kg),Cr_mgkg,53.2,Unknown,,high,table_p29_ri3_ci3,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Average_(mg/kg),Average (mg/kg),Cu_mgkg,30.43,Unknown,,high,table_p29_ri3_ci4,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Average_(mg/kg),Average (mg/kg),Mn_mgkg,479.21,Unknown,,high,table_p29_ri3_ci5,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Average_(mg/kg),Average (mg/kg),Ni_mgkg,36.64,Unknown,,high,table_p29_ri3_ci6,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Average_(mg/kg),Average (mg/kg),Pb_mgkg,46.42,Unknown,,high,table_p29_ri3_ci7,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Average_(mg/kg),Average (mg/kg),Zn_mgkg,84.13,Unknown,,high,table_p29_ri3_ci8,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Average_(mg/kg),Average (mg/kg),pH,8.68,Unknown,,high,table_p29_ri3_ci9,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Standard_deviation,Standard deviation,As_mgkg,3.84,Unknown,,high,table_p29_ri4_ci1,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Standard_deviation,Standard deviation,Cd_mgkg,1.99,Unknown,,high,table_p29_ri4_ci2,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Standard_deviation,Standard deviation,Cr_mgkg,10.22,Unknown,,high,table_p29_ri4_ci3,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Standard_deviation,Standard deviation,Cu_mgkg,6.01,Unknown,,high,table_p29_ri4_ci4,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Standard_deviation,Standard deviation,Mn_mgkg,51.32,Unknown,,high,table_p29_ri4_ci5,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Standard_deviation,Standard deviation,Ni_mgkg,5.63,Unknown,,high,table_p29_ri4_ci6,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Standard_deviation,Standard deviation,Pb_mgkg,27.25,Unknown,,high,table_p29_ri4_ci7,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Standard_deviation,Standard deviation,Zn_mgkg,40.0,Unknown,,high,table_p29_ri4_ci8,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Standard_deviation,Standard deviation,pH,0.29,Unknown,,high,table_p29_ri4_ci9,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_(%),(%),Mn_mgkg,10.71,Unknown,,high,table_p29_ri7_ci5,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Background_value_of_irrigation_soils_in,Background value of irrigation soils in,As_mgkg,9.09,Unknown,,high,table_p29_ri8_ci1,Table 1 Statistics of heavy metal concentrations in study area.
_dup_10807039.2017.1305263,_dup_10807039.2017.1305263_Background_value_of_irrigation_soils_in,Background value of irrigation soils in,Cd_mgkg,0.12,Unknown,,high,table_p29_ri8_ci2,Table 1 Statistics of heavy metal concentrations in study area.
