paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
_dup_es1007802,_dup_es1007802_BJ2,BJ2,OTC_ngg,0.06,Unknown,,high,table_p3_ri8_ci2,"TABLE 1. Quantification of Tetracyclines in Soil Samples, Normalized to the Dry Weight of the Soil<sup>a</sup>"
_dup_es1007802,_dup_es1007802_TJ2,TJ2,OTC_ngg,0.08,Unknown,,high,table_p3_ri8_ci5,"TABLE 1. Quantification of Tetracyclines in Soil Samples, Normalized to the Dry Weight of the Soil<sup>a</sup>"
_dup_es1007802,_dup_es1007802_TJ3,TJ3,OTC_ngg,0.09,Unknown,,high,table_p3_ri8_ci6,"TABLE 1. Quantification of Tetracyclines in Soil Samples, Normalized to the Dry Weight of the Soil<sup>a</sup>"
_dup_es1007802,_dup_es1007802_JX1,JX1,OTC_ngg,0.09,Unknown,,high,table_p3_ri8_ci7,"TABLE 1. Quantification of Tetracyclines in Soil Samples, Normalized to the Dry Weight of the Soil<sup>a</sup>"
_dup_es1007802,_dup_es1007802_JX2,JX2,OTC_ngg,0.1,Unknown,,high,table_p3_ri8_ci8,"TABLE 1. Quantification of Tetracyclines in Soil Samples, Normalized to the Dry Weight of the Soil<sup>a</sup>"
_dup_es1007802,_dup_es1007802_BJ1,BJ1,OTC_ngg,0.16,Unknown,,high,table_p3_ri9_ci1,"TABLE 1. Quantification of Tetracyclines in Soil Samples, Normalized to the Dry Weight of the Soil<sup>a</sup>"
_dup_es1007802,_dup_es1007802_TJ1,TJ1,OTC_ngg,0.33,Unknown,,high,table_p3_ri9_ci4,"TABLE 1. Quantification of Tetracyclines in Soil Samples, Normalized to the Dry Weight of the Soil<sup>a</sup>"
_dup_es1007802,_dup_es1007802_JX3,JX3,OTC_ngg,0.08,Unknown,,high,table_p3_ri9_ci9,"TABLE 1. Quantification of Tetracyclines in Soil Samples, Normalized to the Dry Weight of the Soil<sup>a</sup>"
_dup_es1007802,_dup_es1007802_BJ3,BJ3,CTC_ngg,19.47,Unknown,,high,table_p3_ri10_ci3,"TABLE 1. Quantification of Tetracyclines in Soil Samples, Normalized to the Dry Weight of the Soil<sup>a</sup>"
_dup_es1007802,_dup_es1007802_TJ3,TJ3,CTC_ngg,0.83,Unknown,,high,table_p3_ri10_ci6,"TABLE 1. Quantification of Tetracyclines in Soil Samples, Normalized to the Dry Weight of the Soil<sup>a</sup>"
