paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Arable Desert Soil Area (AD),Nap_ngg,283.6,Unknown,,high,table_p4_ri2_ci1,"Table 1. Distributions of different PAHs in sample soils from three areas: Urban and residential areas (RD), around oil wells (OW), and in the arable desert soil area (AD) $( \mu \mathrm { g } \cdot \"
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Arable Desert Soil Area (AD),BkF_ngg,4.13,Unknown,,high,table_p4_ri4_ci1,"Table 1. Distributions of different PAHs in sample soils from three areas: Urban and residential areas (RD), around oil wells (OW), and in the arable desert soil area (AD) $( \mu \mathrm { g } \cdot \"
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Arable Desert Soil Area (AD),BaP_ngg,4.98,Unknown,,high,table_p4_ri5_ci1,"Table 1. Distributions of different PAHs in sample soils from three areas: Urban and residential areas (RD), around oil wells (OW), and in the arable desert soil area (AD) $( \mu \mathrm { g } \cdot \"
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Arable Desert Soil Area (AD),Ind_ngg,15.13,Unknown,,high,table_p4_ri6_ci1,"Table 1. Distributions of different PAHs in sample soils from three areas: Urban and residential areas (RD), around oil wells (OW), and in the arable desert soil area (AD) $( \mu \mathrm { g } \cdot \"
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Arable Desert Soil Area (AD),Flu_ngg,8.65,Unknown,,high,table_p4_ri8_ci1,"Table 1. Distributions of different PAHs in sample soils from three areas: Urban and residential areas (RD), around oil wells (OW), and in the arable desert soil area (AD) $( \mu \mathrm { g } \cdot \"
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Arable Desert Soil Area (AD),Phe_ngg,22.82,Unknown,,high,table_p4_ri9_ci1,"Table 1. Distributions of different PAHs in sample soils from three areas: Urban and residential areas (RD), around oil wells (OW), and in the arable desert soil area (AD) $( \mu \mathrm { g } \cdot \"
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Arable Desert Soil Area (AD),Ant_ngg,20.26,Unknown,,high,table_p4_ri10_ci1,"Table 1. Distributions of different PAHs in sample soils from three areas: Urban and residential areas (RD), around oil wells (OW), and in the arable desert soil area (AD) $( \mu \mathrm { g } \cdot \"
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Arable Desert Soil Area (AD),Pyr_ngg,3.52,Unknown,,high,table_p5_ri2_ci1,Table 1.Cont.
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Arable Desert Soil Area (AD),BghiP_ngg,0.3,Unknown,,high,table_p5_ri3_ci1,Table 1.Cont.
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Arable Desert Soil Area (AD),Sum_PAH_ngg,372.8,Unknown,,high,table_p5_ri4_ci1,Table 1.Cont.
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Arable Desert Soil Area (AD),Sum_PAH_ngg,307.8,Unknown,,high,table_p5_ri5_ci1,Table 1.Cont.
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Arable Desert Soil Area (AD),Nap_ngg,489.8,Unknown,,high,table_p5_ri8_ci1,Table 1.Cont.
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Arable Desert Soil Area (AD),Flu_ngg,9.97,Unknown,,high,table_p5_ri15_ci1,Table 1.Cont.
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Arable Desert Soil Area (AD),Ant_ngg,9.43,Unknown,,high,table_p5_ri17_ci1,Table 1.Cont.
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Arable Desert Soil Area (AD),Pyr_ngg,24.31,Unknown,,high,table_p5_ri19_ci1,Table 1.Cont.
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Arable Desert Soil Area (AD),BghiP_ngg,7.7,Unknown,,high,table_p5_ri20_ci1,Table 1.Cont.
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Arable Desert Soil Area (AD),Sum_PAH_ngg,593.8,Unknown,,high,table_p5_ri21_ci1,Table 1.Cont.
_dup_ijerph120605775,_dup_ijerph120605775_Arable_Desert_Soil_Area_(AD),Arable Desert Soil Area (AD),Sum_PAH_ngg,489.8,Unknown,,high,table_p5_ri22_ci1,Table 1.Cont.
