paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,SumHCH_ngg,1758.0,Unknown,,high,table_p4_ri1_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,SumHCH_ngg,1758.0,Unknown,,high,table_p4_ri2_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,SumHCH_ngg,1758.0,Unknown,,high,table_p4_ri3_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,SumHCH_ngg,1758.0,Unknown,,high,table_p4_ri4_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,SumHCH_ngg,1758.0,Unknown,,high,table_p4_ri5_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,SumDDT_ngg,1757.0,Unknown,,high,table_p4_ri7_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,SumDDT_ngg,1758.0,Unknown,,high,table_p4_ri8_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,Sum_PAH_ngg,1757.0,Unknown,,high,table_p4_ri19_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,Sum_PAH_ngg,1757.0,Unknown,,high,table_p4_ri20_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,Ace_ngg,1758.0,Unknown,,high,table_p4_ri23_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,BaA_ngg,17581758.0,Unknown,,high,table_p4_ri28_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,BbF_ngg,1757.0,Unknown,,high,table_p4_ri30_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,BaP_ngg,1758.0,Unknown,,high,table_p4_ri32_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,DahA_ngg,1758.0,Unknown,,high,table_p4_ri34_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,BghiP_ngg,1758.0,Unknown,,high,table_p4_ri36_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,SumPCB_ngg,565.0,Unknown,,high,table_p4_ri37_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,As_mgkg,129.0,Unknown,,high,table_p4_ri45_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,Cd_mgkg,1748.0,Unknown,,high,table_p4_ri46_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,Co_mgkg,1726.0,Unknown,,high,table_p4_ri47_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,Cr_mgkg,1741.0,Unknown,,high,table_p4_ri49_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,Cu_mgkg,1761.0,Unknown,,high,table_p4_ri50_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,Hg_mgkg,1711.0,Unknown,,high,table_p4_ri51_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,Mn_mgkg,1762.0,Unknown,,high,table_p4_ri52_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,Ni_mgkg,1761.0,Unknown,,high,table_p4_ri53_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,Pb_mgkg,1762.0,Unknown,,high,table_p4_ri54_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Number,V_mgkg,17511761.0,Unknown,,high,table_p4_ri56_ci1,Table 2 Concentrations of organic compounds (μg/kg) and trace elements (mg/kg) in soil.
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_HlAdult,HlAdult,As_mgkg,0.291,Unknown,,high,table_p8_ri2_ci1,Table 3 Non-carcinogenic risks and carcinogenic (unitless) derived from exposure to target pollutant.
