paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Ring_numbera,Ring numbera,Nap_ngg,2.0,Unknown,,high,table_p3_ri1_ci2,"Concentrations (ng/g, dry soil) of the concerned parent and methylated PAHs in the agricultural soils from the YRD region."
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_MDLb_(ng/g),MDLb (ng/g),Nap_ngg,0.14,Unknown,,high,table_p3_ri1_ci3,"Concentrations (ng/g, dry soil) of the concerned parent and methylated PAHs in the agricultural soils from the YRD region."
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Detection_rate_(%),Detection rate (%),Nap_ngg,100.0,Unknown,,high,table_p3_ri1_ci4,"Concentrations (ng/g, dry soil) of the concerned parent and methylated PAHs in the agricultural soils from the YRD region."
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Mean_(ng/g),Mean (ng/g),Nap_ngg,8.5,Unknown,,high,table_p3_ri1_ci5,"Concentrations (ng/g, dry soil) of the concerned parent and methylated PAHs in the agricultural soils from the YRD region."
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Median_(ng/g),Median (ng/g),Nap_ngg,9.5,Unknown,,high,table_p3_ri1_ci6,"Concentrations (ng/g, dry soil) of the concerned parent and methylated PAHs in the agricultural soils from the YRD region."
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Min_(ng/g),Min (ng/g),Nap_ngg,0.5,Unknown,,high,table_p3_ri1_ci7,"Concentrations (ng/g, dry soil) of the concerned parent and methylated PAHs in the agricultural soils from the YRD region."
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Max_(ng/g),Max (ng/g),Nap_ngg,73.1,Unknown,,high,table_p3_ri1_ci8,"Concentrations (ng/g, dry soil) of the concerned parent and methylated PAHs in the agricultural soils from the YRD region."
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Detection_rate_(%),Detection rate (%),Sum_PAH_ngg,21.2,Unknown,,high,table_p3_ri4_ci4,"Concentrations (ng/g, dry soil) of the concerned parent and methylated PAHs in the agricultural soils from the YRD region."
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Mean_(ng/g),Mean (ng/g),Sum_PAH_ngg,20.7,Unknown,,high,table_p3_ri4_ci5,"Concentrations (ng/g, dry soil) of the concerned parent and methylated PAHs in the agricultural soils from the YRD region."
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Median_(ng/g),Median (ng/g),Sum_PAH_ngg,2.6,Unknown,,high,table_p3_ri4_ci6,"Concentrations (ng/g, dry soil) of the concerned parent and methylated PAHs in the agricultural soils from the YRD region."
