paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_-0.2,-0.2,Sum_PAH_ngg,-0.3,Unknown,,high,table_p15_ri1_ci1,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_-0.1,-0.1,Sum_PAH_ngg,-0.1,Unknown,,high,table_p15_ri1_ci2,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_0.4,0.4,Sum_PAH_ngg,0.3,Unknown,,high,table_p15_ri1_ci3,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_0.0,0.0,Sum_PAH_ngg,0.2,Unknown,,high,table_p15_ri1_ci4,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_0.2,0.2,Sum_PAH_ngg,0.2,Unknown,,high,table_p15_ri1_ci5,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_-0.2,-0.2,Sum_PAH_ngg,-0.3,Unknown,,high,table_p15_ri2_ci1,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_-0.1,-0.1,Sum_PAH_ngg,0.0,Unknown,,high,table_p15_ri2_ci2,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_0.4,0.4,Sum_PAH_ngg,0.3,Unknown,,high,table_p15_ri2_ci3,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_0.0,0.0,Sum_PAH_ngg,0.2,Unknown,,high,table_p15_ri2_ci4,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_0.2,0.2,Sum_PAH_ngg,0.3,Unknown,,high,table_p15_ri2_ci5,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_-0.2,-0.2,Sum_PAH_ngg,-0.3,Unknown,,high,table_p15_ri3_ci1,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_-0.1,-0.1,Sum_PAH_ngg,0.0,Unknown,,high,table_p15_ri3_ci2,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_0.4,0.4,Sum_PAH_ngg,0.2,Unknown,,high,table_p15_ri3_ci3,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_0.0,0.0,Sum_PAH_ngg,0.2,Unknown,,high,table_p15_ri3_ci4,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_0.2,0.2,Sum_PAH_ngg,0.2,Unknown,,high,table_p15_ri3_ci5,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_-0.2,-0.2,Sum_PAH_ngg,-0.1,Unknown,,high,table_p15_ri4_ci1,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_-0.1,-0.1,Sum_PAH_ngg,-0.1,Unknown,,high,table_p15_ri4_ci2,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_0.4,0.4,Sum_PAH_ngg,0.2,Unknown,,high,table_p15_ri4_ci3,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_0.0,0.0,Sum_PAH_ngg,0.1,Unknown,,high,table_p15_ri4_ci4,
_dup_j.jhazmat.2018.09.094,_dup_j.jhazmat.2018.09.094_0.2,0.2,Sum_PAH_ngg,0.1,Unknown,,high,table_p15_ri4_ci5,
