paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_S1,S1,pH,7.91,Unknown,,high,table_p2_ri2_ci1,Description of the sampling sites and properties of the samples.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_S8,S8,pH,8.55,Unknown,,high,table_p2_ri16_ci1,Description of the sampling sites and properties of the samples.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_S9,S9,pH,8.46,Unknown,,high,table_p2_ri18_ci1,Description of the sampling sites and properties of the samples.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_S10,S10,pH,8.39,Unknown,,high,table_p2_ri20_ci1,Description of the sampling sites and properties of the samples.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_S11,S11,pH,7.8,Unknown,,high,table_p2_ri22_ci1,Description of the sampling sites and properties of the samples.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col2,col2,Co_mgkg,0.23,Unknown,,medium,table_p4_ri8_ci2,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col3,col3,Co_mgkg,0.204,Unknown,,medium,table_p4_ri8_ci3,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col5,col5,Co_mgkg,0.186,Unknown,,medium,table_p4_ri8_ci5,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col6,col6,Co_mgkg,0.172,Unknown,,medium,table_p4_ri8_ci6,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col8,col8,Co_mgkg,0.201,Unknown,,medium,table_p4_ri8_ci8,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col9,col9,Co_mgkg,0.254,Unknown,,medium,table_p4_ri8_ci9,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col10,col10,Co_mgkg,0.21,Unknown,,medium,table_p4_ri8_ci10,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col11,col11,Co_mgkg,0.169,Unknown,,medium,table_p4_ri8_ci11,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col2,col2,Cr_mgkg,1.34,Unknown,,medium,table_p4_ri11_ci2,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col3,col3,Cr_mgkg,0.397,Unknown,,medium,table_p4_ri11_ci3,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col4,col4,Cr_mgkg,0.654,Unknown,,medium,table_p4_ri11_ci4,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col5,col5,Cr_mgkg,0.417,Unknown,,medium,table_p4_ri11_ci5,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col6,col6,Cr_mgkg,0.423,Unknown,,medium,table_p4_ri11_ci6,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col7,col7,Cr_mgkg,0.367,Unknown,,medium,table_p4_ri11_ci7,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col8,col8,Cr_mgkg,0.342,Unknown,,medium,table_p4_ri11_ci8,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col9,col9,Cr_mgkg,0.64,Unknown,,medium,table_p4_ri11_ci9,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col10,col10,Cr_mgkg,0.609,Unknown,,medium,table_p4_ri11_ci10,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col11,col11,Cr_mgkg,0.95,Unknown,,medium,table_p4_ri11_ci11,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col12,col12,Cr_mgkg,0.452,Unknown,,medium,table_p4_ri11_ci12,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col13,col13,Cr_mgkg,0.347,Unknown,,medium,table_p4_ri11_ci13,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col2,col2,Cu_mgkg,0.00748,Unknown,,medium,table_p4_ri14_ci2,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
_dup_j.scitotenv.2018.02.212,_dup_j.scitotenv.2018.02.212_col3,col3,Cu_mgkg,0.00724,Unknown,,medium,table_p4_ri14_ci3,Table 3 Average non-carcinogenic (HI) and carcinogenic (CR) risk values for PTE contamination of the rural soils.
