paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_PEL,PEL,As_mgkg,0.22,Unknown,,high,table_p3_ri1_ci6,Mean concentrations of heavy metals in the top 50 cm soils of five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Background_values_ERL,Background values ERL,Cd_mgkg,0.32,Unknown,,high,table_p3_ri2_ci4,Mean concentrations of heavy metals in the top 50 cm soils of five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Background_values_ERL,Background values ERL,Cr_mgkg,0.2,Unknown,,high,table_p3_ri3_ci4,Mean concentrations of heavy metals in the top 50 cm soils of five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Background_values_ERL,Background values ERL,Cu_mgkg,0.31,Unknown,,high,table_p3_ri4_ci4,Mean concentrations of heavy metals in the top 50 cm soils of five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Background_values_ERL,Background values ERL,Mn_mgkg,0.25,Unknown,,high,table_p3_ri5_ci4,Mean concentrations of heavy metals in the top 50 cm soils of five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Background_values_ERL,Background values ERL,Pb_mgkg,0.32,Unknown,,high,table_p3_ri6_ci4,Mean concentrations of heavy metals in the top 50 cm soils of five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Background_values_ERL,Background values ERL,Zn_mgkg,0.23,Unknown,,high,table_p3_ri7_ci4,Mean concentrations of heavy metals in the top 50 cm soils of five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Background_values_ERL,Background values ERL,Fe_mgkg,0.19,Unknown,,high,table_p3_ri8_ci4,Mean concentrations of heavy metals in the top 50 cm soils of five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_As,As,As_mgkg,1.0,Unknown,,high,table_p7_ri1_ci1,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Cd,Cd,Cd_mgkg,1.0,Unknown,,high,table_p7_ri2_ci2,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Cr,Cr,Cr_mgkg,1.0,Unknown,,high,table_p7_ri3_ci3,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Cu,Cu,Cu_mgkg,1.0,Unknown,,high,table_p7_ri4_ci4,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Mn,Mn,Mn_mgkg,1.0,Unknown,,high,table_p7_ri5_ci5,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Pb,Pb,Pb_mgkg,1.0,Unknown,,high,table_p7_ri6_ci6,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Zn,Zn,Zn_mgkg,1.0,Unknown,,high,table_p7_ri7_ci7,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Fe,Fe,Fe_mgkg,1.0,Unknown,,high,table_p7_ri8_ci8,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Cd,Cd,EC_mScm,0.108,Unknown,,high,table_p7_ri10_ci2,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Cr,Cr,EC_mScm,0.046,Unknown,,high,table_p7_ri10_ci3,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Zn,Zn,EC_mScm,0.114,Unknown,,high,table_p7_ri10_ci7,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Fe,Fe,EC_mScm,0.156,Unknown,,high,table_p7_ri10_ci8,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_As,As,pH,-0.036,Unknown,,high,table_p7_ri17_ci1,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Cd,Cd,pH,-0.002,Unknown,,high,table_p7_ri17_ci2,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Cr,Cr,pH,0.069,Unknown,,high,table_p7_ri17_ci3,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Cu,Cu,pH,-0.031,Unknown,,high,table_p7_ri17_ci4,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Mn,Mn,pH,-0.027,Unknown,,high,table_p7_ri17_ci5,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Pb,Pb,pH,-0.014,Unknown,,high,table_p7_ri17_ci6,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Zn,Zn,pH,-0.048,Unknown,,high,table_p7_ri17_ci7,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Fe,Fe,pH,-0.012,Unknown,,high,table_p7_ri17_ci8,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Cd,Cd,Clay_pct,0.054,Unknown,,high,table_p7_ri20_ci2,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Cu,Cu,Clay_pct,0.118,Unknown,,high,table_p7_ri20_ci4,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
_dup_j.scitotenv.2021.145072,_dup_j.scitotenv.2021.145072_Fe,Fe,Clay_pct,0.123,Unknown,,high,table_p7_ri20_ci8,Correlation matrix between soil heavy metals and physicochemical parameters in five wetlands.
