paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_Fuzhou_(n=7),Fuzhou (n=7),OTC_ngg,100.0,Unknown,,high,table_p3_ri4_ci1,"Table 1 Detection frequency (Freq, %) and concentrations (
μg kg−1) of antibiotic residues in farmland soils from four cities ND not detected, UQ unquantified concentration, <LOQ"
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_Putian_(n=7),Putian (n=7),OTC_ngg,11.3,Unknown,,high,table_p3_ri4_ci2,"Table 1 Detection frequency (Freq, %) and concentrations (
μg kg−1) of antibiotic residues in farmland soils from four cities ND not detected, UQ unquantified concentration, <LOQ"
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_Quanzhou_(n=7),Quanzhou (n=7),OTC_ngg,23.5,Unknown,,high,table_p3_ri4_ci3,"Table 1 Detection frequency (Freq, %) and concentrations (
μg kg−1) of antibiotic residues in farmland soils from four cities ND not detected, UQ unquantified concentration, <LOQ"
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_Xiamen_(n=7),Xiamen (n=7),OTC_ngg,79.5,Unknown,,high,table_p3_ri4_ci4,"Table 1 Detection frequency (Freq, %) and concentrations (
μg kg−1) of antibiotic residues in farmland soils from four cities ND not detected, UQ unquantified concentration, <LOQ"
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_All_samples_(n=28),All samples (n=28),OTC_ngg,100.0,Unknown,,high,table_p3_ri4_ci5,"Table 1 Detection frequency (Freq, %) and concentrations (
μg kg−1) of antibiotic residues in farmland soils from four cities ND not detected, UQ unquantified concentration, <LOQ"
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_Fuzhou_(n=7),Fuzhou (n=7),CTC_ngg,71.4,Unknown,,high,table_p3_ri5_ci1,"Table 1 Detection frequency (Freq, %) and concentrations (
μg kg−1) of antibiotic residues in farmland soils from four cities ND not detected, UQ unquantified concentration, <LOQ"
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_Quanzhou_(n=7),Quanzhou (n=7),CTC_ngg,29.7,Unknown,,high,table_p3_ri5_ci3,"Table 1 Detection frequency (Freq, %) and concentrations (
μg kg−1) of antibiotic residues in farmland soils from four cities ND not detected, UQ unquantified concentration, <LOQ"
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_Xiamen_(n=7),Xiamen (n=7),CTC_ngg,58.8,Unknown,,high,table_p3_ri5_ci4,"Table 1 Detection frequency (Freq, %) and concentrations (
μg kg−1) of antibiotic residues in farmland soils from four cities ND not detected, UQ unquantified concentration, <LOQ"
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_col3,col3,OTC_ngg,23.34,Unknown,,medium,table_p5_ri4_ci3,"Table 2 Concentrations of six antibiotics (μg kg−1 dry soil), copy numbers of 16S rRNA genes and five tet genes, and abundance of five tet genes normalized to 16S rRNA genes in soils growing <sub>epth"
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_col4,col4,OTC_ngg,11.72,Unknown,,medium,table_p5_ri4_ci4,"Table 2 Concentrations of six antibiotics (μg kg−1 dry soil), copy numbers of 16S rRNA genes and five tet genes, and abundance of five tet genes normalized to 16S rRNA genes in soils growing <sub>epth"
