paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#1,#1,OM_pct,19.67,Unknown,,high,table_p2_ri1_ci4,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#1,#1,CEC_cmolkg,15.21,Unknown,,high,table_p2_ri1_ci5,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#1,#1,Clay_pct,42.8,Unknown,,high,table_p2_ri1_ci6,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#2,#2,OM_pct,68.4,Unknown,,high,table_p2_ri2_ci4,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#2,#2,CEC_cmolkg,25.05,Unknown,,high,table_p2_ri2_ci5,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#2,#2,Clay_pct,18.1,Unknown,,high,table_p2_ri2_ci6,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#3,#3,OM_pct,25.77,Unknown,,high,table_p2_ri3_ci4,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#3,#3,CEC_cmolkg,12.11,Unknown,,high,table_p2_ri3_ci5,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#3,#3,Clay_pct,62.9,Unknown,,high,table_p2_ri3_ci6,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#4,#4,OM_pct,15.48,Unknown,,high,table_p2_ri4_ci4,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#4,#4,CEC_cmolkg,11.73,Unknown,,high,table_p2_ri4_ci5,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#4,#4,Clay_pct,49.6,Unknown,,high,table_p2_ri4_ci6,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#5,#5,OM_pct,19.59,Unknown,,high,table_p2_ri5_ci4,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#5,#5,CEC_cmolkg,12.81,Unknown,,high,table_p2_ri5_ci5,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#5,#5,Clay_pct,37.1,Unknown,,high,table_p2_ri5_ci6,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#6,#6,OM_pct,53.27,Unknown,,high,table_p2_ri6_ci4,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#6,#6,CEC_cmolkg,19.8,Unknown,,high,table_p2_ri6_ci5,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#6,#6,Clay_pct,33.0,Unknown,,high,table_p2_ri6_ci6,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#7,#7,OM_pct,7.11,Unknown,,high,table_p2_ri7_ci4,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#7,#7,CEC_cmolkg,9.89,Unknown,,high,table_p2_ri7_ci5,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#7,#7,Clay_pct,15.3,Unknown,,high,table_p2_ri7_ci6,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#8,#8,OM_pct,17.0,Unknown,,high,table_p2_ri8_ci4,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#8,#8,CEC_cmolkg,12.01,Unknown,,high,table_p2_ri8_ci5,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#8,#8,Clay_pct,24.4,Unknown,,high,table_p2_ri8_ci6,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#9,#9,OM_pct,34.22,Unknown,,high,table_p2_ri9_ci4,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#9,#9,CEC_cmolkg,30.25,Unknown,,high,table_p2_ri9_ci5,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#9,#9,Clay_pct,59.7,Unknown,,high,table_p2_ri9_ci6,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#10,#10,OM_pct,48.17,Unknown,,high,table_p2_ri10_ci4,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#10,#10,CEC_cmolkg,34.14,Unknown,,high,table_p2_ri10_ci5,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#10,#10,Clay_pct,33.3,Unknown,,high,table_p2_ri10_ci6,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#11,#11,OM_pct,30.33,Unknown,,high,table_p2_ri11_ci4,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#11,#11,CEC_cmolkg,29.01,Unknown,,high,table_p2_ri11_ci5,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#11,#11,Clay_pct,32.3,Unknown,,high,table_p2_ri11_ci6,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#12,#12,OM_pct,11.03,Unknown,,high,table_p2_ri12_ci4,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#12,#12,CEC_cmolkg,19.2,Unknown,,high,table_p2_ri12_ci5,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
development-of-bioaccessibility-based-soil-environ,development-of-bioaccessibility-based-soil-environ_#12,#12,Clay_pct,39.0,Unknown,,high,table_p2_ri12_ci6,Table 1. Properties of the 44 Soil Samples Used for Developing the Machine Learning Model
