paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
fenvs-10-990471,fenvs-10-990471_S1,S1,pH,6.39,Unknown,,high,table_p3_ri2_ci1,TABLE 1 Physical and chemical properties of the soil at the sampling sites.
fenvs-10-990471,fenvs-10-990471_S1,S1,OC_pct,3.55,Unknown,,high,table_p3_ri2_ci2,TABLE 1 Physical and chemical properties of the soil at the sampling sites.
fenvs-10-990471,fenvs-10-990471_S1,S1,CEC_cmolkg,11.28,Unknown,,high,table_p3_ri2_ci3,TABLE 1 Physical and chemical properties of the soil at the sampling sites.
fenvs-10-990471,fenvs-10-990471_S2,S2,pH,7.62,Unknown,,high,table_p3_ri3_ci1,TABLE 1 Physical and chemical properties of the soil at the sampling sites.
fenvs-10-990471,fenvs-10-990471_S2,S2,OC_pct,3.84,Unknown,,high,table_p3_ri3_ci2,TABLE 1 Physical and chemical properties of the soil at the sampling sites.
fenvs-10-990471,fenvs-10-990471_S2,S2,CEC_cmolkg,23.57,Unknown,,high,table_p3_ri3_ci3,TABLE 1 Physical and chemical properties of the soil at the sampling sites.
fenvs-10-990471,fenvs-10-990471_S3,S3,pH,7.48,Unknown,,high,table_p3_ri4_ci1,TABLE 1 Physical and chemical properties of the soil at the sampling sites.
fenvs-10-990471,fenvs-10-990471_S3,S3,OC_pct,5.61,Unknown,,high,table_p3_ri4_ci2,TABLE 1 Physical and chemical properties of the soil at the sampling sites.
fenvs-10-990471,fenvs-10-990471_S3,S3,CEC_cmolkg,12.28,Unknown,,high,table_p3_ri4_ci3,TABLE 1 Physical and chemical properties of the soil at the sampling sites.
fenvs-10-990471,fenvs-10-990471_S4,S4,pH,7.24,Unknown,,high,table_p3_ri5_ci1,TABLE 1 Physical and chemical properties of the soil at the sampling sites.
fenvs-10-990471,fenvs-10-990471_S4,S4,OC_pct,4.47,Unknown,,high,table_p3_ri5_ci2,TABLE 1 Physical and chemical properties of the soil at the sampling sites.
fenvs-10-990471,fenvs-10-990471_S4,S4,CEC_cmolkg,14.57,Unknown,,high,table_p3_ri5_ci3,TABLE 1 Physical and chemical properties of the soil at the sampling sites.
fenvs-10-990471,fenvs-10-990471_S5,S5,pH,7.37,Unknown,,high,table_p3_ri6_ci1,TABLE 1 Physical and chemical properties of the soil at the sampling sites.
fenvs-10-990471,fenvs-10-990471_S5,S5,OC_pct,9.46,Unknown,,high,table_p3_ri6_ci2,TABLE 1 Physical and chemical properties of the soil at the sampling sites.
fenvs-10-990471,fenvs-10-990471_S5,S5,CEC_cmolkg,26.45,Unknown,,high,table_p3_ri6_ci3,TABLE 1 Physical and chemical properties of the soil at the sampling sites.
fenvs-10-990471,fenvs-10-990471_CAS,CAS,Ant_ngg,1305.0,Unknown,range_mean,high,table_p5_ri13_ci1,TABLE 3 Concentration of <sub>21</sub> a-PAHs in samples of soil (ng/g).
fenvs-10-990471,fenvs-10-990471_CAS,CAS,Ant_ngg,1250.5,Unknown,range_mean,high,table_p5_ri14_ci1,TABLE 3 Concentration of <sub>21</sub> a-PAHs in samples of soil (ng/g).
fenvs-10-990471,fenvs-10-990471_CAS,CAS,Ant_ngg,77.0,Unknown,range_mean,high,table_p5_ri15_ci1,TABLE 3 Concentration of <sub>21</sub> a-PAHs in samples of soil (ng/g).
fenvs-10-990471,fenvs-10-990471_CAS,CAS,Pyr_ngg,1210.0,Unknown,range_mean,high,table_p5_ri21_ci1,TABLE 3 Concentration of <sub>21</sub> a-PAHs in samples of soil (ng/g).
fenvs-10-990471,fenvs-10-990471_S1,S1,Sum_PAH_ngg,207.64,Unknown,,high,table_p5_ri1_ci2,TABLE 4 Distribution and ration of different kinds of PAHs content in sampling sites.
fenvs-10-990471,fenvs-10-990471_S1,S1,Sum_PAH_ngg,444.04,Unknown,,high,table_p5_ri1_ci3,TABLE 4 Distribution and ration of different kinds of PAHs content in sampling sites.
fenvs-10-990471,fenvs-10-990471_S2,S2,Sum_PAH_ngg,136.67,Unknown,,high,table_p5_ri2_ci2,TABLE 4 Distribution and ration of different kinds of PAHs content in sampling sites.
fenvs-10-990471,fenvs-10-990471_S2,S2,Sum_PAH_ngg,230.92,Unknown,,high,table_p5_ri2_ci3,TABLE 4 Distribution and ration of different kinds of PAHs content in sampling sites.
fenvs-10-990471,fenvs-10-990471_S3,S3,Sum_PAH_ngg,196.04,Unknown,,high,table_p5_ri3_ci2,TABLE 4 Distribution and ration of different kinds of PAHs content in sampling sites.
fenvs-10-990471,fenvs-10-990471_S3,S3,Sum_PAH_ngg,279.48,Unknown,,high,table_p5_ri3_ci3,TABLE 4 Distribution and ration of different kinds of PAHs content in sampling sites.
fenvs-10-990471,fenvs-10-990471_S4,S4,Sum_PAH_ngg,121.43,Unknown,,high,table_p5_ri4_ci2,TABLE 4 Distribution and ration of different kinds of PAHs content in sampling sites.
fenvs-10-990471,fenvs-10-990471_S4,S4,Sum_PAH_ngg,249.21,Unknown,,high,table_p5_ri4_ci3,TABLE 4 Distribution and ration of different kinds of PAHs content in sampling sites.
fenvs-10-990471,fenvs-10-990471_S5,S5,Sum_PAH_ngg,224.66,Unknown,,high,table_p5_ri5_ci2,TABLE 4 Distribution and ration of different kinds of PAHs content in sampling sites.
fenvs-10-990471,fenvs-10-990471_S5,S5,Sum_PAH_ngg,530.72,Unknown,,high,table_p5_ri5_ci3,TABLE 4 Distribution and ration of different kinds of PAHs content in sampling sites.
fenvs-10-990471,fenvs-10-990471_Total,Total,Sum_PAH_ngg,886.43,Unknown,,high,table_p5_ri6_ci2,TABLE 4 Distribution and ration of different kinds of PAHs content in sampling sites.
fenvs-10-990471,fenvs-10-990471_Total,Total,Sum_PAH_ngg,1734.35,Unknown,,high,table_p5_ri6_ci3,TABLE 4 Distribution and ration of different kinds of PAHs content in sampling sites.
fenvs-10-990471,fenvs-10-990471_TEF,TEF,Nap_ngg,0.001,Unknown,,high,table_p8_ri1_ci1,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Sites_(1-5)_(ng/g),Sites (1-5) (ng/g),Nap_ngg,49.97,Unknown,,high,table_p8_ri1_ci2,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_$\bf_{_T_E_Q_}___{_B_a_P_}$,$\bf { T E Q } _ { B a P }$,Nap_ngg,0.05,Unknown,,high,table_p8_ri1_ci3,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Percentage_(%),Percentage (%),Nap_ngg,0.03,Unknown,,high,table_p8_ri1_ci4,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_TEF,TEF,Acy_ngg,0.001,Unknown,,high,table_p8_ri2_ci1,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Sites_(1-5)_(ng/g),Sites (1-5) (ng/g),Acy_ngg,0.0,Unknown,,high,table_p8_ri2_ci2,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_$\bf_{_T_E_Q_}___{_B_a_P_}$,$\bf { T E Q } _ { B a P }$,Acy_ngg,0.0,Unknown,,high,table_p8_ri2_ci3,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Percentage_(%),Percentage (%),Acy_ngg,0.0,Unknown,,high,table_p8_ri2_ci4,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_TEF,TEF,Ace_ngg,0.001,Unknown,,high,table_p8_ri3_ci1,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Sites_(1-5)_(ng/g),Sites (1-5) (ng/g),Ace_ngg,0.0,Unknown,,high,table_p8_ri3_ci2,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_$\bf_{_T_E_Q_}___{_B_a_P_}$,$\bf { T E Q } _ { B a P }$,Ace_ngg,0.0,Unknown,,high,table_p8_ri3_ci3,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Percentage_(%),Percentage (%),Ace_ngg,0.0,Unknown,,high,table_p8_ri3_ci4,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_TEF,TEF,Flu_ngg,0.001,Unknown,,high,table_p8_ri4_ci1,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Sites_(1-5)_(ng/g),Sites (1-5) (ng/g),Flu_ngg,66.155,Unknown,,high,table_p8_ri4_ci2,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_$\bf_{_T_E_Q_}___{_B_a_P_}$,$\bf { T E Q } _ { B a P }$,Flu_ngg,0.066,Unknown,,high,table_p8_ri4_ci3,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Percentage_(%),Percentage (%),Flu_ngg,0.03,Unknown,,high,table_p8_ri4_ci4,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_TEF,TEF,Phe_ngg,0.001,Unknown,,high,table_p8_ri5_ci1,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Sites_(1-5)_(ng/g),Sites (1-5) (ng/g),Phe_ngg,74.673,Unknown,,high,table_p8_ri5_ci2,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_$\bf_{_T_E_Q_}___{_B_a_P_}$,$\bf { T E Q } _ { B a P }$,Phe_ngg,0.075,Unknown,,high,table_p8_ri5_ci3,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Percentage_(%),Percentage (%),Phe_ngg,0.04,Unknown,,high,table_p8_ri5_ci4,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_TEF,TEF,Ant_ngg,0.01,Unknown,,high,table_p8_ri6_ci1,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Sites_(1-5)_(ng/g),Sites (1-5) (ng/g),Ant_ngg,67.928,Unknown,,high,table_p8_ri6_ci2,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_$\bf_{_T_E_Q_}___{_B_a_P_}$,$\bf { T E Q } _ { B a P }$,Ant_ngg,0.679,Unknown,,high,table_p8_ri6_ci3,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Percentage_(%),Percentage (%),Ant_ngg,0.34,Unknown,,high,table_p8_ri6_ci4,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_TEF,TEF,Pyr_ngg,0.001,Unknown,,high,table_p8_ri8_ci1,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Sites_(1-5)_(ng/g),Sites (1-5) (ng/g),Pyr_ngg,79.575,Unknown,,high,table_p8_ri8_ci2,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_$\bf_{_T_E_Q_}___{_B_a_P_}$,$\bf { T E Q } _ { B a P }$,Pyr_ngg,0.08,Unknown,,high,table_p8_ri8_ci3,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Percentage_(%),Percentage (%),Pyr_ngg,0.04,Unknown,,high,table_p8_ri8_ci4,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_TEF,TEF,BaA_ngg,0.1,Unknown,,high,table_p8_ri9_ci1,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Sites_(1-5)_(ng/g),Sites (1-5) (ng/g),BaA_ngg,60.19,Unknown,,high,table_p8_ri9_ci2,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_$\bf_{_T_E_Q_}___{_B_a_P_}$,$\bf { T E Q } _ { B a P }$,BaA_ngg,6.019,Unknown,,high,table_p8_ri9_ci3,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Percentage_(%),Percentage (%),BaA_ngg,3.02,Unknown,,high,table_p8_ri9_ci4,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_TEF,TEF,Chr_ngg,0.01,Unknown,,high,table_p8_ri10_ci1,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Sites_(1-5)_(ng/g),Sites (1-5) (ng/g),Chr_ngg,60.268,Unknown,,high,table_p8_ri10_ci2,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_$\bf_{_T_E_Q_}___{_B_a_P_}$,$\bf { T E Q } _ { B a P }$,Chr_ngg,0.603,Unknown,,high,table_p8_ri10_ci3,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Percentage_(%),Percentage (%),Chr_ngg,0.3,Unknown,,high,table_p8_ri10_ci4,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_TEF,TEF,BbF_ngg,0.1,Unknown,,high,table_p8_ri11_ci1,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Sites_(1-5)_(ng/g),Sites (1-5) (ng/g),BbF_ngg,96.443,Unknown,,high,table_p8_ri11_ci2,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_$\bf_{_T_E_Q_}___{_B_a_P_}$,$\bf { T E Q } _ { B a P }$,BbF_ngg,9.644,Unknown,,high,table_p8_ri11_ci3,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Percentage_(%),Percentage (%),BbF_ngg,4.84,Unknown,,high,table_p8_ri11_ci4,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_TEF,TEF,BkF_ngg,0.1,Unknown,,high,table_p8_ri12_ci1,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Sites_(1-5)_(ng/g),Sites (1-5) (ng/g),BkF_ngg,42.583,Unknown,,high,table_p8_ri12_ci2,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_$\bf_{_T_E_Q_}___{_B_a_P_}$,$\bf { T E Q } _ { B a P }$,BkF_ngg,4.258,Unknown,,high,table_p8_ri12_ci3,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Percentage_(%),Percentage (%),BkF_ngg,2.14,Unknown,,high,table_p8_ri12_ci4,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_TEF,TEF,BaP_ngg,1.0,Unknown,,high,table_p8_ri13_ci1,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Sites_(1-5)_(ng/g),Sites (1-5) (ng/g),BaP_ngg,62.348,Unknown,,high,table_p8_ri13_ci2,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_$\bf_{_T_E_Q_}___{_B_a_P_}$,$\bf { T E Q } _ { B a P }$,BaP_ngg,62.348,Unknown,,high,table_p8_ri13_ci3,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Percentage_(%),Percentage (%),BaP_ngg,31.27,Unknown,,high,table_p8_ri13_ci4,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_TEF,TEF,Nap_ngg,0.001,Unknown,,high,table_p8_ri17_ci1,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Sites_(1-5)_(ng/g),Sites (1-5) (ng/g),Nap_ngg,440.203,Unknown,,high,table_p8_ri17_ci2,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_$\bf_{_T_E_Q_}___{_B_a_P_}$,$\bf { T E Q } _ { B a P }$,Nap_ngg,0.44,Unknown,,high,table_p8_ri17_ci3,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Percentage_(%),Percentage (%),Nap_ngg,0.22,Unknown,,high,table_p8_ri17_ci4,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_TEF,TEF,Flu_ngg,0.001,Unknown,,high,table_p8_ri18_ci1,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Sites_(1-5)_(ng/g),Sites (1-5) (ng/g),Flu_ngg,297.895,Unknown,,high,table_p8_ri18_ci2,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_$\bf_{_T_E_Q_}___{_B_a_P_}$,$\bf { T E Q } _ { B a P }$,Flu_ngg,0.298,Unknown,,high,table_p8_ri18_ci3,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Percentage_(%),Percentage (%),Flu_ngg,0.15,Unknown,,high,table_p8_ri18_ci4,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_TEF,TEF,Ant_ngg,0.01,Unknown,,high,table_p8_ri19_ci1,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Sites_(1-5)_(ng/g),Sites (1-5) (ng/g),Ant_ngg,343.781,Unknown,,high,table_p8_ri19_ci2,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_$\bf_{_T_E_Q_}___{_B_a_P_}$,$\bf { T E Q } _ { B a P }$,Ant_ngg,3.438,Unknown,,high,table_p8_ri19_ci3,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Percentage_(%),Percentage (%),Ant_ngg,1.72,Unknown,,high,table_p8_ri19_ci4,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_TEF,TEF,Phe_ngg,0.001,Unknown,,high,table_p8_ri21_ci1,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Sites_(1-5)_(ng/g),Sites (1-5) (ng/g),Phe_ngg,223.978,Unknown,,high,table_p8_ri21_ci2,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_$\bf_{_T_E_Q_}___{_B_a_P_}$,$\bf { T E Q } _ { B a P }$,Phe_ngg,0.224,Unknown,,high,table_p8_ri21_ci3,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Percentage_(%),Percentage (%),Phe_ngg,0.11,Unknown,,high,table_p8_ri21_ci4,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_TEF,TEF,Pyr_ngg,0.001,Unknown,,high,table_p8_ri22_ci1,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
fenvs-10-990471,fenvs-10-990471_Sites_(1-5)_(ng/g),Sites (1-5) (ng/g),Pyr_ngg,100.988,Unknown,,high,table_p8_ri22_ci2,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a P _ { e q } } ) .$"
