paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
file,file_VGaomiao,VGaomiao,Sum_PAH_ngg,2.3,Unknown,,high,table_p9_ri1_ci1,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VGaomiao,VGaomiao,Phe_ngg,0.5,Unknown,,high,table_p9_ri1_ci2,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VGaomiao,VGaomiao,Ant_ngg,0.5,Unknown,,high,table_p9_ri1_ci2,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VGaomiao,VGaomiao,Pyr_ngg,0.6,Unknown,,high,table_p9_ri1_ci3,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VGaomiao,VGaomiao,BaA_ngg,0.5,Unknown,,high,table_p9_ri1_ci4,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VGaomiao,VGaomiao,Chr_ngg,0.5,Unknown,,high,table_p9_ri1_ci4,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VJiangwu,VJiangwu,Sum_PAH_ngg,5.6,Unknown,,high,table_p9_ri2_ci1,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VJiangwu,VJiangwu,Phe_ngg,0.5,Unknown,,high,table_p9_ri2_ci2,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VJiangwu,VJiangwu,Ant_ngg,0.5,Unknown,,high,table_p9_ri2_ci2,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VJiangwu,VJiangwu,Pyr_ngg,0.6,Unknown,,high,table_p9_ri2_ci3,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VJiangwu,VJiangwu,BaA_ngg,0.5,Unknown,,high,table_p9_ri2_ci4,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VJiangwu,VJiangwu,Chr_ngg,0.5,Unknown,,high,table_p9_ri2_ci4,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VLiulin,VLiulin,Sum_PAH_ngg,3.2,Unknown,,high,table_p9_ri3_ci1,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VLiulin,VLiulin,Phe_ngg,0.5,Unknown,,high,table_p9_ri3_ci2,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VLiulin,VLiulin,Ant_ngg,0.5,Unknown,,high,table_p9_ri3_ci2,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VLiulin,VLiulin,Pyr_ngg,0.4,Unknown,,high,table_p9_ri3_ci3,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VLiulin,VLiulin,BaA_ngg,0.5,Unknown,,high,table_p9_ri3_ci4,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VLiulin,VLiulin,Chr_ngg,0.5,Unknown,,high,table_p9_ri3_ci4,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VMoling,VMoling,Sum_PAH_ngg,3.8,Unknown,,high,table_p9_ri4_ci1,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VMoling,VMoling,Phe_ngg,0.5,Unknown,,high,table_p9_ri4_ci2,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VMoling,VMoling,Ant_ngg,0.5,Unknown,,high,table_p9_ri4_ci2,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VMoling,VMoling,Pyr_ngg,0.6,Unknown,,high,table_p9_ri4_ci3,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VMoling,VMoling,BaA_ngg,0.5,Unknown,,high,table_p9_ri4_ci4,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
file,file_VMoling,VMoling,Chr_ngg,0.5,Unknown,,high,table_p9_ri4_ci4,Table 1. Geochemical indices describing PAHs in vegetation and soil in the outskirt of Xi’an.
