paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Pig_feces_origin_(n_=_27),Pig feces origin (n = 27),Hg_mgkg,0.16,Unknown,,high,table_p3_ri2_ci2,"TABLE 1 Comparison of residual concentrations of heavy metals in fertilizer samples of different originsa,b,c"
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Total_(n_=_94),Total (n = 94),Hg_mgkg,0.25,Unknown,,high,table_p3_ri2_ci5,"TABLE 1 Comparison of residual concentrations of heavy metals in fertilizer samples of different originsa,b,c"
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Chicken_feces_origin_(n_=_34),Chicken feces origin (n = 34),As_mgkg,13.875,Unknown,range_mean,high,table_p3_ri3_ci1,"TABLE 1 Comparison of residual concentrations of heavy metals in fertilizer samples of different originsa,b,c"
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Pig_feces_origin_(n_=_27),Pig feces origin (n = 27),As_mgkg,5.96,Unknown,,high,table_p3_ri3_ci2,"TABLE 1 Comparison of residual concentrations of heavy metals in fertilizer samples of different originsa,b,c"
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Dairy_feces_origin_(n_=_18),Dairy feces origin (n = 18),As_mgkg,2.94,Unknown,,high,table_p3_ri3_ci3,"TABLE 1 Comparison of residual concentrations of heavy metals in fertilizer samples of different originsa,b,c"
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Plant_waste_origin_(n_=_15),Plant waste origin (n = 15),As_mgkg,62.22,Unknown,range_mean,high,table_p3_ri3_ci4,"TABLE 1 Comparison of residual concentrations of heavy metals in fertilizer samples of different originsa,b,c"
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Total_(n_=_94),Total (n = 94),As_mgkg,12.13,Unknown,,high,table_p3_ri3_ci5,"TABLE 1 Comparison of residual concentrations of heavy metals in fertilizer samples of different originsa,b,c"
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Chicken_feces_origin_(n_=_34),Chicken feces origin (n = 34),Cd_mgkg,5.715,Unknown,range_mean,high,table_p3_ri4_ci1,"TABLE 1 Comparison of residual concentrations of heavy metals in fertilizer samples of different originsa,b,c"
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Pig_feces_origin_(n_=_27),Pig feces origin (n = 27),Cd_mgkg,1.37,Unknown,,high,table_p3_ri4_ci2,"TABLE 1 Comparison of residual concentrations of heavy metals in fertilizer samples of different originsa,b,c"
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Dairy_feces_origin_(n_=_18),Dairy feces origin (n = 18),Cd_mgkg,8.82,Unknown,,high,table_p3_ri4_ci3,"TABLE 1 Comparison of residual concentrations of heavy metals in fertilizer samples of different originsa,b,c"
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Plant_waste_origin_(n_=_15),Plant waste origin (n = 15),Cd_mgkg,1.4000000000000001,Unknown,range_mean,high,table_p3_ri4_ci4,"TABLE 1 Comparison of residual concentrations of heavy metals in fertilizer samples of different originsa,b,c"
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Total_(n_=_94),Total (n = 94),Cd_mgkg,0.86,Unknown,,high,table_p3_ri4_ci5,"TABLE 1 Comparison of residual concentrations of heavy metals in fertilizer samples of different originsa,b,c"
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Chicken_feces_origin_(n_=_34),Chicken feces origin (n = 34),Cr_mgkg,126.095,Unknown,range_mean,high,table_p3_ri5_ci1,"TABLE 1 Comparison of residual concentrations of heavy metals in fertilizer samples of different originsa,b,c"
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Pig_feces_origin_(n_=_27),Pig feces origin (n = 27),Cr_mgkg,39.66,Unknown,,high,table_p3_ri5_ci2,"TABLE 1 Comparison of residual concentrations of heavy metals in fertilizer samples of different originsa,b,c"
he-et-al-2023-comprehensive-analysis-of-antimicrob,he-et-al-2023-comprehensive-analysis-of-antimicrob_Dairy_feces_origin_(n_=_18),Dairy feces origin (n = 18),Cr_mgkg,5.88,Unknown,,high,table_p3_ri5_ci3,"TABLE 1 Comparison of residual concentrations of heavy metals in fertilizer samples of different originsa,b,c"
