paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
1-s2.0-S0147651325006943,1-s2.0-S0147651325006943_Average_value,Average value,Cr_mgkg,143.68,Unknown,,high,table_p3_ri1_ci1,Descriptive Statistics of HMs Concentrations in Soils of Central Jilin Province (mg/kg).,,,,,,phase14
1-s2.0-S0147651325006943,1-s2.0-S0147651325006943_Medium,Medium,Cr_mgkg,143.58,Unknown,,high,table_p3_ri1_ci2,Descriptive Statistics of HMs Concentrations in Soils of Central Jilin Province (mg/kg).,,,,,,phase14
1-s2.0-S0147651325006943,"1-s2.0-S0147651325006943_Background_value_(Meng_and_Li,_1995)","Background value (Meng and Li, 1995)",Cr_mgkg,48.29,Unknown,,high,table_p3_ri1_ci6,Descriptive Statistics of HMs Concentrations in Soils of Central Jilin Province (mg/kg).,,,,,,phase14
1-s2.0-S0147651325006943,1-s2.0-S0147651325006943_Risk_screening_value,Risk screening value,Cr_mgkg,200.0,Unknown,,high,table_p3_ri1_ci7,Descriptive Statistics of HMs Concentrations in Soils of Central Jilin Province (mg/kg).,,,,,,phase14
1-s2.0-S0147651325006943,"1-s2.0-S0147651325006943_Chinese_average_level_(_Wang_et_al.,_2019)","Chinese average level ( Wang et al., 2019)",Cr_mgkg,61.0,Unknown,,high,table_p3_ri1_ci8,Descriptive Statistics of HMs Concentrations in Soils of Central Jilin Province (mg/kg).,,,,,,phase14
1-s2.0-S0147651325006943,1-s2.0-S0147651325006943_The_proportion_above_the_screening_value_(%),The proportion above the screening value (%),Cr_mgkg,49.0,Unknown,,high,table_p3_ri1_ci9,Descriptive Statistics of HMs Concentrations in Soils of Central Jilin Province (mg/kg).,,,,,,phase14
1-s2.0-S0147651325006943,1-s2.0-S0147651325006943_Average_value,Average value,Ni_mgkg,87.48,Unknown,,high,table_p3_ri2_ci1,Descriptive Statistics of HMs Concentrations in Soils of Central Jilin Province (mg/kg).,,,,,,phase14
1-s2.0-S0147651325006943,1-s2.0-S0147651325006943_Medium,Medium,Ni_mgkg,67.11,Unknown,,high,table_p3_ri2_ci2,Descriptive Statistics of HMs Concentrations in Soils of Central Jilin Province (mg/kg).,,,,,,phase14
1-s2.0-S0147651325006943,"1-s2.0-S0147651325006943_Background_value_(Meng_and_Li,_1995)","Background value (Meng and Li, 1995)",Ni_mgkg,20.07,Unknown,,high,table_p3_ri2_ci6,Descriptive Statistics of HMs Concentrations in Soils of Central Jilin Province (mg/kg).,,,,,,phase14
1-s2.0-S0147651325006943,1-s2.0-S0147651325006943_Risk_screening_value,Risk screening value,Ni_mgkg,100.0,Unknown,,high,table_p3_ri2_ci7,Descriptive Statistics of HMs Concentrations in Soils of Central Jilin Province (mg/kg).,,,,,,phase14
1-s2.0-S0147651325006943,"1-s2.0-S0147651325006943_Chinese_average_level_(_Wang_et_al.,_2019)","Chinese average level ( Wang et al., 2019)",Ni_mgkg,27.0,Unknown,,high,table_p3_ri2_ci8,Descriptive Statistics of HMs Concentrations in Soils of Central Jilin Province (mg/kg).,,,,,,phase14
1-s2.0-S0147651325006943,1-s2.0-S0147651325006943_The_proportion_above_the_screening_value_(%),The proportion above the screening value (%),Ni_mgkg,50.0,Unknown,,high,table_p3_ri2_ci9,Descriptive Statistics of HMs Concentrations in Soils of Central Jilin Province (mg/kg).,,,,,,phase14
