paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
15320383.2015.976854,15320383.2015.976854_Mean_Minimum,Mean Minimum,As_mgkg,10.26,Unknown,,high,table_p7_ri1_ci1,"Table 1 Summary statistics for trace elements concentrations (mg $\mathrm { k g } ^ { - 1 }$ for As, Cu, Zn, Ni, Cd, Cr, Pb,Hg,and Mn; % for Fe) in agricultural soils",,,,,,phase14
15320383.2015.976854,15320383.2015.976854_Maximum,Maximum,As_mgkg,62.33,Unknown,,high,table_p7_ri1_ci3,"Table 1 Summary statistics for trace elements concentrations (mg $\mathrm { k g } ^ { - 1 }$ for As, Cu, Zn, Ni, Cd, Cr, Pb,Hg,and Mn; % for Fe) in agricultural soils",,,,,,phase14
15320383.2015.976854,15320383.2015.976854_C.V.(%）_Background_valuea_Threshold_valueb,C.V.(%） Background valuea Threshold valueb,As_mgkg,10.2,Unknown,,high,table_p7_ri1_ci5,"Table 1 Summary statistics for trace elements concentrations (mg $\mathrm { k g } ^ { - 1 }$ for As, Cu, Zn, Ni, Cd, Cr, Pb,Hg,and Mn; % for Fe) in agricultural soils",,,,,,phase14
15320383.2015.976854,15320383.2015.976854_Mean_Minimum,Mean Minimum,Cu_mgkg,23.21,Unknown,,high,table_p7_ri2_ci1,"Table 1 Summary statistics for trace elements concentrations (mg $\mathrm { k g } ^ { - 1 }$ for As, Cu, Zn, Ni, Cd, Cr, Pb,Hg,and Mn; % for Fe) in agricultural soils",,,,,,phase14
15320383.2015.976854,15320383.2015.976854_Maximum,Maximum,Cu_mgkg,168.8,Unknown,,high,table_p7_ri2_ci3,"Table 1 Summary statistics for trace elements concentrations (mg $\mathrm { k g } ^ { - 1 }$ for As, Cu, Zn, Ni, Cd, Cr, Pb,Hg,and Mn; % for Fe) in agricultural soils",,,,,,phase14
15320383.2015.976854,15320383.2015.976854_C.V.(%）_Background_valuea_Threshold_valueb,C.V.(%） Background valuea Threshold valueb,Cu_mgkg,16.0,Unknown,,high,table_p7_ri2_ci5,"Table 1 Summary statistics for trace elements concentrations (mg $\mathrm { k g } ^ { - 1 }$ for As, Cu, Zn, Ni, Cd, Cr, Pb,Hg,and Mn; % for Fe) in agricultural soils",,,,,,phase14
15320383.2015.976854,15320383.2015.976854_Mean_Minimum,Mean Minimum,Zn_mgkg,83.75,Unknown,,high,table_p7_ri3_ci1,"Table 1 Summary statistics for trace elements concentrations (mg $\mathrm { k g } ^ { - 1 }$ for As, Cu, Zn, Ni, Cd, Cr, Pb,Hg,and Mn; % for Fe) in agricultural soils",,,,,,phase14
15320383.2015.976854,15320383.2015.976854_Maximum,Maximum,Zn_mgkg,370.86,Unknown,,high,table_p7_ri3_ci3,"Table 1 Summary statistics for trace elements concentrations (mg $\mathrm { k g } ^ { - 1 }$ for As, Cu, Zn, Ni, Cd, Cr, Pb,Hg,and Mn; % for Fe) in agricultural soils",,,,,,phase14
15320383.2015.976854,15320383.2015.976854_C.V.(%）_Background_valuea_Threshold_valueb,C.V.(%） Background valuea Threshold valueb,Zn_mgkg,53.1,Unknown,,high,table_p7_ri3_ci5,"Table 1 Summary statistics for trace elements concentrations (mg $\mathrm { k g } ^ { - 1 }$ for As, Cu, Zn, Ni, Cd, Cr, Pb,Hg,and Mn; % for Fe) in agricultural soils",,,,,,phase14
15320383.2015.976854,15320383.2015.976854_Mean_Minimum,Mean Minimum,Ni_mgkg,22.81,Unknown,,high,table_p7_ri4_ci1,"Table 1 Summary statistics for trace elements concentrations (mg $\mathrm { k g } ^ { - 1 }$ for As, Cu, Zn, Ni, Cd, Cr, Pb,Hg,and Mn; % for Fe) in agricultural soils",,,,,,phase14
15320383.2015.976854,15320383.2015.976854_Maximum,Maximum,Ni_mgkg,75.51,Unknown,,high,table_p7_ri4_ci3,"Table 1 Summary statistics for trace elements concentrations (mg $\mathrm { k g } ^ { - 1 }$ for As, Cu, Zn, Ni, Cd, Cr, Pb,Hg,and Mn; % for Fe) in agricultural soils",,,,,,phase14
15320383.2015.976854,15320383.2015.976854_C.V.(%）_Background_valuea_Threshold_valueb,C.V.(%） Background valuea Threshold valueb,Ni_mgkg,20.2,Unknown,,high,table_p7_ri4_ci5,"Table 1 Summary statistics for trace elements concentrations (mg $\mathrm { k g } ^ { - 1 }$ for As, Cu, Zn, Ni, Cd, Cr, Pb,Hg,and Mn; % for Fe) in agricultural soils",,,,,,phase14
15320383.2015.976854,15320383.2015.976854_Mean_Minimum,Mean Minimum,Cd_mgkg,0.25,Unknown,,high,table_p7_ri5_ci1,"Table 1 Summary statistics for trace elements concentrations (mg $\mathrm { k g } ^ { - 1 }$ for As, Cu, Zn, Ni, Cd, Cr, Pb,Hg,and Mn; % for Fe) in agricultural soils",,,,,,phase14
15320383.2015.976854,15320383.2015.976854_Maximum,Maximum,Cd_mgkg,4.34,Unknown,,high,table_p7_ri5_ci3,"Table 1 Summary statistics for trace elements concentrations (mg $\mathrm { k g } ^ { - 1 }$ for As, Cu, Zn, Ni, Cd, Cr, Pb,Hg,and Mn; % for Fe) in agricultural soils",,,,,,phase14
15320383.2015.976854,15320383.2015.976854_C.V.(%）_Background_valuea_Threshold_valueb,C.V.(%） Background valuea Threshold valueb,Cd_mgkg,0.12,Unknown,,high,table_p7_ri5_ci5,"Table 1 Summary statistics for trace elements concentrations (mg $\mathrm { k g } ^ { - 1 }$ for As, Cu, Zn, Ni, Cd, Cr, Pb,Hg,and Mn; % for Fe) in agricultural soils",,,,,,phase14
15320383.2015.976854,15320383.2015.976854_Mean_Minimum,Mean Minimum,Cr_mgkg,61.86,Unknown,,high,table_p7_ri6_ci1,"Table 1 Summary statistics for trace elements concentrations (mg $\mathrm { k g } ^ { - 1 }$ for As, Cu, Zn, Ni, Cd, Cr, Pb,Hg,and Mn; % for Fe) in agricultural soils",,,,,,phase14
15320383.2015.976854,15320383.2015.976854_Maximum,Maximum,Cr_mgkg,216.98,Unknown,,high,table_p7_ri6_ci3,"Table 1 Summary statistics for trace elements concentrations (mg $\mathrm { k g } ^ { - 1 }$ for As, Cu, Zn, Ni, Cd, Cr, Pb,Hg,and Mn; % for Fe) in agricultural soils",,,,,,phase14
15320383.2015.976854,15320383.2015.976854_C.V.(%）_Background_valuea_Threshold_valueb,C.V.(%） Background valuea Threshold valueb,Cr_mgkg,55.0,Unknown,,high,table_p7_ri6_ci5,"Table 1 Summary statistics for trace elements concentrations (mg $\mathrm { k g } ^ { - 1 }$ for As, Cu, Zn, Ni, Cd, Cr, Pb,Hg,and Mn; % for Fe) in agricultural soils",,,,,,phase14
