paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
66377_j.chemosphere.2018.06.177,66377_j.chemosphere.2018.06.177_Concentration_(mg/kg),Concentration (mg/kg),As_mgkg,7.38,Unknown,,high,table_p35_ri2_ci1,Table 2 Heavy metal concentrations in sampling soils,,,,,,phase14
66377_j.chemosphere.2018.06.177,66377_j.chemosphere.2018.06.177_S.D.a,S.D.a,As_mgkg,3.24,Unknown,,high,table_p35_ri2_ci2,Table 2 Heavy metal concentrations in sampling soils,,,,,,phase14
66377_j.chemosphere.2018.06.177,66377_j.chemosphere.2018.06.177_C.V.b,C.V.b,As_mgkg,14.04,Unknown,,high,table_p35_ri2_ci3,Table 2 Heavy metal concentrations in sampling soils,,,,,,phase14
66377_j.chemosphere.2018.06.177,66377_j.chemosphere.2018.06.177_Skewness,Skewness,As_mgkg,7.38,Unknown,,high,table_p35_ri2_ci4,Table 2 Heavy metal concentrations in sampling soils,,,,,,phase14
66377_j.chemosphere.2018.06.177,66377_j.chemosphere.2018.06.177_Kurtosis,Kurtosis,As_mgkg,0.37,Unknown,,high,table_p35_ri2_ci5,Table 2 Heavy metal concentrations in sampling soils,,,,,,phase14
66377_j.chemosphere.2018.06.177,66377_j.chemosphere.2018.06.177_Concentration_(mg/kg),Concentration (mg/kg),Cd_mgkg,0.21,Unknown,,high,table_p35_ri4_ci1,Table 2 Heavy metal concentrations in sampling soils,,,,,,phase14
66377_j.chemosphere.2018.06.177,66377_j.chemosphere.2018.06.177_S.D.a,S.D.a,Cd_mgkg,0.09,Unknown,,high,table_p35_ri4_ci2,Table 2 Heavy metal concentrations in sampling soils,,,,,,phase14
66377_j.chemosphere.2018.06.177,66377_j.chemosphere.2018.06.177_C.V.b,C.V.b,Cd_mgkg,0.4,Unknown,,high,table_p35_ri4_ci3,Table 2 Heavy metal concentrations in sampling soils,,,,,,phase14
66377_j.chemosphere.2018.06.177,66377_j.chemosphere.2018.06.177_Skewness,Skewness,Cd_mgkg,0.21,Unknown,,high,table_p35_ri4_ci4,Table 2 Heavy metal concentrations in sampling soils,,,,,,phase14
66377_j.chemosphere.2018.06.177,66377_j.chemosphere.2018.06.177_Kurtosis,Kurtosis,Cd_mgkg,0.41,Unknown,,high,table_p35_ri4_ci5,Table 2 Heavy metal concentrations in sampling soils,,,,,,phase14
66377_j.chemosphere.2018.06.177,66377_j.chemosphere.2018.06.177_Concentration_(mg/kg),Concentration (mg/kg),Co_mgkg,5.75,Unknown,,high,table_p35_ri5_ci1,Table 2 Heavy metal concentrations in sampling soils,,,,,,phase14
66377_j.chemosphere.2018.06.177,66377_j.chemosphere.2018.06.177_S.D.a,S.D.a,Co_mgkg,3.0,Unknown,,high,table_p35_ri5_ci2,Table 2 Heavy metal concentrations in sampling soils,,,,,,phase14
66377_j.chemosphere.2018.06.177,66377_j.chemosphere.2018.06.177_C.V.b,C.V.b,Co_mgkg,11.27,Unknown,,high,table_p35_ri5_ci3,Table 2 Heavy metal concentrations in sampling soils,,,,,,phase14
66377_j.chemosphere.2018.06.177,66377_j.chemosphere.2018.06.177_Skewness,Skewness,Co_mgkg,5.75,Unknown,,high,table_p35_ri5_ci4,Table 2 Heavy metal concentrations in sampling soils,,,,,,phase14
