paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
70617_D0RA01004A,70617_D0RA01004A_As,As,As_mgkg,1.0,Unknown,,high,table_p7_ri1_ci1,Table3Pearson correlation analysis of soil HMs concentrations in shallow soila,,,,,,phase14
70617_D0RA01004A,70617_D0RA01004A_Be,Be,Be_mgkg,1.0,Unknown,,high,table_p7_ri2_ci2,Table3Pearson correlation analysis of soil HMs concentrations in shallow soila,,,,,,phase14
70617_D0RA01004A,70617_D0RA01004A_Cd,Cd,Cd_mgkg,1.0,Unknown,,high,table_p7_ri3_ci3,Table3Pearson correlation analysis of soil HMs concentrations in shallow soila,,,,,,phase14
70617_D0RA01004A,70617_D0RA01004A_Be,Be,Cr_mgkg,0.053,Unknown,,high,table_p7_ri4_ci2,Table3Pearson correlation analysis of soil HMs concentrations in shallow soila,,,,,,phase14
70617_D0RA01004A,70617_D0RA01004A_Cr,Cr,Cr_mgkg,1.0,Unknown,,high,table_p7_ri4_ci4,Table3Pearson correlation analysis of soil HMs concentrations in shallow soila,,,,,,phase14
70617_D0RA01004A,70617_D0RA01004A_As,As,Cu_mgkg,0.009,Unknown,,high,table_p7_ri5_ci1,Table3Pearson correlation analysis of soil HMs concentrations in shallow soila,,,,,,phase14
70617_D0RA01004A,70617_D0RA01004A_Be,Be,Cu_mgkg,0.116,Unknown,,high,table_p7_ri5_ci2,Table3Pearson correlation analysis of soil HMs concentrations in shallow soila,,,,,,phase14
70617_D0RA01004A,70617_D0RA01004A_Cr,Cr,Cu_mgkg,0.058,Unknown,,high,table_p7_ri5_ci4,Table3Pearson correlation analysis of soil HMs concentrations in shallow soila,,,,,,phase14
70617_D0RA01004A,70617_D0RA01004A_Cu,Cu,Cu_mgkg,1.0,Unknown,,high,table_p7_ri5_ci5,Table3Pearson correlation analysis of soil HMs concentrations in shallow soila,,,,,,phase14
70617_D0RA01004A,70617_D0RA01004A_As,As,Hg_mgkg,0.121,Unknown,,high,table_p7_ri6_ci1,Table3Pearson correlation analysis of soil HMs concentrations in shallow soila,,,,,,phase14
