paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
70684_15320383.2014.914465,70684_15320383.2014.914465_Minimum,Minimum,Cd_mgkg,0.12,Unknown,,high,table_p8_ri2_ci1,"Table 2 Statistical summary of heavy metals in sediments from the residential, the mixed, and the agricultural areas of rural rivers in Yangyuan Town (mg/kg)",,,,,,phase14
70684_15320383.2014.914465,70684_15320383.2014.914465_Minimum,Minimum,Cr_mgkg,71.7,Unknown,,high,table_p8_ri2_ci2,"Table 2 Statistical summary of heavy metals in sediments from the residential, the mixed, and the agricultural areas of rural rivers in Yangyuan Town (mg/kg)",,,,,,phase14
70684_15320383.2014.914465,70684_15320383.2014.914465_Minimum,Minimum,Cu_mgkg,23.2,Unknown,,high,table_p8_ri2_ci3,"Table 2 Statistical summary of heavy metals in sediments from the residential, the mixed, and the agricultural areas of rural rivers in Yangyuan Town (mg/kg)",,,,,,phase14
70684_15320383.2014.914465,70684_15320383.2014.914465_Minimum,Minimum,Ni_mgkg,31.3,Unknown,,high,table_p8_ri2_ci4,"Table 2 Statistical summary of heavy metals in sediments from the residential, the mixed, and the agricultural areas of rural rivers in Yangyuan Town (mg/kg)",,,,,,phase14
70684_15320383.2014.914465,70684_15320383.2014.914465_Minimum,Minimum,Pb_mgkg,22.0,Unknown,,high,table_p8_ri2_ci5,"Table 2 Statistical summary of heavy metals in sediments from the residential, the mixed, and the agricultural areas of rural rivers in Yangyuan Town (mg/kg)",,,,,,phase14
70684_15320383.2014.914465,70684_15320383.2014.914465_Minimum,Minimum,Zn_mgkg,43.5,Unknown,,high,table_p8_ri2_ci6,"Table 2 Statistical summary of heavy metals in sediments from the residential, the mixed, and the agricultural areas of rural rivers in Yangyuan Town (mg/kg)",,,,,,phase14
70684_15320383.2014.914465,70684_15320383.2014.914465_Maximum,Maximum,Cd_mgkg,21.8,Unknown,,high,table_p8_ri3_ci1,"Table 2 Statistical summary of heavy metals in sediments from the residential, the mixed, and the agricultural areas of rural rivers in Yangyuan Town (mg/kg)",,,,,,phase14
70684_15320383.2014.914465,70684_15320383.2014.914465_Maximum,Maximum,Cr_mgkg,170.0,Unknown,,high,table_p8_ri3_ci2,"Table 2 Statistical summary of heavy metals in sediments from the residential, the mixed, and the agricultural areas of rural rivers in Yangyuan Town (mg/kg)",,,,,,phase14
70684_15320383.2014.914465,70684_15320383.2014.914465_Maximum,Maximum,Cu_mgkg,147.0,Unknown,,high,table_p8_ri3_ci3,"Table 2 Statistical summary of heavy metals in sediments from the residential, the mixed, and the agricultural areas of rural rivers in Yangyuan Town (mg/kg)",,,,,,phase14
70684_15320383.2014.914465,70684_15320383.2014.914465_Maximum,Maximum,Ni_mgkg,109.0,Unknown,,high,table_p8_ri3_ci4,"Table 2 Statistical summary of heavy metals in sediments from the residential, the mixed, and the agricultural areas of rural rivers in Yangyuan Town (mg/kg)",,,,,,phase14
70684_15320383.2014.914465,70684_15320383.2014.914465_Maximum,Maximum,Pb_mgkg,87.7,Unknown,,high,table_p8_ri3_ci5,"Table 2 Statistical summary of heavy metals in sediments from the residential, the mixed, and the agricultural areas of rural rivers in Yangyuan Town (mg/kg)",,,,,,phase14
70684_15320383.2014.914465,70684_15320383.2014.914465_Maximum,Maximum,Zn_mgkg,876.0,Unknown,,high,table_p8_ri3_ci6,"Table 2 Statistical summary of heavy metals in sediments from the residential, the mixed, and the agricultural areas of rural rivers in Yangyuan Town (mg/kg)",,,,,,phase14
70684_15320383.2014.914465,70684_15320383.2014.914465_S.D.,S.D.,Cd_mgkg,9.9,Unknown,,high,table_p8_ri6_ci1,"Table 2 Statistical summary of heavy metals in sediments from the residential, the mixed, and the agricultural areas of rural rivers in Yangyuan Town (mg/kg)",,,,,,phase14
70684_15320383.2014.914465,70684_15320383.2014.914465_S.D.,S.D.,Cr_mgkg,39.0,Unknown,,high,table_p8_ri6_ci2,"Table 2 Statistical summary of heavy metals in sediments from the residential, the mixed, and the agricultural areas of rural rivers in Yangyuan Town (mg/kg)",,,,,,phase14
70684_15320383.2014.914465,70684_15320383.2014.914465_S.D.,S.D.,Cu_mgkg,52.9,Unknown,,high,table_p8_ri6_ci3,"Table 2 Statistical summary of heavy metals in sediments from the residential, the mixed, and the agricultural areas of rural rivers in Yangyuan Town (mg/kg)",,,,,,phase14
70684_15320383.2014.914465,70684_15320383.2014.914465_S.D.,S.D.,Ni_mgkg,30.8,Unknown,,high,table_p8_ri6_ci4,"Table 2 Statistical summary of heavy metals in sediments from the residential, the mixed, and the agricultural areas of rural rivers in Yangyuan Town (mg/kg)",,,,,,phase14
