paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
72131_s00244-010-9590-6,72131_s00244-010-9590-6_EW_(OBS),EW (OBS),Cr_mgkg,272.0,Unknown,,high,table_p11_ri1_ci2,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_EW_(OBS),EW (OBS),Cu_mgkg,533.0,Unknown,,high,table_p11_ri1_ci3,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_EW_(OBS),EW (OBS),Zn_mgkg,920.0,Unknown,,high,table_p11_ri1_ci4,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_EW_(OBS),EW (OBS),Cd_mgkg,11.0,Unknown,,high,table_p11_ri1_ci5,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_EW_(OBS),EW (OBS),Pb_mgkg,3254.0,Unknown,,high,table_p11_ri1_ci6,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_OBS,OBS,Cr_mgkg,307.0,Unknown,range_mean,high,table_p11_ri2_ci2,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_OBS,OBS,Cu_mgkg,694.0,Unknown,range_mean,high,table_p11_ri2_ci3,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_OBS,OBS,Zn_mgkg,2922.0,Unknown,range_mean,high,table_p11_ri2_ci4,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_OBS,OBS,Cd_mgkg,24.205,Unknown,range_mean,high,table_p11_ri2_ci5,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_OBS,OBS,Pb_mgkg,3947.0,Unknown,range_mean,high,table_p11_ri2_ci6,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_EW_(DW),EW (DW),Cr_mgkg,1717.0,Unknown,,high,table_p11_ri3_ci2,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_EW_(DW),EW (DW),Cu_mgkg,756.0,Unknown,,high,table_p11_ri3_ci3,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_EW_(DW),EW (DW),Zn_mgkg,1717.0,Unknown,,high,table_p11_ri3_ci4,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_EW_(DW),EW (DW),Cd_mgkg,4.72,Unknown,,high,table_p11_ri3_ci5,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_EW_(DW),EW (DW),Pb_mgkg,1380.0,Unknown,,high,table_p11_ri3_ci6,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Basic_metal_recycling_operation,Basic metal recycling operation,Cr_mgkg,20.95,Unknown,,high,table_p11_ri4_ci2,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Basic_metal_recycling_operation,Basic metal recycling operation,Cu_mgkg,97.9,Unknown,,high,table_p11_ri4_ci3,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Basic_metal_recycling_operation,Basic metal recycling operation,Zn_mgkg,281.4,Unknown,,high,table_p11_ri4_ci4,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Basic_metal_recycling_operation,Basic metal recycling operation,Cd_mgkg,0.62,Unknown,,high,table_p11_ri4_ci5,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Basic_metal_recycling_operation,Basic metal recycling operation,Pb_mgkg,44.3,Unknown,,high,table_p11_ri4_ci6,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Legal_metal_recycling_centre,Legal metal recycling centre,Cr_mgkg,26.75,Unknown,,high,table_p11_ri5_ci2,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Legal_metal_recycling_centre,Legal metal recycling centre,Cu_mgkg,256.4,Unknown,,high,table_p11_ri5_ci3,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Legal_metal_recycling_centre,Legal metal recycling centre,Zn_mgkg,209.8,Unknown,,high,table_p11_ri5_ci4,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Legal_metal_recycling_centre,Legal metal recycling centre,Cd_mgkg,6.37,Unknown,,high,table_p11_ri5_ci5,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Legal_metal_recycling_centre,Legal metal recycling centre,Pb_mgkg,46.8,Unknown,,high,table_p11_ri5_ci6,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_A,A,Cr_mgkg,7.05,Unknown,,high,table_p11_ri6_ci2,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_A,A,Cu_mgkg,13.8,Unknown,,high,table_p11_ri6_ci3,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_A,A,Zn_mgkg,123.0,Unknown,,high,table_p11_ri6_ci4,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_A,A,Cd_mgkg,0.28,Unknown,,high,table_p11_ri6_ci5,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_A,A,Pb_mgkg,131.9,Unknown,,high,table_p11_ri6_ci6,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_EW_(S),EW (S),Cr_mgkg,22.9,Unknown,,high,table_p11_ri7_ci2,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_EW_(S),EW (S),Cu_mgkg,11.5,Unknown,,high,table_p11_ri7_ci3,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_EW_(S),EW (S),Zn_mgkg,114.6,Unknown,,high,table_p11_ri7_ci4,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_EW_(S),EW (S),Cd_mgkg,0.08,Unknown,,high,table_p11_ri7_ci5,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_EW_(S),EW (S),Pb_mgkg,232.0,Unknown,,high,table_p11_ri7_ci6,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Control,Control,Cr_mgkg,6.3,Unknown,,high,table_p11_ri10_ci2,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Control,Control,Cu_mgkg,32.0,Unknown,,high,table_p11_ri10_ci3,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Control,Control,Zn_mgkg,112.0,Unknown,,high,table_p11_ri10_ci4,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Control,Control,Cd_mgkg,0.15,Unknown,,high,table_p11_ri10_ci5,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Control,Control,Pb_mgkg,33.4,Unknown,,high,table_p11_ri10_ci6,Table 7 Comparison of total heavy metal concentrations between this study and other studies (mg/kg),,,,,,phase14
