paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_一,一,V_mgkg,165.0,Unknown,,high,table_p6_ri1_ci2,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_一,一,Ni_mgkg,150.0,Unknown,,high,table_p6_ri1_ci5,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_一,一,Cu_mgkg,2000.0,Unknown,,high,table_p6_ri1_ci6,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_一,一,As_mgkg,20.0,Unknown,,high,table_p6_ri1_ci8,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_一,一,Cd_mgkg,20.0,Unknown,,high,table_p6_ri1_ci9,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_一,一,Sb_mgkg,20.0,Unknown,,high,table_p6_ri1_ci10,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_一,一,Pb_mgkg,400.0,Unknown,,high,table_p6_ri1_ci11,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_一,一,Co_mgkg,20.0,Unknown,,high,table_p6_ri1_ci12,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_S2,S2,V_mgkg,330.0,Unknown,,high,table_p6_ri2_ci2,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_S2,S2,Ni_mgkg,600.0,Unknown,,high,table_p6_ri2_ci5,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_S2,S2,Cu_mgkg,8000.0,Unknown,,high,table_p6_ri2_ci6,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_S2,S2,As_mgkg,120.0,Unknown,,high,table_p6_ri2_ci8,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_S2,S2,Cd_mgkg,47.0,Unknown,,high,table_p6_ri2_ci9,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_S2,S2,Sb_mgkg,40.0,Unknown,,high,table_p6_ri2_ci10,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_S2,S2,Pb_mgkg,800.0,Unknown,,high,table_p6_ri2_ci11,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_S2,S2,Co_mgkg,190.0,Unknown,,high,table_p6_ri2_ci12,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2003,2003,Cr_mgkg,28.6,Unknown,,high,table_p6_ri3_ci3,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2003,2003,Ni_mgkg,155.0,Unknown,,high,table_p6_ri3_ci5,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2003,2003,Cu_mgkg,496.0,Unknown,,high,table_p6_ri3_ci6,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2003,2003,Zn_mgkg,258.0,Unknown,,high,table_p6_ri3_ci7,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2003,2003,Cd_mgkg,1.7,Unknown,,high,table_p6_ri3_ci9,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2003,2003,Pb_mgkg,104.0,Unknown,,high,table_p6_ri3_ci11,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2004,2004,Ni_mgkg,1500.0,Unknown,,high,table_p6_ri4_ci5,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2004,2004,Cu_mgkg,8360.0,Unknown,,high,table_p6_ri4_ci6,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2004,2004,Zn_mgkg,4420.0,Unknown,,high,table_p6_ri4_ci7,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2004,2004,As_mgkg,1.0,Unknown,,high,table_p6_ri4_ci8,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2004,2004,Pb_mgkg,110000.0,Unknown,,high,table_p6_ri4_ci11,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2004,2004,Cr_mgkg,307.0,Unknown,,high,table_p6_ri5_ci3,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2004,2004,Ni_mgkg,403.6,Unknown,,high,table_p6_ri5_ci5,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2004,2004,Cu_mgkg,7814.0,Unknown,,high,table_p6_ri5_ci6,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2004,2004,Zn_mgkg,2922.0,Unknown,,high,table_p6_ri5_ci7,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2004,2004,As_mgkg,1.0,Unknown,,high,table_p6_ri5_ci8,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2004,2004,Cd_mgkg,24.2,Unknown,,high,table_p6_ri5_ci9,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2004,2004,Pb_mgkg,3947.0,Unknown,,high,table_p6_ri5_ci11,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2009,2009,Cr_mgkg,2600.0,Unknown,,high,table_p6_ri6_ci3,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2009,2009,Mn_mgkg,300.0,Unknown,,high,table_p6_ri6_ci4,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2009,2009,Ni_mgkg,480.0,Unknown,,high,table_p6_ri6_ci5,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2009,2009,Cu_mgkg,4800.0,Unknown,,high,table_p6_ri6_ci6,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2009,2009,Zn_mgkg,330.0,Unknown,,high,table_p6_ri6_ci7,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2009,2009,As_mgkg,26.0,Unknown,,high,table_p6_ri6_ci8,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2009,2009,Cd_mgkg,1.2,Unknown,,high,table_p6_ri6_ci9,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2009,2009,Sb_mgkg,1100.0,Unknown,,high,table_p6_ri6_ci10,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
Assessment of Heavy Metal Pollution and Health Ris,Assessment of Heavy Metal Pollution and Health Ris_2009,2009,Pb_mgkg,150.0,Unknown,,high,table_p6_ri6_ci11,Table 1. Comparison between the results obtained in this study and data in the literature (mg kg<sup>−1</sup>).,,,,,,phase14
