paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
DOI-resolvable candidate record 10.1002etc.5586,DOI-resolvable candidate record 10.1002etc.5586_Determined_value_(mg/kg),Determined value (mg/kg),Cu_mgkg,44.45,Unknown,,high,table_p5_ri1_ci1,TABLE 1: Statistics of geochemical baseline points,,,,,,phase14
DOI-resolvable candidate record 10.1002etc.5586,DOI-resolvable candidate record 10.1002etc.5586_Determined_value_(mg/kg),Determined value (mg/kg),Cd_mgkg,0.64,Unknown,,high,table_p5_ri1_ci2,TABLE 1: Statistics of geochemical baseline points,,,,,,phase14
DOI-resolvable candidate record 10.1002etc.5586,DOI-resolvable candidate record 10.1002etc.5586_Determined_value_(mg/kg),Determined value (mg/kg),Cr_mgkg,117.15,Unknown,,high,table_p5_ri1_ci3,TABLE 1: Statistics of geochemical baseline points,,,,,,phase14
DOI-resolvable candidate record 10.1002etc.5586,DOI-resolvable candidate record 10.1002etc.5586_Determined_value_(mg/kg),Determined value (mg/kg),Hg_mgkg,0.12,Unknown,,high,table_p5_ri1_ci4,TABLE 1: Statistics of geochemical baseline points,,,,,,phase14
DOI-resolvable candidate record 10.1002etc.5586,DOI-resolvable candidate record 10.1002etc.5586_Determined_value_(mg/kg),Determined value (mg/kg),Zn_mgkg,110.0,Unknown,,high,table_p5_ri1_ci5,TABLE 1: Statistics of geochemical baseline points,,,,,,phase14
DOI-resolvable candidate record 10.1002etc.5586,DOI-resolvable candidate record 10.1002etc.5586_Determined_value_(mg/kg),Determined value (mg/kg),As_mgkg,8.35,Unknown,,high,table_p5_ri1_ci6,TABLE 1: Statistics of geochemical baseline points,,,,,,phase14
DOI-resolvable candidate record 10.1002etc.5586,DOI-resolvable candidate record 10.1002etc.5586_Determined_value_(mg/kg),Determined value (mg/kg),Pb_mgkg,37.67,Unknown,,high,table_p5_ri1_ci7,TABLE 1: Statistics of geochemical baseline points,,,,,,phase14
DOI-resolvable candidate record 10.1002etc.5586,DOI-resolvable candidate record 10.1002etc.5586_Determined_value_(mg/kg),Determined value (mg/kg),Ni_mgkg,49.33,Unknown,,high,table_p5_ri1_ci8,TABLE 1: Statistics of geochemical baseline points,,,,,,phase14
DOI-resolvable candidate record 10.1002etc.5586,DOI-resolvable candidate record 10.1002etc.5586_Number_of_hyperlinks,Number of hyperlinks,Cu_mgkg,290.0,Unknown,,high,table_p5_ri2_ci1,TABLE 1: Statistics of geochemical baseline points,,,,,,phase14
DOI-resolvable candidate record 10.1002etc.5586,DOI-resolvable candidate record 10.1002etc.5586_Number_of_hyperlinks,Number of hyperlinks,Cd_mgkg,294.0,Unknown,,high,table_p5_ri2_ci2,TABLE 1: Statistics of geochemical baseline points,,,,,,phase14
DOI-resolvable candidate record 10.1002etc.5586,DOI-resolvable candidate record 10.1002etc.5586_Number_of_hyperlinks,Number of hyperlinks,Cr_mgkg,298.0,Unknown,,high,table_p5_ri2_ci3,TABLE 1: Statistics of geochemical baseline points,,,,,,phase14
DOI-resolvable candidate record 10.1002etc.5586,DOI-resolvable candidate record 10.1002etc.5586_Number_of_hyperlinks,Number of hyperlinks,Hg_mgkg,268.0,Unknown,,high,table_p5_ri2_ci4,TABLE 1: Statistics of geochemical baseline points,,,,,,phase14
DOI-resolvable candidate record 10.1002etc.5586,DOI-resolvable candidate record 10.1002etc.5586_Number_of_hyperlinks,Number of hyperlinks,Zn_mgkg,264.0,Unknown,,high,table_p5_ri2_ci5,TABLE 1: Statistics of geochemical baseline points,,,,,,phase14
DOI-resolvable candidate record 10.1002etc.5586,DOI-resolvable candidate record 10.1002etc.5586_Number_of_hyperlinks,Number of hyperlinks,As_mgkg,457.0,Unknown,,high,table_p5_ri2_ci6,TABLE 1: Statistics of geochemical baseline points,,,,,,phase14
DOI-resolvable candidate record 10.1002etc.5586,DOI-resolvable candidate record 10.1002etc.5586_Number_of_hyperlinks,Number of hyperlinks,Pb_mgkg,283.0,Unknown,,high,table_p5_ri2_ci7,TABLE 1: Statistics of geochemical baseline points,,,,,,phase14
DOI-resolvable candidate record 10.1002etc.5586,DOI-resolvable candidate record 10.1002etc.5586_Number_of_hyperlinks,Number of hyperlinks,Ni_mgkg,278.0,Unknown,,high,table_p5_ri2_ci8,TABLE 1: Statistics of geochemical baseline points,,,,,,phase14
