paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
DOI-resolvable candidate record 10.1016j.envpol.20,DOI-resolvable candidate record 10.1016j.envpol.20_NBCsa,NBCsa,Pb_mgkg,820.0,Unknown,,high,table_p4_ri1_ci6,Soil screening values (C4SLs and SGVs) and NBCs for the total heavy metal and metalloids investigated. Values are expressed in mg $\mathbf { k g } ^ { - 1 }$ soil dry weight.,,,,,,phase14
DOI-resolvable candidate record 10.1016j.envpol.20,DOI-resolvable candidate record 10.1016j.envpol.20_C4SLs_for_allotment_d,C4SLs for allotment d,As_mgkg,49.0,Unknown,,high,table_p4_ri2_ci1,Soil screening values (C4SLs and SGVs) and NBCs for the total heavy metal and metalloids investigated. Values are expressed in mg $\mathbf { k g } ^ { - 1 }$ soil dry weight.,,,,,,phase14
DOI-resolvable candidate record 10.1016j.envpol.20,DOI-resolvable candidate record 10.1016j.envpol.20_C4SLs_for_allotment_d,C4SLs for allotment d,Cd_mgkg,4.9,Unknown,,high,table_p4_ri2_ci2,Soil screening values (C4SLs and SGVs) and NBCs for the total heavy metal and metalloids investigated. Values are expressed in mg $\mathbf { k g } ^ { - 1 }$ soil dry weight.,,,,,,phase14
DOI-resolvable candidate record 10.1016j.envpol.20,DOI-resolvable candidate record 10.1016j.envpol.20_C4SLs_for_allotment_d,C4SLs for allotment d,Cr_mgkg,170.0,Unknown,,high,table_p4_ri2_ci3,Soil screening values (C4SLs and SGVs) and NBCs for the total heavy metal and metalloids investigated. Values are expressed in mg $\mathbf { k g } ^ { - 1 }$ soil dry weight.,,,,,,phase14
DOI-resolvable candidate record 10.1016j.envpol.20,DOI-resolvable candidate record 10.1016j.envpol.20_C4SLs_for_allotment_d,C4SLs for allotment d,Pb_mgkg,80.0,Unknown,,high,table_p4_ri2_ci6,Soil screening values (C4SLs and SGVs) and NBCs for the total heavy metal and metalloids investigated. Values are expressed in mg $\mathbf { k g } ^ { - 1 }$ soil dry weight.,,,,,,phase14
DOI-resolvable candidate record 10.1016j.envpol.20,DOI-resolvable candidate record 10.1016j.envpol.20_SGVs_for_allotmente,SGVs for allotmente,Cu_mgkg,150.0,Unknown,,high,table_p4_ri3_ci4,Soil screening values (C4SLs and SGVs) and NBCs for the total heavy metal and metalloids investigated. Values are expressed in mg $\mathbf { k g } ^ { - 1 }$ soil dry weight.,,,,,,phase14
DOI-resolvable candidate record 10.1016j.envpol.20,DOI-resolvable candidate record 10.1016j.envpol.20_SGVs_for_allotmente,SGVs for allotmente,Ni_mgkg,230.0,Unknown,,high,table_p4_ri3_ci5,Soil screening values (C4SLs and SGVs) and NBCs for the total heavy metal and metalloids investigated. Values are expressed in mg $\mathbf { k g } ^ { - 1 }$ soil dry weight.,,,,,,phase14
DOI-resolvable candidate record 10.1016j.envpol.20,DOI-resolvable candidate record 10.1016j.envpol.20_SVGs_for_agricultural_soils_f,SVGs for agricultural soils f,Zn_mgkg,250.0,Unknown,,high,table_p4_ri4_ci7,Soil screening values (C4SLs and SGVs) and NBCs for the total heavy metal and metalloids investigated. Values are expressed in mg $\mathbf { k g } ^ { - 1 }$ soil dry weight.,,,,,,phase14
DOI-resolvable candidate record 10.1016j.envpol.20,DOI-resolvable candidate record 10.1016j.envpol.20_Fixed_effect_variables,Fixed effect variables,Cr_mgkg,0.05,Unknown,,high,table_p5_ri5_ci3,Outcomes of the linear mixed effect models explaining the variability of soil total HM concentrations across UK UH soils. Results included model terms (fixed and random effect) and the results of type,,,,,,phase14
DOI-resolvable candidate record 10.1016j.envpol.20,DOI-resolvable candidate record 10.1016j.envpol.20_Fixed_effect_variables,Fixed effect variables,Cu_mgkg,0.001,Unknown,,high,table_p5_ri7_ci3,Outcomes of the linear mixed effect models explaining the variability of soil total HM concentrations across UK UH soils. Results included model terms (fixed and random effect) and the results of type,,,,,,phase14
DOI-resolvable candidate record 10.1016j.envpol.20,DOI-resolvable candidate record 10.1016j.envpol.20_Fixed_effect_variables,Fixed effect variables,Pb_mgkg,0.05,Unknown,,high,table_p5_ri9_ci3,Outcomes of the linear mixed effect models explaining the variability of soil total HM concentrations across UK UH soils. Results included model terms (fixed and random effect) and the results of type,,,,,,phase14
DOI-resolvable candidate record 10.1016j.envpol.20,DOI-resolvable candidate record 10.1016j.envpol.20_Fixed_effect_variables,Fixed effect variables,Ni_mgkg,0.01,Unknown,,high,table_p5_ri11_ci3,Outcomes of the linear mixed effect models explaining the variability of soil total HM concentrations across UK UH soils. Results included model terms (fixed and random effect) and the results of type,,,,,,phase14
