paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_SE,SE,V_mgkg,13.75,Unknown,,high,table_p4_ri1_ci2,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_Minimum,Minimum,V_mgkg,35.83,Unknown,,high,table_p4_ri1_ci3,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_Maximum,Maximum,V_mgkg,95.03,Unknown,,high,table_p4_ri1_ci5,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_Background_value_[20],Background value [20],V_mgkg,71.8,Unknown,,high,table_p4_ri1_ci6,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_SE,SE,Cr_mgkg,347.44,Unknown,,high,table_p4_ri2_ci2,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_Minimum,Minimum,Cr_mgkg,35.88,Unknown,,high,table_p4_ri2_ci3,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_Maximum,Maximum,Cr_mgkg,1409.29,Unknown,,high,table_p4_ri2_ci5,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_Background_value_[20],Background value [20],Cr_mgkg,70.1,Unknown,,high,table_p4_ri2_ci6,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_World_soil_average_[35],World soil average [35],Cr_mgkg,59.5,Unknown,,high,table_p4_ri2_ci7,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_SE,SE,Co_mgkg,18.55,Unknown,,high,table_p4_ri3_ci2,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_Minimum,Minimum,Co_mgkg,5.33,Unknown,,high,table_p4_ri3_ci3,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_Maximum,Maximum,Co_mgkg,79.77,Unknown,,high,table_p4_ri3_ci5,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_Background_value_[20],Background value [20],Co_mgkg,10.1,Unknown,,high,table_p4_ri3_ci6,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_World_soil_average_[35],World soil average [35],Co_mgkg,11.3,Unknown,,high,table_p4_ri3_ci7,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_SE,SE,Ni_mgkg,419.04,Unknown,,high,table_p4_ri4_ci2,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_Minimum,Minimum,Ni_mgkg,12.57,Unknown,,high,table_p4_ri4_ci3,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_Maximum,Maximum,Ni_mgkg,1640.17,Unknown,,high,table_p4_ri4_ci5,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_Background_value_[20],Background value [20],Ni_mgkg,29.6,Unknown,,high,table_p4_ri4_ci6,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_World_soil_average_[35],World soil average [35],Ni_mgkg,29.0,Unknown,,high,table_p4_ri4_ci7,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_SE,SE,Cu_mgkg,20.42,Unknown,,high,table_p4_ri5_ci2,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_Minimum,Minimum,Cu_mgkg,15.85,Unknown,,high,table_p4_ri5_ci3,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_Maximum,Maximum,Cu_mgkg,93.72,Unknown,,high,table_p4_ri5_ci5,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_Background_value_[20],Background value [20],Cu_mgkg,22.2,Unknown,,high,table_p4_ri5_ci6,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_World_soil_average_[35],World soil average [35],Cu_mgkg,38.9,Unknown,,high,table_p4_ri5_ci7,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
_dup_02757540.2020.1817403,_dup_02757540.2020.1817403_SE,SE,Zn_mgkg,28.0,Unknown,,high,table_p4_ri6_ci2,"Statistical summary of pH, TOC, and concentrations of trace element soil samples, background <sup>Table 1.</sup>value and world soil average (<sup>n</sup> = 20, mg/kg for all trace elements, g/kg for ",,,,,,phase14
