paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
_dup_clen.201100550,_dup_clen.201100550_Soy_bean_soil,Soy bean soil,Pb_mgkg,43.2,Unknown,,high,table_p3_ri1_ci2,"Table 2. Heavy metal content (mg/g), pH, and cation exchange capacity (CEC, cmol (þ)/kg) in the arable soils around the Yunfu Sulfuric Acid Factory",,,,,,phase14
_dup_clen.201100550,_dup_clen.201100550_Soy_bean_soil,Soy bean soil,Cu_mgkg,39.4,Unknown,,high,table_p3_ri1_ci3,"Table 2. Heavy metal content (mg/g), pH, and cation exchange capacity (CEC, cmol (þ)/kg) in the arable soils around the Yunfu Sulfuric Acid Factory",,,,,,phase14
_dup_clen.201100550,_dup_clen.201100550_Soy_bean_soil,Soy bean soil,Zn_mgkg,47.2,Unknown,,high,table_p3_ri1_ci4,"Table 2. Heavy metal content (mg/g), pH, and cation exchange capacity (CEC, cmol (þ)/kg) in the arable soils around the Yunfu Sulfuric Acid Factory",,,,,,phase14
_dup_clen.201100550,_dup_clen.201100550_Soy_bean_soil,Soy bean soil,Ni_mgkg,22.6,Unknown,,high,table_p3_ri1_ci5,"Table 2. Heavy metal content (mg/g), pH, and cation exchange capacity (CEC, cmol (þ)/kg) in the arable soils around the Yunfu Sulfuric Acid Factory",,,,,,phase14
_dup_clen.201100550,_dup_clen.201100550_Taro_soil,Taro soil,Pb_mgkg,52.6,Unknown,,high,table_p3_ri2_ci2,"Table 2. Heavy metal content (mg/g), pH, and cation exchange capacity (CEC, cmol (þ)/kg) in the arable soils around the Yunfu Sulfuric Acid Factory",,,,,,phase14
_dup_clen.201100550,_dup_clen.201100550_Taro_soil,Taro soil,Cu_mgkg,54.6,Unknown,,high,table_p3_ri2_ci3,"Table 2. Heavy metal content (mg/g), pH, and cation exchange capacity (CEC, cmol (þ)/kg) in the arable soils around the Yunfu Sulfuric Acid Factory",,,,,,phase14
_dup_clen.201100550,_dup_clen.201100550_Taro_soil,Taro soil,Zn_mgkg,59.4,Unknown,,high,table_p3_ri2_ci4,"Table 2. Heavy metal content (mg/g), pH, and cation exchange capacity (CEC, cmol (þ)/kg) in the arable soils around the Yunfu Sulfuric Acid Factory",,,,,,phase14
_dup_clen.201100550,_dup_clen.201100550_Taro_soil,Taro soil,Ni_mgkg,26.5,Unknown,,high,table_p3_ri2_ci5,"Table 2. Heavy metal content (mg/g), pH, and cation exchange capacity (CEC, cmol (þ)/kg) in the arable soils around the Yunfu Sulfuric Acid Factory",,,,,,phase14
_dup_clen.201100550,_dup_clen.201100550_Sweet_potato_soil,Sweet potato soil,Pb_mgkg,85.1,Unknown,,high,table_p3_ri3_ci2,"Table 2. Heavy metal content (mg/g), pH, and cation exchange capacity (CEC, cmol (þ)/kg) in the arable soils around the Yunfu Sulfuric Acid Factory",,,,,,phase14
_dup_clen.201100550,_dup_clen.201100550_Sweet_potato_soil,Sweet potato soil,Cu_mgkg,52.9,Unknown,,high,table_p3_ri3_ci3,"Table 2. Heavy metal content (mg/g), pH, and cation exchange capacity (CEC, cmol (þ)/kg) in the arable soils around the Yunfu Sulfuric Acid Factory",,,,,,phase14
_dup_clen.201100550,_dup_clen.201100550_Sweet_potato_soil,Sweet potato soil,Zn_mgkg,82.2,Unknown,,high,table_p3_ri3_ci4,"Table 2. Heavy metal content (mg/g), pH, and cation exchange capacity (CEC, cmol (þ)/kg) in the arable soils around the Yunfu Sulfuric Acid Factory",,,,,,phase14
_dup_clen.201100550,_dup_clen.201100550_Sweet_potato_soil,Sweet potato soil,Ni_mgkg,34.0,Unknown,,high,table_p3_ri3_ci5,"Table 2. Heavy metal content (mg/g), pH, and cation exchange capacity (CEC, cmol (þ)/kg) in the arable soils around the Yunfu Sulfuric Acid Factory",,,,,,phase14
_dup_clen.201100550,_dup_clen.201100550_Chinese_lettuce_soil,Chinese lettuce soil,Pb_mgkg,51.9,Unknown,,high,table_p3_ri4_ci2,"Table 2. Heavy metal content (mg/g), pH, and cation exchange capacity (CEC, cmol (þ)/kg) in the arable soils around the Yunfu Sulfuric Acid Factory",,,,,,phase14
_dup_clen.201100550,_dup_clen.201100550_Chinese_lettuce_soil,Chinese lettuce soil,Cu_mgkg,70.2,Unknown,,high,table_p3_ri4_ci3,"Table 2. Heavy metal content (mg/g), pH, and cation exchange capacity (CEC, cmol (þ)/kg) in the arable soils around the Yunfu Sulfuric Acid Factory",,,,,,phase14
_dup_clen.201100550,_dup_clen.201100550_Chinese_lettuce_soil,Chinese lettuce soil,Zn_mgkg,77.0,Unknown,,high,table_p3_ri4_ci4,"Table 2. Heavy metal content (mg/g), pH, and cation exchange capacity (CEC, cmol (þ)/kg) in the arable soils around the Yunfu Sulfuric Acid Factory",,,,,,phase14
_dup_clen.201100550,_dup_clen.201100550_Chinese_lettuce_soil,Chinese lettuce soil,Ni_mgkg,29.4,Unknown,,high,table_p3_ri4_ci5,"Table 2. Heavy metal content (mg/g), pH, and cation exchange capacity (CEC, cmol (þ)/kg) in the arable soils around the Yunfu Sulfuric Acid Factory",,,,,,phase14
