paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
_dup_es104080s,_dup_es104080s_Shenbag_(B1),Shenbag (B1),Fe_mgkg,7.2,Unknown,,high,table_p2_ri2_ci3,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Shenbag_(B1),Shenbag (B1),As_mgkg,7.5,Unknown,,high,table_p2_ri2_ci4,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Shenbag_(B1),Shenbag (B1),As_mgkg,24.0,Unknown,,high,table_p2_ri2_ci5,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Shenbag_(B1),Shenbag (B1),As_mgkg,362.0,Unknown,,high,table_p2_ri2_ci6,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Shenbag_(B1),Shenbag (B1),As_mgkg,4.0,Unknown,,high,table_p2_ri2_ci7,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Shenbag_(B1),Shenbag (B1),As_mgkg,0.5,Unknown,,high,table_p2_ri2_ci8,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Fatehpur_(B2),Fatehpur (B2),Fe_mgkg,6.5,Unknown,,high,table_p2_ri3_ci3,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Fatehpur_(B2),Fatehpur (B2),As_mgkg,17.5,Unknown,,high,table_p2_ri3_ci4,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Fatehpur_(B2),Fatehpur (B2),As_mgkg,87.0,Unknown,,high,table_p2_ri3_ci5,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Fatehpur_(B2),Fatehpur (B2),As_mgkg,3938.0,Unknown,,high,table_p2_ri3_ci6,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Fatehpur_(B2),Fatehpur (B2),As_mgkg,114.0,Unknown,,high,table_p2_ri3_ci7,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Fatehpur_(B2),Fatehpur (B2),As_mgkg,8.4,Unknown,,high,table_p2_ri3_ci8,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Fatehpur_(B3),Fatehpur (B3),Fe_mgkg,6.9,Unknown,,high,table_p2_ri4_ci3,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Fatehpur_(B3),Fatehpur (B3),As_mgkg,15.5,Unknown,,high,table_p2_ri4_ci4,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Fatehpur_(B3),Fatehpur (B3),As_mgkg,100.0,Unknown,,high,table_p2_ri4_ci5,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Fatehpur_(B3),Fatehpur (B3),As_mgkg,4538.0,Unknown,,high,table_p2_ri4_ci6,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Fatehpur_(B3),Fatehpur (B3),As_mgkg,72.0,Unknown,,high,table_p2_ri4_ci7,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Fatehpur_(B3),Fatehpur (B3),As_mgkg,5.5,Unknown,,high,table_p2_ri4_ci8,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Dhumrakandi_(B4),Dhumrakandi (B4),Fe_mgkg,7.1,Unknown,,high,table_p2_ri5_ci3,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Dhumrakandi_(B4),Dhumrakandi (B4),As_mgkg,15.4,Unknown,,high,table_p2_ri5_ci4,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Dhumrakandi_(B4),Dhumrakandi (B4),As_mgkg,9.2,Unknown,,high,table_p2_ri5_ci5,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Dhumrakandi_(B4),Dhumrakandi (B4),As_mgkg,959.0,Unknown,,high,table_p2_ri5_ci6,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Dhumrakandi_(B4),Dhumrakandi (B4),As_mgkg,10.0,Unknown,,high,table_p2_ri5_ci7,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Dhumrakandi_(B4),Dhumrakandi (B4),As_mgkg,0.8,Unknown,,high,table_p2_ri5_ci8,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Dhumrakandi_(B5),Dhumrakandi (B5),Fe_mgkg,7.9,Unknown,,high,table_p2_ri6_ci3,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Dhumrakandi_(B5),Dhumrakandi (B5),As_mgkg,17.5,Unknown,,high,table_p2_ri6_ci4,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Dhumrakandi_(B5),Dhumrakandi (B5),As_mgkg,10.0,Unknown,,high,table_p2_ri6_ci5,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Dhumrakandi_(B5),Dhumrakandi (B5),As_mgkg,1455.0,Unknown,,high,table_p2_ri6_ci6,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Dhumrakandi_(B5),Dhumrakandi (B5),As_mgkg,62.0,Unknown,,high,table_p2_ri6_ci7,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Dhumrakandi_(B5),Dhumrakandi (B5),As_mgkg,5.0,Unknown,,high,table_p2_ri6_ci8,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Dhumrakandi_(B6),Dhumrakandi (B6),Fe_mgkg,7.4,Unknown,,high,table_p2_ri7_ci3,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Dhumrakandi_(B6),Dhumrakandi (B6),As_mgkg,21.5,Unknown,,high,table_p2_ri7_ci4,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Dhumrakandi_(B6),Dhumrakandi (B6),As_mgkg,78.0,Unknown,,high,table_p2_ri7_ci5,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Dhumrakandi_(B6),Dhumrakandi (B6),As_mgkg,3120.0,Unknown,,high,table_p2_ri7_ci6,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Dhumrakandi_(B6),Dhumrakandi (B6),As_mgkg,138.0,Unknown,,high,table_p2_ri7_ci7,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Dhumrakandi_(B6),Dhumrakandi (B6),As_mgkg,12.7,Unknown,,high,table_p2_ri7_ci8,,,,,,,phase14
_dup_es104080s,_dup_es104080s_Paranpur_(B7),Paranpur (B7),Fe_mgkg,7.3,Unknown,,high,table_p2_ri8_ci3,,,,,,,phase14
