paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_+_2MAD)_(this_study)_Geochemical_background_(Median)_of_Guangdong²,+ 2MAD) (this study) Geochemical background (Median) of Guangdong²,Cd_mgkg,0.04,Unknown,,high,table_p5_ri3_ci1,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_+_2MAD)_(this_study)_Geochemical_background_(Median)_of_Guangdong²,+ 2MAD) (this study) Geochemical background (Median) of Guangdong²,Cu_mgkg,11.4,Unknown,,high,table_p5_ri3_ci2,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_+_2MAD)_(this_study)_Geochemical_background_(Median)_of_Guangdong²,+ 2MAD) (this study) Geochemical background (Median) of Guangdong²,Hg_mgkg,0.056,Unknown,,high,table_p5_ri3_ci3,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_+_2MAD)_(this_study)_Geochemical_background_(Median)_of_Guangdong²,+ 2MAD) (this study) Geochemical background (Median) of Guangdong²,Pb_mgkg,28.9,Unknown,,high,table_p5_ri3_ci4,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_+_2MAD)_(this_study)_Geochemical_background_(Median)_of_Guangdong²,+ 2MAD) (this study) Geochemical background (Median) of Guangdong²,Zn_mgkg,35.8,Unknown,,high,table_p5_ri3_ci5,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_geochemical_background_range_(95_percentile)_of_Guangdonga,Upper limit of geochemical background range (95 percentile) of Guangdonga,Cd_mgkg,0.188,Unknown,,high,table_p5_ri4_ci1,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_geochemical_background_range_(95_percentile)_of_Guangdonga,Upper limit of geochemical background range (95 percentile) of Guangdonga,Cu_mgkg,60.6,Unknown,,high,table_p5_ri4_ci2,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_geochemical_background_range_(95_percentile)_of_Guangdonga,Upper limit of geochemical background range (95 percentile) of Guangdonga,Hg_mgkg,0.242,Unknown,,high,table_p5_ri4_ci3,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_geochemical_background_range_(95_percentile)_of_Guangdonga,Upper limit of geochemical background range (95 percentile) of Guangdonga,Pb_mgkg,74.0,Unknown,,high,table_p5_ri4_ci4,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_geochemical_background_range_(95_percentile)_of_Guangdonga,Upper limit of geochemical background range (95 percentile) of Guangdonga,Zn_mgkg,110.6,Unknown,,high,table_p5_ri4_ci5,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Geochemical_background_of_Shenzhenª,Geochemical background of Shenzhenª,Cd_mgkg,0.04,Unknown,,high,table_p5_ri5_ci1,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Geochemical_background_of_Shenzhenª,Geochemical background of Shenzhenª,Cu_mgkg,6.9,Unknown,,high,table_p5_ri5_ci2,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Geochemical_background_of_Shenzhenª,Geochemical background of Shenzhenª,Hg_mgkg,0.071,Unknown,,high,table_p5_ri5_ci3,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Geochemical_background_of_Shenzhenª,Geochemical background of Shenzhenª,Pb_mgkg,33.8,Unknown,,high,table_p5_ri5_ci4,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Geochemical_background_of_Shenzhenª,Geochemical background of Shenzhenª,Zn_mgkg,40.9,Unknown,,high,table_p5_ri5_ci5,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_geochemical_background_range_(95_percentile)_of_Shenzhen²,Upper limit of geochemical background range (95 percentile) of Shenzhen²,Cd_mgkg,0.192,Unknown,,high,table_p5_ri6_ci1,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_geochemical_background_range_(95_percentile)_of_Shenzhen²,Upper limit of geochemical background range (95 percentile) of Shenzhen²,Cu_mgkg,34.1,Unknown,,high,table_p5_ri6_ci2,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_geochemical_background_range_(95_percentile)_of_Shenzhen²,Upper limit of geochemical background range (95 percentile) of Shenzhen²,Hg_mgkg,0.346,Unknown,,high,table_p5_ri6_ci3,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_geochemical_background_range_(95_percentile)_of_Shenzhen²,Upper limit of geochemical background range (95 percentile) of Shenzhen²,Pb_mgkg,83.2,Unknown,,high,table_p5_ri6_ci4,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_geochemical_background_range_(95_percentile)_of_Shenzhen²,Upper limit of geochemical background range (95 percentile) of Shenzhen²,Zn_mgkg,148.8,Unknown,,high,table_p5_ri6_ci5,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
