paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
_dup_molecules26082169,_dup_molecules26082169_31.3,31.3,As_mgkg,159.0,Unknown,,high,table_p5_ri2_ci2,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
_dup_molecules26082169,_dup_molecules26082169_31.3,31.3,Cd_mgkg,101.0,Unknown,,high,table_p5_ri2_ci3,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
_dup_molecules26082169,_dup_molecules26082169_31.3,31.3,Cr_mgkg,0.09,Unknown,,high,table_p5_ri2_ci4,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
_dup_molecules26082169,_dup_molecules26082169_31.3,31.3,Cu_mgkg,2991.0,Unknown,,high,table_p5_ri2_ci5,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
_dup_molecules26082169,_dup_molecules26082169_31.3,31.3,Mn_mgkg,63.3,Unknown,,high,table_p5_ri2_ci7,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
_dup_molecules26082169,_dup_molecules26082169_31.3,31.3,Ni_mgkg,8.07,Unknown,,high,table_p5_ri2_ci8,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
_dup_molecules26082169,_dup_molecules26082169_31.3,31.3,Pb_mgkg,170.0,Unknown,,high,table_p5_ri2_ci9,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
_dup_molecules26082169,_dup_molecules26082169_20.0,20.0,As_mgkg,104.0,Unknown,,high,table_p5_ri3_ci2,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
_dup_molecules26082169,_dup_molecules26082169_20.0,20.0,Cd_mgkg,27.9,Unknown,,high,table_p5_ri3_ci3,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
_dup_molecules26082169,_dup_molecules26082169_20.0,20.0,Cr_mgkg,0.04,Unknown,,high,table_p5_ri3_ci4,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
_dup_molecules26082169,_dup_molecules26082169_20.0,20.0,Cu_mgkg,1839.0,Unknown,,high,table_p5_ri3_ci5,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
_dup_molecules26082169,_dup_molecules26082169_20.0,20.0,Mn_mgkg,33.4,Unknown,,high,table_p5_ri3_ci7,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
_dup_molecules26082169,_dup_molecules26082169_20.0,20.0,Ni_mgkg,2.11,Unknown,,high,table_p5_ri3_ci8,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
_dup_molecules26082169,_dup_molecules26082169_20.0,20.0,Pb_mgkg,54.0,Unknown,,high,table_p5_ri3_ci9,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
_dup_molecules26082169,_dup_molecules26082169_Background_values_1,Background values 1,As_mgkg,9.3,Unknown,,high,table_p5_ri4_ci2,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
_dup_molecules26082169,_dup_molecules26082169_Background_values_1,Background values 1,Cd_mgkg,0.08,Unknown,,high,table_p5_ri4_ci3,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
_dup_molecules26082169,_dup_molecules26082169_Background_values_1,Background values 1,Cr_mgkg,66.0,Unknown,,high,table_p5_ri4_ci4,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
_dup_molecules26082169,_dup_molecules26082169_Background_values_1,Background values 1,Cu_mgkg,24.0,Unknown,,high,table_p5_ri4_ci5,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
_dup_molecules26082169,_dup_molecules26082169_Background_values_1,Background values 1,Mn_mgkg,644.0,Unknown,,high,table_p5_ri4_ci7,"Table 2. Descriptive statistics of metal concentrations $( \mu \mathrm { g } \cdot \mathrm { g } ^ { - 1 } )$ in soils, sediments, and vegetables collected from a regulated electronic waste recycling ",,,,,,phase14
