paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
_dup_s11270-018-3974-z,_dup_s11270-018-3974-z_Crenarchaeota,Crenarchaeota,Cd_mgkg,0.073,Unknown,,high,table_p5_ri1_ci2,"Table 2
Pearson’s correlation coefficients between relative abundance of bacterial and archaeal phyla and metal content and other chemical properties of paddy soils This table only shows the taxa wit",,,,,,phase14
_dup_s11270-018-3974-z,_dup_s11270-018-3974-z_Crenarchaeota,Crenarchaeota,Pb_mgkg,0.165,Unknown,,high,table_p5_ri1_ci6,"Table 2
Pearson’s correlation coefficients between relative abundance of bacterial and archaeal phyla and metal content and other chemical properties of paddy soils This table only shows the taxa wit",,,,,,phase14
_dup_s11270-018-3974-z,_dup_s11270-018-3974-z_Acidobacteria,Acidobacteria,Cd_mgkg,0.008,Unknown,,high,table_p5_ri2_ci2,"Table 2
Pearson’s correlation coefficients between relative abundance of bacterial and archaeal phyla and metal content and other chemical properties of paddy soils This table only shows the taxa wit",,,,,,phase14
_dup_s11270-018-3974-z,_dup_s11270-018-3974-z_Acidobacteria,Acidobacteria,Cu_mgkg,0.149,Unknown,,high,table_p5_ri2_ci4,"Table 2
Pearson’s correlation coefficients between relative abundance of bacterial and archaeal phyla and metal content and other chemical properties of paddy soils This table only shows the taxa wit",,,,,,phase14
_dup_s11270-018-3974-z,_dup_s11270-018-3974-z_Acidobacteria,Acidobacteria,Ni_mgkg,0.081,Unknown,,high,table_p5_ri2_ci5,"Table 2
Pearson’s correlation coefficients between relative abundance of bacterial and archaeal phyla and metal content and other chemical properties of paddy soils This table only shows the taxa wit",,,,,,phase14
_dup_s11270-018-3974-z,_dup_s11270-018-3974-z_Actinobacteria,Actinobacteria,Cr_mgkg,0.039,Unknown,,high,table_p5_ri3_ci3,"Table 2
Pearson’s correlation coefficients between relative abundance of bacterial and archaeal phyla and metal content and other chemical properties of paddy soils This table only shows the taxa wit",,,,,,phase14
_dup_s11270-018-3974-z,_dup_s11270-018-3974-z_Actinobacteria,Actinobacteria,Pb_mgkg,0.062,Unknown,,high,table_p5_ri3_ci6,"Table 2
Pearson’s correlation coefficients between relative abundance of bacterial and archaeal phyla and metal content and other chemical properties of paddy soils This table only shows the taxa wit",,,,,,phase14
_dup_s11270-018-3974-z,_dup_s11270-018-3974-z_Actinobacteria,Actinobacteria,Zn_mgkg,0.216,Unknown,,high,table_p5_ri3_ci7,"Table 2
Pearson’s correlation coefficients between relative abundance of bacterial and archaeal phyla and metal content and other chemical properties of paddy soils This table only shows the taxa wit",,,,,,phase14
_dup_s11270-018-3974-z,_dup_s11270-018-3974-z_Bacteroidetes,Bacteroidetes,As_mgkg,0.085,Unknown,,high,table_p5_ri4_ci1,"Table 2
Pearson’s correlation coefficients between relative abundance of bacterial and archaeal phyla and metal content and other chemical properties of paddy soils This table only shows the taxa wit",,,,,,phase14
_dup_s11270-018-3974-z,_dup_s11270-018-3974-z_Bacteroidetes,Bacteroidetes,Cd_mgkg,0.241,Unknown,,high,table_p5_ri4_ci2,"Table 2
Pearson’s correlation coefficients between relative abundance of bacterial and archaeal phyla and metal content and other chemical properties of paddy soils This table only shows the taxa wit",,,,,,phase14
