paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
b1240206,b1240206_Cu_(mg/kg),Cu (mg/kg),Zn_mgkg,176.0,Unknown,,high,table_p64_ri5_ci1,T<sub>a</sub>bl<sub>e</sub> 3<sub>.</sub>2 R<sub>epo</sub>rt<sub>e</sub>d m<sub>e</sub>t<sub>a</sub>l <sub>co</sub>n<sub>ce</sub>ntr<sub>a</sub>ti<sub>o</sub>n<sub>s o</sub>f fi<sub>e</sub>ld<sub>-co<,,,,,,phase14
b1240206,b1240206_Zn_(mg/kg),Zn (mg/kg),Zn_mgkg,2800.0,Unknown,,high,table_p64_ri5_ci2,T<sub>a</sub>bl<sub>e</sub> 3<sub>.</sub>2 R<sub>epo</sub>rt<sub>e</sub>d m<sub>e</sub>t<sub>a</sub>l <sub>co</sub>n<sub>ce</sub>ntr<sub>a</sub>ti<sub>o</sub>n<sub>s o</sub>f fi<sub>e</sub>ld<sub>-co<,,,,,,phase14
b1240206,b1240206_Pb_(mg/kg),Pb (mg/kg),Zn_mgkg,990.0,Unknown,,high,table_p64_ri5_ci3,T<sub>a</sub>bl<sub>e</sub> 3<sub>.</sub>2 R<sub>epo</sub>rt<sub>e</sub>d m<sub>e</sub>t<sub>a</sub>l <sub>co</sub>n<sub>ce</sub>ntr<sub>a</sub>ti<sub>o</sub>n<sub>s o</sub>f fi<sub>e</sub>ld<sub>-co<,,,,,,phase14
b1240206,b1240206_Zn_(mg/kg),Zn (mg/kg),Pb_mgkg,800.0,Unknown,,high,table_p64_ri7_ci2,T<sub>a</sub>bl<sub>e</sub> 3<sub>.</sub>2 R<sub>epo</sub>rt<sub>e</sub>d m<sub>e</sub>t<sub>a</sub>l <sub>co</sub>n<sub>ce</sub>ntr<sub>a</sub>ti<sub>o</sub>n<sub>s o</sub>f fi<sub>e</sub>ld<sub>-co<,,,,,,phase14
b1240206,b1240206_Zn_(mg/kg),Zn (mg/kg),Zn_mgkg,800.0,Unknown,,high,table_p64_ri7_ci2,T<sub>a</sub>bl<sub>e</sub> 3<sub>.</sub>2 R<sub>epo</sub>rt<sub>e</sub>d m<sub>e</sub>t<sub>a</sub>l <sub>co</sub>n<sub>ce</sub>ntr<sub>a</sub>ti<sub>o</sub>n<sub>s o</sub>f fi<sub>e</sub>ld<sub>-co<,,,,,,phase14
b1240206,b1240206_Pb_(mg/kg),Pb (mg/kg),Pb_mgkg,1100.0,Unknown,,high,table_p64_ri7_ci3,T<sub>a</sub>bl<sub>e</sub> 3<sub>.</sub>2 R<sub>epo</sub>rt<sub>e</sub>d m<sub>e</sub>t<sub>a</sub>l <sub>co</sub>n<sub>ce</sub>ntr<sub>a</sub>ti<sub>o</sub>n<sub>s o</sub>f fi<sub>e</sub>ld<sub>-co<,,,,,,phase14
b1240206,b1240206_Pb_(mg/kg),Pb (mg/kg),Zn_mgkg,1100.0,Unknown,,high,table_p64_ri7_ci3,T<sub>a</sub>bl<sub>e</sub> 3<sub>.</sub>2 R<sub>epo</sub>rt<sub>e</sub>d m<sub>e</sub>t<sub>a</sub>l <sub>co</sub>n<sub>ce</sub>ntr<sub>a</sub>ti<sub>o</sub>n<sub>s o</sub>f fi<sub>e</sub>ld<sub>-co<,,,,,,phase14
b1240206,b1240206_Cu_(mg/kg),Cu (mg/kg),Pb_mgkg,129.0,Unknown,,high,table_p64_ri8_ci1,T<sub>a</sub>bl<sub>e</sub> 3<sub>.</sub>2 R<sub>epo</sub>rt<sub>e</sub>d m<sub>e</sub>t<sub>a</sub>l <sub>co</sub>n<sub>ce</sub>ntr<sub>a</sub>ti<sub>o</sub>n<sub>s o</sub>f fi<sub>e</sub>ld<sub>-co<,,,,,,phase14
b1240206,b1240206_Zn_(mg/kg),Zn (mg/kg),Pb_mgkg,1860.0,Unknown,,high,table_p64_ri8_ci2,T<sub>a</sub>bl<sub>e</sub> 3<sub>.</sub>2 R<sub>epo</sub>rt<sub>e</sub>d m<sub>e</sub>t<sub>a</sub>l <sub>co</sub>n<sub>ce</sub>ntr<sub>a</sub>ti<sub>o</sub>n<sub>s o</sub>f fi<sub>e</sub>ld<sub>-co<,,,,,,phase14
b1240206,b1240206_Pb_(mg/kg),Pb (mg/kg),Pb_mgkg,4180.0,Unknown,,high,table_p64_ri8_ci3,T<sub>a</sub>bl<sub>e</sub> 3<sub>.</sub>2 R<sub>epo</sub>rt<sub>e</sub>d m<sub>e</sub>t<sub>a</sub>l <sub>co</sub>n<sub>ce</sub>ntr<sub>a</sub>ti<sub>o</sub>n<sub>s o</sub>f fi<sub>e</sub>ld<sub>-co<,,,,,,phase14
