paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,Ring,Nap_ngg,2.0,Unknown,,high,table_p2_ri1_ci1,Table 2 PAHs concentrations in sediments of Dongzhai harbor (dw).,,,,,,phase14
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Max  $\left( \mathbf { n g } { \cdot } \mathbf { g } ^ { - 1 } \right)$,Nap_ngg,25.63,Unknown,,high,table_p2_ri1_ci3,Table 2 PAHs concentrations in sediments of Dongzhai harbor (dw).,,,,,,phase14
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Mean  $\left( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g } ^ { - 1 } \right)$,Nap_ngg,18.02,Unknown,,high,table_p2_ri1_ci4,Table 2 PAHs concentrations in sediments of Dongzhai harbor (dw).,,,,,,phase14
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,Ring,Acy_ngg,3.0,Unknown,,high,table_p2_ri2_ci1,Table 2 PAHs concentrations in sediments of Dongzhai harbor (dw).,,,,,,phase14
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Max  $\left( \mathbf { n g } { \cdot } \mathbf { g } ^ { - 1 } \right)$,Acy_ngg,11.66,Unknown,,high,table_p2_ri2_ci3,Table 2 PAHs concentrations in sediments of Dongzhai harbor (dw).,,,,,,phase14
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Mean  $\left( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g } ^ { - 1 } \right)$,Acy_ngg,2.92,Unknown,,high,table_p2_ri2_ci4,Table 2 PAHs concentrations in sediments of Dongzhai harbor (dw).,,,,,,phase14
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,Ring,Ace_ngg,3.0,Unknown,,high,table_p2_ri3_ci1,Table 2 PAHs concentrations in sediments of Dongzhai harbor (dw).,,,,,,phase14
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Max  $\left( \mathbf { n g } { \cdot } \mathbf { g } ^ { - 1 } \right)$,Ace_ngg,15.04,Unknown,,high,table_p2_ri3_ci3,Table 2 PAHs concentrations in sediments of Dongzhai harbor (dw).,,,,,,phase14
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Mean  $\left( \mathbf { n } \mathbf { g } { \cdot } \mathbf { g } ^ { - 1 } \right)$,Ace_ngg,11.31,Unknown,,high,table_p2_ri3_ci4,Table 2 PAHs concentrations in sediments of Dongzhai harbor (dw).,,,,,,phase14
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,Ring,Flu_ngg,3.0,Unknown,,high,table_p2_ri4_ci1,Table 2 PAHs concentrations in sediments of Dongzhai harbor (dw).,,,,,,phase14
