paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Thresholds_(mg·kg-1),Thresholds (mg·kg-1),Pyr_ngg,0.55,Unknown,,high,table_p3_ri1_ci1,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Max_(mg·kg-1),Max (mg·kg-1),Pyr_ngg,80.2,Unknown,,high,table_p3_ri1_ci2,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Min_(mg·kg-1),Min (mg·kg-1),Pyr_ngg,0.1,Unknown,,high,table_p3_ri1_ci3,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Thresholds_(mg·kg-1),Thresholds (mg·kg-1),Nap_ngg,25.0,Unknown,,high,table_p3_ri2_ci1,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Max_(mg·kg-1),Max (mg·kg-1),Nap_ngg,1150.0,Unknown,,high,table_p3_ri2_ci2,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Min_(mg·kg-1),Min (mg·kg-1),Nap_ngg,0.09,Unknown,,high,table_p3_ri2_ci3,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Thresholds_(mg·kg-1),Thresholds (mg·kg-1),Ant_ngg,5.5,Unknown,,high,table_p3_ri3_ci1,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Max_(mg·kg-1),Max (mg·kg-1),Ant_ngg,105.0,Unknown,,high,table_p3_ri3_ci2,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Min_(mg·kg-1),Min (mg·kg-1),Ant_ngg,0.1,Unknown,,high,table_p3_ri3_ci3,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Thresholds_(mg·kg-1),Thresholds (mg·kg-1),Flt_ngg,1.5,Unknown,,high,table_p3_ri4_ci1,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Max_(mg·kg-1),Max (mg·kg-1),Flt_ngg,161.0,Unknown,,high,table_p3_ri4_ci2,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Min_(mg·kg-1),Min (mg·kg-1),Flt_ngg,0.2,Unknown,,high,table_p3_ri4_ci3,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Thresholds_(mg·kg-1),Thresholds (mg·kg-1),Ant_ngg,5.5,Unknown,,high,table_p3_ri6_ci1,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Thresholds_(mg·kg-1),Thresholds (mg·kg-1),Cd_mgkg,5.5,Unknown,,high,table_p3_ri6_ci1,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Max_(mg·kg-1),Max (mg·kg-1),Ant_ngg,61.5,Unknown,,high,table_p3_ri6_ci2,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Max_(mg·kg-1),Max (mg·kg-1),Cd_mgkg,61.5,Unknown,,high,table_p3_ri6_ci2,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Min_(mg·kg-1),Min (mg·kg-1),Ant_ngg,0.1,Unknown,,high,table_p3_ri6_ci3,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Min_(mg·kg-1),Min (mg·kg-1),Cd_mgkg,0.1,Unknown,,high,table_p3_ri6_ci3,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Thresholds_(mg·kg-1),Thresholds (mg·kg-1),Pyr_ngg,407.0,Unknown,,high,table_p3_ri7_ci1,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Max_(mg·kg-1),Max (mg·kg-1),Pyr_ngg,4190.0,Unknown,,high,table_p3_ri7_ci2,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Min_(mg·kg-1),Min (mg·kg-1),Pyr_ngg,0.09,Unknown,,high,table_p3_ri7_ci3,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Thresholds_(mg·kg-1),Thresholds (mg·kg-1),TotalPHC_mgkg,826.0,Unknown,,high,table_p3_ri9_ci1,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Max_(mg·kg-1),Max (mg·kg-1),TotalPHC_mgkg,59400.0,Unknown,,high,table_p3_ri9_ci2,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
1-s2.0-S0269749125010206,1-s2.0-S0269749125010206_Min_(mg·kg-1),Min (mg·kg-1),TotalPHC_mgkg,10.0,Unknown,,high,table_p3_ri9_ci3,Concentrations of contaminants exceeding background levels in coking plant soils.,,,,,,phase14
