paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
66001_s00244-019-00617-w,66001_s00244-019-00617-w_CSF,CSF,Ant_ngg,0.73,Unknown,,high,table_p8_ri1_ci2,Table 5   ILCR of cPAHs in the surface water samples from Buffalo River Estuary by dermal contact,,,,,,phase14
66001_s00244-019-00617-w,66001_s00244-019-00617-w_CSF,CSF,Chr_ngg,0.073,Unknown,,high,table_p8_ri2_ci2,Table 5   ILCR of cPAHs in the surface water samples from Buffalo River Estuary by dermal contact,,,,,,phase14
66001_s00244-019-00617-w,66001_s00244-019-00617-w_Kp_(cm/h),Kp (cm/h),Flt_ngg,1.2,Unknown,,high,table_p8_ri3_ci1,Table 5   ILCR of cPAHs in the surface water samples from Buffalo River Estuary by dermal contact,,,,,,phase14
66001_s00244-019-00617-w,66001_s00244-019-00617-w_CSF,CSF,Flt_ngg,0.73,Unknown,,high,table_p8_ri3_ci2,Table 5   ILCR of cPAHs in the surface water samples from Buffalo River Estuary by dermal contact,,,,,,phase14
66001_s00244-019-00617-w,66001_s00244-019-00617-w_Kp_(cm/h),Kp (cm/h),Flt_ngg,1.0,Unknown,,high,table_p8_ri4_ci1,Table 5   ILCR of cPAHs in the surface water samples from Buffalo River Estuary by dermal contact,,,,,,phase14
66001_s00244-019-00617-w,66001_s00244-019-00617-w_CSF,CSF,Flt_ngg,0.73,Unknown,,high,table_p8_ri4_ci2,Table 5   ILCR of cPAHs in the surface water samples from Buffalo River Estuary by dermal contact,,,,,,phase14
66001_s00244-019-00617-w,66001_s00244-019-00617-w_Kp_(cm/h),Kp (cm/h),Pyr_ngg,1.2,Unknown,,high,table_p8_ri5_ci1,Table 5   ILCR of cPAHs in the surface water samples from Buffalo River Estuary by dermal contact,,,,,,phase14
66001_s00244-019-00617-w,66001_s00244-019-00617-w_CSF,CSF,Pyr_ngg,7.3,Unknown,,high,table_p8_ri5_ci2,Table 5   ILCR of cPAHs in the surface water samples from Buffalo River Estuary by dermal contact,,,,,,phase14
66001_s00244-019-00617-w,66001_s00244-019-00617-w_Kp_(cm/h),Kp (cm/h),Pyr_ngg,1.9,Unknown,,high,table_p8_ri7_ci1,Table 5   ILCR of cPAHs in the surface water samples from Buffalo River Estuary by dermal contact,,,,,,phase14
66001_s00244-019-00617-w,66001_s00244-019-00617-w_Kp_(cm/h),Kp (cm/h),Cd_mgkg,1.9,Unknown,,high,table_p8_ri7_ci1,Table 5   ILCR of cPAHs in the surface water samples from Buffalo River Estuary by dermal contact,,,,,,phase14
66001_s00244-019-00617-w,66001_s00244-019-00617-w_CSF,CSF,Pyr_ngg,0.73,Unknown,,high,table_p8_ri7_ci2,Table 5   ILCR of cPAHs in the surface water samples from Buffalo River Estuary by dermal contact,,,,,,phase14
66001_s00244-019-00617-w,66001_s00244-019-00617-w_CSF,CSF,Cd_mgkg,0.73,Unknown,,high,table_p8_ri7_ci2,Table 5   ILCR of cPAHs in the surface water samples from Buffalo River Estuary by dermal contact,,,,,,phase14
