paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
70603_C3EM00043E,70603_C3EM00043E_EW1,EW1,Cu_mgkg,149.0,Unknown,,high,table_p4_ri4_ci1,"Table2Heavy metal concentration in soil,dust and sediment samples collected from Longtang (mg per kg dry wt)",,,,,,phase14
70603_C3EM00043E,70603_C3EM00043E_EW1,EW1,Zn_mgkg,140.0,Unknown,,high,table_p4_ri4_ci2,"Table2Heavy metal concentration in soil,dust and sediment samples collected from Longtang (mg per kg dry wt)",,,,,,phase14
70603_C3EM00043E,70603_C3EM00043E_EW1,EW1,Cr_mgkg,79.3,Unknown,,high,table_p4_ri4_ci3,"Table2Heavy metal concentration in soil,dust and sediment samples collected from Longtang (mg per kg dry wt)",,,,,,phase14
70603_C3EM00043E,70603_C3EM00043E_EW1,EW1,Ni_mgkg,22.4,Unknown,,high,table_p4_ri4_ci4,"Table2Heavy metal concentration in soil,dust and sediment samples collected from Longtang (mg per kg dry wt)",,,,,,phase14
70603_C3EM00043E,70603_C3EM00043E_EW1,EW1,Pb_mgkg,106.0,Unknown,,high,table_p4_ri4_ci5,"Table2Heavy metal concentration in soil,dust and sediment samples collected from Longtang (mg per kg dry wt)",,,,,,phase14
70603_C3EM00043E,70603_C3EM00043E_EW1,EW1,Cd_mgkg,0.69,Unknown,,high,table_p4_ri4_ci6,"Table2Heavy metal concentration in soil,dust and sediment samples collected from Longtang (mg per kg dry wt)",,,,,,phase14
70603_C3EM00043E,70603_C3EM00043E_EW1,EW1,V_mgkg,104.0,Unknown,,high,table_p4_ri4_ci10,"Table2Heavy metal concentration in soil,dust and sediment samples collected from Longtang (mg per kg dry wt)",,,,,,phase14
70603_C3EM00043E,70603_C3EM00043E_EW2,EW2,Zn_mgkg,469.0,Unknown,,high,table_p4_ri5_ci2,"Table2Heavy metal concentration in soil,dust and sediment samples collected from Longtang (mg per kg dry wt)",,,,,,phase14
70603_C3EM00043E,70603_C3EM00043E_EW2,EW2,Cr_mgkg,61.3,Unknown,,high,table_p4_ri5_ci3,"Table2Heavy metal concentration in soil,dust and sediment samples collected from Longtang (mg per kg dry wt)",,,,,,phase14
70603_C3EM00043E,70603_C3EM00043E_EW2,EW2,Ni_mgkg,27.3,Unknown,,high,table_p4_ri5_ci4,"Table2Heavy metal concentration in soil,dust and sediment samples collected from Longtang (mg per kg dry wt)",,,,,,phase14
70603_C3EM00043E,70603_C3EM00043E_EW2,EW2,Hg_mgkg,0.07,Unknown,,high,table_p4_ri5_ci7,"Table2Heavy metal concentration in soil,dust and sediment samples collected from Longtang (mg per kg dry wt)",,,,,,phase14
70603_C3EM00043E,70603_C3EM00043E_EW2,EW2,As_mgkg,11.2,Unknown,,high,table_p4_ri5_ci8,"Table2Heavy metal concentration in soil,dust and sediment samples collected from Longtang (mg per kg dry wt)",,,,,,phase14
