paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Percentile,Percentile,As_mgkg,3.8,Unknown,,high,table_p3_ri3_ci2,Descriptive of selected trace elements (mg·kg-1)and antibiotics (μg·kg-1) in allsamples (n = 219).,,,,,,phase14
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Percentile,Percentile,Hg_mgkg,3.8,Unknown,,high,table_p3_ri3_ci2,Descriptive of selected trace elements (mg·kg-1)and antibiotics (μg·kg-1) in allsamples (n = 219).,,,,,,phase14
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Minimum,Minimum,As_mgkg,7.9,Unknown,,high,table_p3_ri3_ci3,Descriptive of selected trace elements (mg·kg-1)and antibiotics (μg·kg-1) in allsamples (n = 219).,,,,,,phase14
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Minimum,Minimum,Hg_mgkg,7.9,Unknown,,high,table_p3_ri3_ci3,Descriptive of selected trace elements (mg·kg-1)and antibiotics (μg·kg-1) in allsamples (n = 219).,,,,,,phase14
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Maximum,Maximum,As_mgkg,16.2,Unknown,,high,table_p3_ri3_ci4,Descriptive of selected trace elements (mg·kg-1)and antibiotics (μg·kg-1) in allsamples (n = 219).,,,,,,phase14
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Maximum,Maximum,Hg_mgkg,16.2,Unknown,,high,table_p3_ri3_ci4,Descriptive of selected trace elements (mg·kg-1)and antibiotics (μg·kg-1) in allsamples (n = 219).,,,,,,phase14
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Percentile,Percentile,Cu_mgkg,56.9,Unknown,,high,table_p3_ri4_ci2,Descriptive of selected trace elements (mg·kg-1)and antibiotics (μg·kg-1) in allsamples (n = 219).,,,,,,phase14
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Minimum,Minimum,Cu_mgkg,160.0,Unknown,,high,table_p3_ri4_ci3,Descriptive of selected trace elements (mg·kg-1)and antibiotics (μg·kg-1) in allsamples (n = 219).,,,,,,phase14
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Maximum,Maximum,Cu_mgkg,513.0,Unknown,,high,table_p3_ri4_ci4,Descriptive of selected trace elements (mg·kg-1)and antibiotics (μg·kg-1) in allsamples (n = 219).,,,,,,phase14
72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123_Percentile,Percentile,Pb_mgkg,5.0,Unknown,,high,table_p3_ri5_ci2,Descriptive of selected trace elements (mg·kg-1)and antibiotics (μg·kg-1) in allsamples (n = 219).,,,,,,phase14
