paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Skewness,SumPCB_ngg,0.09,Unknown,,high,table_p2_ri6_ci1,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Skewness,SumPCB_ngg,1.1,Unknown,,high,table_p2_ri6_ci5,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Skewness,Pb_mgkg,0.3,Unknown,,high,table_p2_ri6_ci6,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Skewness,Cd_mgkg,1.3,Unknown,,high,table_p2_ri6_ci7,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Skewness,Zn_mgkg,0.5,Unknown,,high,table_p2_ri6_ci9,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Skewness,Cu_mgkg,0.8,Unknown,,high,table_p2_ri6_ci12,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,Kurtosis,SumPCB_ngg,0.2,Unknown,,high,table_p2_ri7_ci1,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,Kurtosis,SumPCB_ngg,2.1,Unknown,,high,table_p2_ri7_ci4,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,Kurtosis,Cd_mgkg,1.6,Unknown,,high,table_p2_ri7_ci7,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,Kurtosis,Cr_mgkg,0.6,Unknown,,high,table_p2_ri7_ci8,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,Kurtosis,As_mgkg,0.3,Unknown,,high,table_p2_ri7_ci10,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Skewness,SumPCB_ngg,0.3,Unknown,,high,table_p2_ri13_ci2,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Skewness,SumPCB_ngg,1.6,Unknown,,high,table_p2_ri13_ci3,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Skewness,SumPCB_ngg,0.4,Unknown,,high,table_p2_ri13_ci4,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Skewness,SumPCB_ngg,1.5,Unknown,,high,table_p2_ri13_ci5,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Skewness,Pb_mgkg,1.7,Unknown,,high,table_p2_ri13_ci6,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Skewness,Cd_mgkg,2.7,Unknown,,high,table_p2_ri13_ci7,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Skewness,Cr_mgkg,0.8,Unknown,,high,table_p2_ri13_ci8,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Skewness,Zn_mgkg,1.7,Unknown,,high,table_p2_ri13_ci9,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Skewness,Skewness,As_mgkg,0.6,Unknown,,high,table_p2_ri13_ci10,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,Kurtosis,SumPCB_ngg,2.6,Unknown,,high,table_p2_ri14_ci3,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,Kurtosis,SumPCB_ngg,3.3,Unknown,,high,table_p2_ri14_ci5,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,Kurtosis,Pb_mgkg,2.8,Unknown,,high,table_p2_ri14_ci6,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,Kurtosis,Cd_mgkg,8.6,Unknown,,high,table_p2_ri14_ci7,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,Kurtosis,Cr_mgkg,-0.0,Unknown,,high,table_p2_ri14_ci8,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,Kurtosis,Zn_mgkg,3.3,Unknown,,high,table_p2_ri14_ci9,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,Kurtosis,As_mgkg,0.2,Unknown,,high,table_p2_ri14_ci10,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,Kurtosis,Hg_mgkg,0.7,Unknown,,high,table_p2_ri14_ci11,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003_Kurtosis,Kurtosis,Cu_mgkg,0.7,Unknown,,high,table_p2_ri14_ci12,Descriptive statistical summary of PCBsä and metalsb in/near abandoned e-waste cycling area.,,,,,,phase14
