paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Concentration  $( \boldsymbol { \mathrm { n g } } \ \boldsymbol { \mathrm { g } } ^ { - 1 } )$,SumDDT_ngg,0.119,Unknown,,high,table_p2_ri3_ci1,Table 2. Certified values of NIST standard reference material 1944 New York/ New Jersey Waterway Sediment and the detected values in this study<sup>a</sup>,,,,,,phase14
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Concentration  $( \boldsymbol { \mathrm { n g } } \ \boldsymbol { \mathrm { g } } ^ { - 1 } )$,SumHCH_ngg,0.002,Unknown,,high,table_p2_ri8_ci1,Table 2. Certified values of NIST standard reference material 1944 New York/ New Jersey Waterway Sediment and the detected values in this study<sup>a</sup>,,,,,,phase14
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Concentration  $( \boldsymbol { \mathrm { n g } } \ \boldsymbol { \mathrm { g } } ^ { - 1 } )$,Nap_ngg,1.65,Unknown,,high,table_p2_ri9_ci1,Table 2. Certified values of NIST standard reference material 1944 New York/ New Jersey Waterway Sediment and the detected values in this study<sup>a</sup>,,,,,,phase14
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Concentration  $( \boldsymbol { \mathrm { n g } } \ \boldsymbol { \mathrm { g } } ^ { - 1 } )$,Phe_ngg,5.27,Unknown,,high,table_p2_ri10_ci1,Table 2. Certified values of NIST standard reference material 1944 New York/ New Jersey Waterway Sediment and the detected values in this study<sup>a</sup>,,,,,,phase14
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Concentration  $( \boldsymbol { \mathrm { n g } } \ \boldsymbol { \mathrm { g } } ^ { - 1 } )$,Ace_ngg,0.57,Unknown,,high,table_p2_ri11_ci1,Table 2. Certified values of NIST standard reference material 1944 New York/ New Jersey Waterway Sediment and the detected values in this study<sup>a</sup>,,,,,,phase14
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Concentration  $( \boldsymbol { \mathrm { n g } } \ \boldsymbol { \mathrm { g } } ^ { - 1 } )$,Ant_ngg,1.77,Unknown,,high,table_p2_ri12_ci1,Table 2. Certified values of NIST standard reference material 1944 New York/ New Jersey Waterway Sediment and the detected values in this study<sup>a</sup>,,,,,,phase14
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Concentration  $( \boldsymbol { \mathrm { n g } } \ \boldsymbol { \mathrm { g } } ^ { - 1 } )$,Chr_ngg,4.86,Unknown,,high,table_p2_ri14_ci1,Table 2. Certified values of NIST standard reference material 1944 New York/ New Jersey Waterway Sediment and the detected values in this study<sup>a</sup>,,,,,,phase14
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Concentration  $( \boldsymbol { \mathrm { n g } } \ \boldsymbol { \mathrm { g } } ^ { - 1 } )$,Flt_ngg,8.92,Unknown,,high,table_p2_ri15_ci1,Table 2. Certified values of NIST standard reference material 1944 New York/ New Jersey Waterway Sediment and the detected values in this study<sup>a</sup>,,,,,,phase14
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Concentration  $( \boldsymbol { \mathrm { n g } } \ \boldsymbol { \mathrm { g } } ^ { - 1 } )$,Flu_ngg,0.85,Unknown,,high,table_p2_ri16_ci1,Table 2. Certified values of NIST standard reference material 1944 New York/ New Jersey Waterway Sediment and the detected values in this study<sup>a</sup>,,,,,,phase14
72341_s00244-006-0111-6,72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,Concentration  $( \boldsymbol { \mathrm { n g } } \ \boldsymbol { \mathrm { g } } ^ { - 1 } )$,Flt_ngg,0.78,Unknown,,high,table_p2_ri17_ci1,Table 2. Certified values of NIST standard reference material 1944 New York/ New Jersey Waterway Sediment and the detected values in this study<sup>a</sup>,,,,,,phase14
