paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Minimum,Minimum,TotalPHC_mgkg,0.51,Unknown,,high,table_p2_ri2_ci1,Summary statistics of some properties<sup>a)</sup> of the soils from a typical crude oil-polluted region in the Yellow River Delta of China <sup>a)</sup>TPHs = total petroleum hydrocarbons; OM = organ,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Minimum,Minimum,pH,7.33,Unknown,,high,table_p2_ri2_ci4,Summary statistics of some properties<sup>a)</sup> of the soils from a typical crude oil-polluted region in the Yellow River Delta of China <sup>a)</sup>TPHs = total petroleum hydrocarbons; OM = organ,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Maximum,Maximum,TotalPHC_mgkg,28.4,Unknown,,high,table_p2_ri3_ci1,Summary statistics of some properties<sup>a)</sup> of the soils from a typical crude oil-polluted region in the Yellow River Delta of China <sup>a)</sup>TPHs = total petroleum hydrocarbons; OM = organ,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Maximum,Maximum,pH,8.05,Unknown,,high,table_p2_ri3_ci4,Summary statistics of some properties<sup>a)</sup> of the soils from a typical crude oil-polluted region in the Yellow River Delta of China <sup>a)</sup>TPHs = total petroleum hydrocarbons; OM = organ,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Arithmetic_mean,Arithmetic mean,TotalPHC_mgkg,3.27,Unknown,,high,table_p2_ri5_ci1,Summary statistics of some properties<sup>a)</sup> of the soils from a typical crude oil-polluted region in the Yellow River Delta of China <sup>a)</sup>TPHs = total petroleum hydrocarbons; OM = organ,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Arithmetic_mean,Arithmetic mean,pH,7.58,Unknown,,high,table_p2_ri5_ci4,Summary statistics of some properties<sup>a)</sup> of the soils from a typical crude oil-polluted region in the Yellow River Delta of China <sup>a)</sup>TPHs = total petroleum hydrocarbons; OM = organ,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Standard_deviation,Standard deviation,TotalPHC_mgkg,6.38,Unknown,,high,table_p2_ri6_ci1,Summary statistics of some properties<sup>a)</sup> of the soils from a typical crude oil-polluted region in the Yellow River Delta of China <sup>a)</sup>TPHs = total petroleum hydrocarbons; OM = organ,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Minimum,Minimum,Cd_mgkg,0.08,Unknown,,high,table_p3_ri2_ci4,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Minimum,Minimum,Cr_mgkg,25.9,Unknown,,high,table_p3_ri2_ci5,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Minimum,Minimum,Ni_mgkg,21.6,Unknown,,high,table_p3_ri2_ci6,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Minimum,Minimum,V_mgkg,49.1,Unknown,,high,table_p3_ri2_ci7,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Maximum,Maximum,Pb_mgkg,32.3,Unknown,,high,table_p3_ri6_ci3,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Maximum,Maximum,Cd_mgkg,0.68,Unknown,,high,table_p3_ri6_ci4,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Maximum,Maximum,Cr_mgkg,71.5,Unknown,,high,table_p3_ri6_ci5,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Maximum,Maximum,Ni_mgkg,40.7,Unknown,,high,table_p3_ri6_ci6,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Maximum,Maximum,V_mgkg,81.7,Unknown,,high,table_p3_ri6_ci7,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Arithmetic_mean,Arithmetic mean,Pb_mgkg,20.8,Unknown,,high,table_p3_ri7_ci3,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Arithmetic_mean,Arithmetic mean,Cd_mgkg,0.19,Unknown,,high,table_p3_ri7_ci4,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Arithmetic_mean,Arithmetic mean,Cr_mgkg,56.6,Unknown,,high,table_p3_ri7_ci5,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Arithmetic_mean,Arithmetic mean,Ni_mgkg,26.3,Unknown,,high,table_p3_ri7_ci6,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Arithmetic_mean,Arithmetic mean,V_mgkg,62.1,Unknown,,high,table_p3_ri7_ci7,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Standard_deviation,Standard deviation,Pb_mgkg,4.0,Unknown,,high,table_p3_ri8_ci3,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Standard_deviation,Standard deviation,Cd_mgkg,0.14,Unknown,,high,table_p3_ri8_ci4,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Standard_deviation,Standard deviation,Cr_mgkg,11.2,Unknown,,high,table_p3_ri8_ci5,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Standard_deviation,Standard deviation,Ni_mgkg,4.5,Unknown,,high,table_p3_ri8_ci6,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Standard_deviation,Standard deviation,V_mgkg,7.3,Unknown,,high,table_p3_ri8_ci7,Summary statistics of heavy metal concentrations in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Maximum,Maximum,Cu_mgkg,1.84,Unknown,,high,table_p4_ri2_ci1,TABLE IV Enrichment factor of heavy metals in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Maximum,Maximum,Zn_mgkg,3.6,Unknown,,high,table_p4_ri2_ci2,TABLE IV Enrichment factor of heavy metals in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Maximum,Maximum,Pb_mgkg,1.27,Unknown,,high,table_p4_ri2_ci3,TABLE IV Enrichment factor of heavy metals in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Maximum,Maximum,Cd_mgkg,8.18,Unknown,,high,table_p4_ri2_ci4,TABLE IV Enrichment factor of heavy metals in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Maximum,Maximum,Cr_mgkg,1.1,Unknown,,high,table_p4_ri2_ci5,TABLE IV Enrichment factor of heavy metals in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Maximum,Maximum,Ni_mgkg,2.01,Unknown,,high,table_p4_ri2_ci6,TABLE IV Enrichment factor of heavy metals in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_Maximum,Maximum,V_mgkg,1.03,Unknown,,high,table_p4_ri2_ci7,TABLE IV Enrichment factor of heavy metals in the soils of a typical crude oil-polluted region in the Yellow River Delta of China,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_col1,col1,Zn_mgkg,0.126,Unknown,,medium,table_p6_ri3_ci1,Principal components analysis factor loadings after varimax rotation of the concentrations of heavy metals and total petroleum hydrocarbons (TPHs) for all soil samples from a typical crude oil-pollute,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_col1,col1,Pb_mgkg,0.045,Unknown,,medium,table_p6_ri4_ci1,Principal components analysis factor loadings after varimax rotation of the concentrations of heavy metals and total petroleum hydrocarbons (TPHs) for all soil samples from a typical crude oil-pollute,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_col1,col1,Cr_mgkg,0.857,Unknown,,medium,table_p6_ri6_ci1,Principal components analysis factor loadings after varimax rotation of the concentrations of heavy metals and total petroleum hydrocarbons (TPHs) for all soil samples from a typical crude oil-pollute,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_col1,col1,Ni_mgkg,0.838,Unknown,,medium,table_p6_ri7_ci1,Principal components analysis factor loadings after varimax rotation of the concentrations of heavy metals and total petroleum hydrocarbons (TPHs) for all soil samples from a typical crude oil-pollute,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_col1,col1,V_mgkg,0.854,Unknown,,medium,table_p6_ri8_ci1,Principal components analysis factor loadings after varimax rotation of the concentrations of heavy metals and total petroleum hydrocarbons (TPHs) for all soil samples from a typical crude oil-pollute,,,,,,phase14
72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0_col1,col1,TotalPHC_mgkg,0.61,Unknown,,medium,table_p6_ri9_ci1,Principal components analysis factor loadings after varimax rotation of the concentrations of heavy metals and total petroleum hydrocarbons (TPHs) for all soil samples from a typical crude oil-pollute,,,,,,phase14
