paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Nap_ngg,0.18,Unknown,range_mean,high,table_p8_ri4_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Acy_ngg,0.1,Unknown,range_mean,high,table_p8_ri5_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Flu_ngg,0.12,Unknown,range_mean,high,table_p8_ri7_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Phe_ngg,0.72,Unknown,range_mean,high,table_p8_ri8_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Ant_ngg,0.72,Unknown,range_mean,high,table_p8_ri8_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Flt_ngg,2.9650000000000003,Unknown,range_mean,high,table_p8_ri10_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Pyr_ngg,1.48,Unknown,range_mean,high,table_p8_ri11_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Ant_ngg,0.825,Unknown,range_mean,high,table_p8_ri12_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Chr_ngg,1.845,Unknown,range_mean,high,table_p8_ri13_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Sum_PAH_ngg,7.2700000000000005,Unknown,range_mean,high,table_p8_ri14_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Flt_ngg,2.1,Unknown,range_mean,high,table_p8_ri15_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Flt_ngg,1.615,Unknown,range_mean,high,table_p8_ri16_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Pyr_ngg,1.595,Unknown,range_mean,high,table_p8_ri17_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Pyr_ngg,1.315,Unknown,range_mean,high,table_p8_ri18_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Ant_ngg,0.735,Unknown,range_mean,high,table_p8_ri19_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Sum_PAH_ngg,6.325,Unknown,range_mean,high,table_p8_ri20_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Pyr_ngg,1.96,Unknown,range_mean,high,table_p8_ri21_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Cd_mgkg,1.96,Unknown,range_mean,high,table_p8_ri21_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Sum_PAH_ngg,3.07,Unknown,range_mean,high,table_p8_ri23_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Sum_PAH_ngg,16.9,Unknown,range_mean,high,table_p8_ri24_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
72524_Atallah Elzein 等 - 2020 - A comparison of PM,72524_Atallah Elzein 等 - 2020 - A comparison of PM_Summer_Beijing:_PAH_concentrations__$(_\mathrm_{_n_g_}_\mathrm_{_m_}_^_{_-_3_}_)$,Summer Beijing: PAH concentrations  $( \mathrm { n g } \mathrm { m } ^ { - 3 } )$,Sum_PAH_ngg,157.5,Unknown,range_mean,high,table_p8_ri26_ci1,"Table 1. Minimum, maximum and mean concentrations of individual PAHs in $\mathrm { P M } _ { 2 . 5 }$ . Compounds in bold represent the highest mean contribution to the sum of all compounds.",,,,,,phase14
