paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,Flu_ngg,3.0,Unknown,,high,table_p21_ri1_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,Phe_ngg,3.0,Unknown,,high,table_p21_ri2_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,Ant_ngg,3.0,Unknown,,high,table_p21_ri3_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,Flu_ngg,4.0,Unknown,,high,table_p21_ri4_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,Flt_ngg,4.0,Unknown,,high,table_p21_ri4_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,Pyr_ngg,4.0,Unknown,,high,table_p21_ri5_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,Ant_ngg,4.0,Unknown,,high,table_p21_ri6_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,BaA_ngg,4.0,Unknown,,high,table_p21_ri6_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,Chr_ngg,4.0,Unknown,,high,table_p21_ri7_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,Flt_ngg,5.0,Unknown,,high,table_p21_ri8_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,BbF_ngg,5.0,Unknown,,high,table_p21_ri8_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,Flt_ngg,5.0,Unknown,,high,table_p21_ri9_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,BkF_ngg,5.0,Unknown,,high,table_p21_ri9_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,Pyr_ngg,5.0,Unknown,,high,table_p21_ri10_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,BaP_ngg,5.0,Unknown,,high,table_p21_ri10_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,Ant_ngg,5.0,Unknown,,high,table_p21_ri11_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,DahA_ngg,5.0,Unknown,,high,table_p21_ri11_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,BghiP_ngg,6.0,Unknown,,high,table_p21_ri12_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,Pyr_ngg,6.0,Unknown,,high,table_p21_ri13_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,Ind_ngg,6.0,Unknown,,high,table_p21_ri13_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
_dup_j.chemosphere.2019.125467,_dup_j.chemosphere.2019.125467_Rings,Rings,Cd_mgkg,6.0,Unknown,,high,table_p21_ri13_ci1,Table 2 Concentration of PAHs in the contaminated soil sample,,,,,,phase14
