paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Minimum,Cd_mgkg,0.03,Unknown,,high,table_p5_ri1_ci1,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Maximum,Cd_mgkg,0.62,Unknown,,high,table_p5_ri1_ci2,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Skewness,Cd_mgkg,1.07,Unknown,,high,table_p5_ri1_ci5,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Kurtosis,Cd_mgkg,0.955,Unknown,,high,table_p5_ri1_ci6,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,CV(%) Chinese standards (Screening values Grade II)a,Cd_mgkg,62.665,Unknown,,high,table_p5_ri1_ci8,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Minimum,Cu_mgkg,6.54,Unknown,,high,table_p5_ri2_ci1,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Maximum,Cu_mgkg,60.5,Unknown,,high,table_p5_ri2_ci2,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Skewness,Cu_mgkg,1.5,Unknown,,high,table_p5_ri2_ci5,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Kurtosis,Cu_mgkg,2.1,Unknown,,high,table_p5_ri2_ci6,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,CV(%) Chinese standards (Screening values Grade II)a,Cu_mgkg,60.6,Unknown,,high,table_p5_ri2_ci8,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,Dutch standards (Ecotoxicological Serious Risk Concentrations)b,Cu_mgkg,96.0,Unknown,,high,table_p5_ri2_ci10,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Minimum,Hg_mgkg,0.009,Unknown,,high,table_p5_ri3_ci1,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Maximum,Hg_mgkg,1.74,Unknown,,high,table_p5_ri3_ci2,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Skewness,Hg_mgkg,2.43,Unknown,,high,table_p5_ri3_ci5,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Kurtosis,Hg_mgkg,5.96,Unknown,,high,table_p5_ri3_ci6,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,CV(%) Chinese standards (Screening values Grade II)a,Hg_mgkg,148.0,Unknown,,high,table_p5_ri3_ci8,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,Dutch standards (Ecotoxicological Serious Risk Concentrations)b,Hg_mgkg,36.0,Unknown,,high,table_p5_ri3_ci10,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Minimum,Pb_mgkg,21.3,Unknown,,high,table_p5_ri4_ci1,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Maximum,Pb_mgkg,576.0,Unknown,,high,table_p5_ri4_ci2,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Skewness,Pb_mgkg,3.99,Unknown,,high,table_p5_ri4_ci5,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Kurtosis,Pb_mgkg,19.5,Unknown,,high,table_p5_ri4_ci6,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,CV(%) Chinese standards (Screening values Grade II)a,Pb_mgkg,88.6,Unknown,,high,table_p5_ri4_ci8,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,Dutch standards (Ecotoxicological Serious Risk Concentrations)b,Pb_mgkg,580.0,Unknown,,high,table_p5_ri4_ci10,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Minimum,Zn_mgkg,17.0,Unknown,,high,table_p5_ri5_ci1,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Maximum,Zn_mgkg,318.0,Unknown,,high,table_p5_ri5_ci2,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Skewness,Zn_mgkg,1.35,Unknown,,high,table_p5_ri5_ci5,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Kurtosis,Zn_mgkg,1.6,Unknown,,high,table_p5_ri5_ci6,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,CV(%) Chinese standards (Screening values Grade II)a,Zn_mgkg,61.6,Unknown,,high,table_p5_ri5_ci8,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,Dutch standards (Ecotoxicological Serious Risk Concentrations)b,Zn_mgkg,350.0,Unknown,,high,table_p5_ri5_ci10,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Minimum,Flt_ngg,2.62,Unknown,,high,table_p5_ri6_ci1,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Maximum,Flt_ngg,198.0,Unknown,,high,table_p5_ri6_ci2,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Skewness,Flt_ngg,1.81,Unknown,,high,table_p5_ri6_ci5,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Kurtosis,Flt_ngg,2.65,Unknown,,high,table_p5_ri6_ci6,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,CV(%) Chinese standards (Screening values Grade II)a,Flt_ngg,124.0,Unknown,,high,table_p5_ri6_ci8,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,Dutch standards (Ecotoxicological Serious Risk Concentrations)b,Flt_ngg,260000.0,Unknown,,high,table_p5_ri6_ci10,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Minimum,Pyr_ngg,3.68,Unknown,,high,table_p5_ri7_ci1,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Maximum,Pyr_ngg,150.0,Unknown,,high,table_p5_ri7_ci2,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Skewness,Pyr_ngg,1.62,Unknown,,high,table_p5_ri7_ci5,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Kurtosis,Pyr_ngg,1.97,Unknown,,high,table_p5_ri7_ci6,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,CV(%) Chinese standards (Screening values Grade II)a,Pyr_ngg,116.0,Unknown,,high,table_p5_ri7_ci8,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Minimum,BaA_ngg,0.382,Unknown,,high,table_p5_ri8_ci1,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Maximum,BaA_ngg,86.3,Unknown,,high,table_p5_ri8_ci2,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Skewness,BaA_ngg,1.79,Unknown,,high,table_p5_ri8_ci5,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Kurtosis,BaA_ngg,2.51,Unknown,,high,table_p5_ri8_ci6,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,CV(%) Chinese standards (Screening values Grade II)a,BaA_ngg,135.0,Unknown,,high,table_p5_ri8_ci8,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,Dutch standards (Ecotoxicological Serious Risk Concentrations)b,BaA_ngg,2500.0,Unknown,,high,table_p5_ri8_ci10,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Minimum,Chr_ngg,1.57,Unknown,,high,table_p5_ri9_ci1,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Maximum,Chr_ngg,121.0,Unknown,,high,table_p5_ri9_ci2,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Skewness,Chr_ngg,1.78,Unknown,,high,table_p5_ri9_ci5,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Kurtosis,Chr_ngg,2.99,Unknown,,high,table_p5_ri9_ci6,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,CV(%) Chinese standards (Screening values Grade II)a,Chr_ngg,113.0,Unknown,,high,table_p5_ri9_ci8,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,Dutch standards (Ecotoxicological Serious Risk Concentrations)b,Chr_ngg,35000.0,Unknown,,high,table_p5_ri9_ci10,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Minimum,BbF_ngg,1.03,Unknown,,high,table_p5_ri10_ci1,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Maximum,BbF_ngg,15554.8,Unknown,,high,table_p5_ri10_ci2,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Skewness,BbF_ngg,1.85,Unknown,,high,table_p5_ri10_ci5,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Kurtosis,BbF_ngg,3.26,Unknown,,high,table_p5_ri10_ci6,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,CV(%) Chinese standards (Screening values Grade II)a,BbF_ngg,123.0,Unknown,,high,table_p5_ri10_ci8,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Maximum,BkF_ngg,121.0,Unknown,,high,table_p5_ri11_ci2,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Skewness,BkF_ngg,1.61,Unknown,,high,table_p5_ri11_ci5,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Kurtosis,BkF_ngg,2.39,Unknown,,high,table_p5_ri11_ci6,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,CV(%) Chinese standards (Screening values Grade II)a,BkF_ngg,109117.0,Unknown,,high,table_p5_ri11_ci8,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,Dutch standards (Ecotoxicological Serious Risk Concentrations)b,BkF_ngg,38000.0,Unknown,,high,table_p5_ri11_ci10,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Minimum,BaP_ngg,0.331,Unknown,,high,table_p5_ri12_ci1,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Maximum,BaP_ngg,123.0,Unknown,,high,table_p5_ri12_ci2,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,CV(%) Chinese standards (Screening values Grade II)a,BaP_ngg,105.0,Unknown,,high,table_p5_ri12_ci8,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,Dutch standards (Ecotoxicological Serious Risk Concentrations)b,BaP_ngg,7000.0,Unknown,,high,table_p5_ri12_ci10,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Minimum,Ind_ngg,0.125,Unknown,,high,table_p5_ri13_ci1,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Maximum,Ind_ngg,25.4,Unknown,,high,table_p5_ri13_ci2,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Skewness,Ind_ngg,1.58,Unknown,,high,table_p5_ri13_ci5,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Kurtosis,Ind_ngg,2.54,Unknown,,high,table_p5_ri13_ci6,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,CV(%) Chinese standards (Screening values Grade II)a,Ind_ngg,103.0,Unknown,,high,table_p5_ri13_ci8,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,Dutch standards (Ecotoxicological Serious Risk Concentrations)b,Ind_ngg,1900.0,Unknown,,high,table_p5_ri13_ci10,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Minimum,BghiP_ngg,0.775,Unknown,,high,table_p5_ri14_ci1,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Maximum,BghiP_ngg,126.0,Unknown,,high,table_p5_ri14_ci2,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Skewness,BghiP_ngg,1.35,Unknown,,high,table_p5_ri14_ci5,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Kurtosis,BghiP_ngg,1.81,Unknown,,high,table_p5_ri14_ci6,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,CV(%) Chinese standards (Screening values Grade II)a,BghiP_ngg,94.2,Unknown,,high,table_p5_ri14_ci8,Table 2 The statistical description of the typical contaminants in Macau soils,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Median (this study),Cd_mgkg,0.17,Unknown,,high,table_p5_ri1_ci1,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Median (this study),Cu_mgkg,18.8,Unknown,,high,table_p5_ri1_ci2,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Median (this study),Hg_mgkg,0.1,Unknown,,high,table_p5_ri1_ci3,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Median (this study),Pb_mgkg,95.6,Unknown,,high,table_p5_ri1_ci4,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Median (this study),Zn_mgkg,97.3,Unknown,,high,table_p5_ri1_ci5,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Median (this study),Flt_ngg,22.1,Unknown,,high,table_p5_ri1_ci6,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Median (this study),Pyr_ngg,19.9,Unknown,,high,table_p5_ri1_ci7,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Median (this study),BaA_ngg,7.58,Unknown,,high,table_p5_ri1_ci8,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Median (this study),Chr_ngg,14.8,Unknown,,high,table_p5_ri1_ci9,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Median (this study),BbF_ngg,17.7,Unknown,,high,table_p5_ri1_ci10,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Median (this study),BkF_ngg,7.8,Unknown,,high,table_p5_ri1_ci11,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Median (this study),BaP_ngg,15.4,Unknown,,high,table_p5_ri1_ci12,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Median (this study),Ind_ngg,20.8,Unknown,,high,table_p5_ri1_ci13,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Median (this study),BghiP_ngg,29.2,Unknown,,high,table_p5_ri1_ci15,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_anthropogenic_background_range_(Median,Upper limit of anthropogenic background range (Median,Cd_mgkg,0.314,Unknown,,high,table_p5_ri2_ci1,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_anthropogenic_background_range_(Median,Upper limit of anthropogenic background range (Median,Cu_mgkg,31.1,Unknown,,high,table_p5_ri2_ci2,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_anthropogenic_background_range_(Median,Upper limit of anthropogenic background range (Median,Hg_mgkg,0.208,Unknown,,high,table_p5_ri2_ci3,Comparison of the means and background ranges of the typical contaminants in soils between Macau and the surrounding cities.,,,,,,phase14
