paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Topsoil_(n_=_15),Mining Area Topsoil (n = 15),Nap_ngg,54.0,Unknown,,high,table_p5_ri2_ci1,Table 1. PAC concentrations (µg/kg) in topsoil from different functional groups and coal and coal gangue.
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),Industrial Area Topsoil (n = 61),Nap_ngg,392.0,Unknown,,high,table_p5_ri2_ci2,Table 1. PAC concentrations (µg/kg) in topsoil from different functional groups and coal and coal gangue.
ijerph-19-12733-v3,ijerph-19-12733-v3_Residential_Area_Topsoil_(n_=_6),Residential Area Topsoil (n = 6),Nap_ngg,173.0,Unknown,,high,table_p5_ri2_ci3,Table 1. PAC concentrations (µg/kg) in topsoil from different functional groups and coal and coal gangue.
ijerph-19-12733-v3,ijerph-19-12733-v3_Agricultural_Area_Topsoil_(n_=_45),Agricultural Area Topsoil (n = 45),Nap_ngg,20.0,Unknown,,high,table_p5_ri2_ci4,Table 1. PAC concentrations (µg/kg) in topsoil from different functional groups and coal and coal gangue.
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_(n_=_1),Mining Area Coal (n = 1),Nap_ngg,421.0,Unknown,,high,table_p5_ri2_ci5,Table 1. PAC concentrations (µg/kg) in topsoil from different functional groups and coal and coal gangue.
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),Mining Area Coal Gangue (n = 2),Nap_ngg,81.0,Unknown,,high,table_p5_ri2_ci6,Table 1. PAC concentrations (µg/kg) in topsoil from different functional groups and coal and coal gangue.
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),Industrial Area Topsoil (n = 61),Acy_ngg,39.0,Unknown,,high,table_p5_ri3_ci2,Table 1. PAC concentrations (µg/kg) in topsoil from different functional groups and coal and coal gangue.
ijerph-19-12733-v3,ijerph-19-12733-v3_Residential_Area_Topsoil_(n_=_6),Residential Area Topsoil (n = 6),Acy_ngg,12.0,Unknown,,high,table_p5_ri3_ci3,Table 1. PAC concentrations (µg/kg) in topsoil from different functional groups and coal and coal gangue.
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_(n_=_1),Mining Area Coal (n = 1),Acy_ngg,77.0,Unknown,,high,table_p5_ri3_ci5,Table 1. PAC concentrations (µg/kg) in topsoil from different functional groups and coal and coal gangue.
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),Mining Area Coal Gangue (n = 2),Acy_ngg,13.0,Unknown,,high,table_p5_ri3_ci6,Table 1. PAC concentrations (µg/kg) in topsoil from different functional groups and coal and coal gangue.
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),Industrial Area Topsoil (n = 61),Ace_ngg,57.0,Unknown,,high,table_p5_ri4_ci2,Table 1. PAC concentrations (µg/kg) in topsoil from different functional groups and coal and coal gangue.
ijerph-19-12733-v3,ijerph-19-12733-v3_Residential_Area_Topsoil_(n_=_6),Residential Area Topsoil (n = 6),Ace_ngg,18.0,Unknown,,high,table_p5_ri4_ci3,Table 1. PAC concentrations (µg/kg) in topsoil from different functional groups and coal and coal gangue.
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_(n_=_1),Mining Area Coal (n = 1),Ace_ngg,131.0,Unknown,,high,table_p5_ri4_ci5,Table 1. PAC concentrations (µg/kg) in topsoil from different functional groups and coal and coal gangue.
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),Mining Area Coal Gangue (n = 2),Ace_ngg,20.0,Unknown,,high,table_p5_ri4_ci6,Table 1. PAC concentrations (µg/kg) in topsoil from different functional groups and coal and coal gangue.
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Topsoil_(n_=_15),Mining Area Topsoil (n = 15),Flu_ngg,29.0,Unknown,,high,table_p5_ri5_ci1,Table 1. PAC concentrations (µg/kg) in topsoil from different functional groups and coal and coal gangue.
