paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
ijerph15040607,ijerph15040607_Risk-free,Risk-free,Sum_PAH_ngg,0.0,Unknown,,high,table_p4_ri2_ci1,Table 1. Ecological risk classification of individual and total PAHs.
ijerph15040607,ijerph15040607_AC,AC,Nap_ngg,15.0,Unknown,,high,table_p5_ri1_ci6,Table 3. Concentration of PAHs in urban soil of Xi’an (µg/kg).
ijerph15040607,ijerph15040607_AC,AC,Phe_ngg,50.0,Unknown,,high,table_p5_ri5_ci6,Table 3. Concentration of PAHs in urban soil of Xi’an (µg/kg).
ijerph15040607,ijerph15040607_AC,AC,Ant_ngg,50.0,Unknown,,high,table_p5_ri6_ci6,Table 3. Concentration of PAHs in urban soil of Xi’an (µg/kg).
ijerph15040607,ijerph15040607_AC,AC,BaA_ngg,20.0,Unknown,,high,table_p5_ri9_ci6,Table 3. Concentration of PAHs in urban soil of Xi’an (µg/kg).
ijerph15040607,ijerph15040607_AC,AC,BkF_ngg,25.0,Unknown,,high,table_p5_ri12_ci6,Table 3. Concentration of PAHs in urban soil of Xi’an (µg/kg).
ijerph15040607,ijerph15040607_AC,AC,BaP_ngg,25.0,Unknown,,high,table_p5_ri13_ci6,Table 3. Concentration of PAHs in urban soil of Xi’an (µg/kg).
ijerph15040607,ijerph15040607_AC,AC,BghiP_ngg,20.0,Unknown,,high,table_p5_ri16_ci6,Table 3. Concentration of PAHs in urban soil of Xi’an (µg/kg).
ijerph15040607,"ijerph15040607_Xi&#x27;an,_China","Xi&#x27;an, China",Sum_PAH_ngg,16.0,Unknown,,high,table_p6_ri1_ci1,Table 4. Concentration comparison of ΣPAHs in soil from worldwide different cities $( \mu \mathrm { g } / \ k \mathrm { g } )$
ijerph15040607,"ijerph15040607_Beijing,_China","Beijing, China",Sum_PAH_ngg,16.0,Unknown,,high,table_p6_ri2_ci1,Table 4. Concentration comparison of ΣPAHs in soil from worldwide different cities $( \mu \mathrm { g } / \ k \mathrm { g } )$
ijerph15040607,"ijerph15040607_Beijing,_China","Beijing, China",Sum_PAH_ngg,16.0,Unknown,,high,table_p6_ri3_ci1,Table 4. Concentration comparison of ΣPAHs in soil from worldwide different cities $( \mu \mathrm { g } / \ k \mathrm { g } )$
